"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_RF_all" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.579 0.769 0.796 0.679 0.261 0.612 0.899 0.269
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_RF_sbc" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.222 0.275 0.237 0.776 0.179 0.225 0.192 0.718
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_RF_ros" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.579 0.769 0.796 0.679 0.229 0.526 0.727 0.25
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_RF_rus" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.428 0.533 0.497 0.754 0.384 0.506 0.478 0.663
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_RF_smote" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.579 0.769 0.796 0.679 0.417 0.635 0.671 0.525
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_RF_borderline_smote_type1" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.579 0.769 0.796 0.679 0.328 0.607 0.718 0.376
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_RF_borderline_smote_type2" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.579 0.769 0.796 0.679 0.301 0.598 0.742 0.337
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_SVM_all" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.493 0.699 0.726 0.606 0.218 0.496 0.67 0.244
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_SVM_sbc" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.182 0.225 0.191 0.795 0.144 0.181 0.152 0.716
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_SVM_ros" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.532 0.679 0.669 0.722 0.257 0.454 0.491 0.35
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_SVM_rus" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.236 0.293 0.253 0.779 0.197 0.249 0.215 0.702
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_SVM_smote" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.517 0.659 0.645 0.722 0.266 0.462 0.495 0.366
1 "CapsuleDef3" 0.2 25 0.5 40 3 0.5 "fit_SVM_borderline_smote_type1" 0.0508938339165459 0.0634285453999301 0.0515640090272669 0.796575448361163 0.514 0.67 0.665 0.693 0.271 0.476 0.515 0.364
