Column,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,T_start_UNIX,T_stop_UNIX,duration
644,TQ,16,29,16,2021-03-16T12:28:59.676751567Z,2021-03-16T12:29:03.801782934Z,post,R3SP,2021-03-16 12:28:59,2021-03-16 12:29:03,4.12503123283386
645,SG,16,NA,16,2021-03-16T12:29:22.926919198Z,2021-03-16T12:30:20.677293068Z,post,R3SP,2021-03-16 12:29:22,2021-03-16 12:30:20,57.750373840332
646,SG,16,NA,16,2021-03-16T12:30:43.927482597Z,2021-03-16T12:30:47.052463322Z,post,R3SP,2021-03-16 12:30:43,2021-03-16 12:30:47,3.12498068809509
647,CR,16,28,16,2021-03-16T12:32:03.428061630Z,2021-03-16T12:32:11.553205934Z,post,R3SP,2021-03-16 12:32:03,2021-03-16 12:32:11,8.12514424324036
648,SG,16,NA,16,2021-03-16T12:41:37.932252072Z,2021-03-16T12:41:39.932234698Z,post,R3SP,2021-03-16 12:41:37,2021-03-16 12:41:39,1.99998259544373
649,SG,16,NA,16,2021-03-16T12:41:48.307330006Z,2021-03-16T12:41:52.307248866Z,post,R3SP,2021-03-16 12:41:48,2021-03-16 12:41:52,3.99991893768311
655,SG,17,NA,17,2021-03-16T12:32:44.428294474Z,2021-03-16T12:34:03.303860536Z,post,R3SP,2021-03-16 12:32:44,2021-03-16 12:34:03,78.8755660057068
656,SG,17,NA,17,2021-03-16T12:34:47.679274424Z,2021-03-16T12:34:55.179290017Z,post,R3SP,2021-03-16 12:34:47,2021-03-16 12:34:55,7.50001573562622
658,SG,17,NA,17,2021-03-16T12:37:39.930517161Z,2021-03-16T12:38:52.680977389Z,post,R3SP,2021-03-16 12:37:39,2021-03-16 12:38:52,72.7504601478577
661,SG,18,NA,18,2021-03-16T12:28:38.801682768Z,2021-03-16T12:28:45.801589351Z,post,R3SP,2021-03-16 12:28:38,2021-03-16 12:28:45,6.99990653991699
662,SG,18,NA,18,2021-03-16T12:28:48.676666984Z,2021-03-16T12:28:50.551677222Z,post,R3SP,2021-03-16 12:28:48,2021-03-16 12:28:50,1.8750102519989
663,G,18,5,18,2021-03-16T12:29:11.926860298Z,2021-03-16T12:29:36.802060699Z,post,R3SP,2021-03-16 12:29:11,2021-03-16 12:29:36,24.8752002716064
664,SG,18,NA,18,2021-03-16T12:29:38.677035681Z,2021-03-16T12:29:42.177134647Z,post,R3SP,2021-03-16 12:29:38,2021-03-16 12:29:42,3.50009918212891
