Column,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,T_start_UNIX,T_stop_UNIX,duration
1,SG,1,NA,1,2021-03-15T12:13:21.670072964Z,2021-03-15T12:13:22.920146703Z,pre,R3SP,2021-03-15 12:13:21,2021-03-15 12:13:22,1.25007367134094
2,SG,1,NA,1,2021-03-15T12:14:04.045392881Z,2021-03-15T12:14:18.920503331Z,pre,R3SP,2021-03-15 12:14:04,2021-03-15 12:14:18,14.8751103878021
3,SG,1,NA,1,2021-03-15T12:14:35.295623522Z,2021-03-15T12:14:42.295730634Z,pre,R3SP,2021-03-15 12:14:35,2021-03-15 12:14:42,7.00010704994202
4,SG,1,NA,1,2021-03-15T12:14:44.795771984Z,2021-03-15T12:15:15.795998026Z,pre,R3SP,2021-03-15 12:14:44,2021-03-15 12:15:15,31.000226020813
5,SG,1,NA,1,2021-03-15T12:15:19.921030939Z,2021-03-15T12:15:30.046014286Z,pre,R3SP,2021-03-15 12:15:19,2021-03-15 12:15:30,10.1249833106995
6,SG,1,NA,1,2021-03-15T12:16:38.671458236Z,2021-03-15T12:24:06.799884216Z,pre,R3SP,2021-03-15 12:16:38,2021-03-15 12:24:06,448.128426074982
8,SG,1,NA,1,2021-03-15T12:24:26.299981531Z,2021-03-15T12:25:01.050213101Z,pre,R3SP,2021-03-15 12:24:26,2021-03-15 12:25:01,34.7502315044403
9,SG,1,NA,1,2021-03-15T12:25:15.675386077Z,2021-03-15T12:25:31.425434989Z,pre,R3SP,2021-03-15 12:25:15,2021-03-15 12:25:31,15.7500488758087
10,SG,1,NA,1,2021-03-15T12:25:33.675373282Z,2021-03-15T12:25:45.300624880Z,pre,R3SP,2021-03-15 12:25:33,2021-03-15 12:25:45,11.625251531601
11,SG,1,NA,1,2021-03-15T12:25:54.925541952Z,2021-03-15T12:27:25.801358653Z,pre,R3SP,2021-03-15 12:25:54,2021-03-15 12:27:25,90.875816822052
12,SG,1,NA,1,2021-03-15T12:27:29.176270975Z,2021-03-15T12:27:43.051341733Z,pre,R3SP,2021-03-15 12:27:29,2021-03-15 12:27:43,13.875070810318
13,SG,1,NA,1,2021-03-15T12:28:17.676739888Z,2021-03-15T12:28:21.551768964Z,pre,R3SP,2021-03-15 12:28:17,2021-03-15 12:28:21,3.87502908706665
14,TB,2,NA,2,2021-03-15T12:17:50.172045169Z,2021-03-15T12:18:13.047215337Z,pre,R3SP,2021-03-15 12:17:50,2021-03-15 12:18:13,22.8751699924469
15,SG,2,NA,2,2021-03-15T12:20:50.548377682Z,2021-03-15T12:20:53.298370434Z,pre,R3SP,2021-03-15 12:20:50,2021-03-15 12:20:53,2.74999260902405
16,SG,2,NA,2,2021-03-15T12:23:36.924681759Z,2021-03-15T12:24:03.924808361Z,pre,R3SP,2021-03-15 12:23:36,2021-03-15 12:24:03,27.0001266002655
17,SG,2,NA,2,2021-03-15T12:24:28.800040242Z,2021-03-15T12:24:34.300104193Z,pre,R3SP,2021-03-15 12:24:28,2021-03-15 12:24:34,5.5000638961792
18,SG,2,NA,2,2021-03-15T12:25:16.800396720Z,2021-03-15T12:25:28.800476327Z,pre,R3SP,2021-03-15 12:25:16,2021-03-15 12:25:28,12.0000796318054
20,SG,3,NA,3,2021-03-15T12:26:59.801016128Z,2021-03-15T12:27:45.051840754Z,pre,R3SP,2021-03-15 12:26:59,2021-03-15 12:27:45,45.2508246898651
21,SG,4,NA,4,2021-03-15T12:18:43.422393986Z,2021-03-15T12:18:52.797573383Z,pre,R3SP,2021-03-15 12:18:43,2021-03-15 12:18:52,9.37517929077148
22,SG,5,NA,5,2021-03-15T12:19:27.672826635Z,2021-03-15T12:27:52.801926341Z,pre,R3SP,2021-03-15 12:19:27,2021-03-15 12:27:52,505.129099845886
25,SG,7,NA,7,2021-03-15T12:13:21.670072964Z,2021-03-15T12:13:27.170109134Z,pre,R3SP,2021-03-15 12:13:21,2021-03-15 12:13:27,5.50003600120544
26,SG,7,NA,7,2021-03-15T12:14:01.920364396Z,2021-03-15T12:14:40.670660753Z,pre,R3SP,2021-03-15 12:14:01,2021-03-15 12:14:40,38.7502963542938
27,SG,7,NA,7,2021-03-15T12:19:03.547577388Z,2021-03-15T12:19:09.172619072Z,pre,R3SP,2021-03-15 12:19:03,2021-03-15 12:19:09,5.62504172325134
28,T,7,11,7,2021-03-15T12:23:28.299621783Z,2021-03-15T12:23:45.799725259Z,pre,R3SP,2021-03-15 12:23:28,2021-03-15 12:23:45,17.5001034736633
29,SG,7,NA,7,2021-03-15T12:23:56.799805041Z,2021-03-15T12:24:36.175037322Z,pre,R3SP,2021-03-15 12:23:56,2021-03-15 12:24:36,39.3752324581146
30,SG,9,NA,9,2021-03-15T12:20:41.173599853Z,2021-03-15T12:20:42.923323037Z,pre,R3SP,2021-03-15 12:20:41,2021-03-15 12:20:42,1.74972319602966
31,SG,9,NA,9,2021-03-15T12:20:51.548382143Z,2021-03-15T12:20:58.048439116Z,pre,R3SP,2021-03-15 12:20:51,2021-03-15 12:20:58,6.50005698204041
32,SG,9,NA,9,2021-03-15T12:21:08.298590882Z,2021-03-15T12:21:19.673679009Z,pre,R3SP,2021-03-15 12:21:08,2021-03-15 12:21:19,11.3750882148743
33,SG,9,NA,9,2021-03-15T12:22:03.798910801Z,2021-03-15T12:22:11.548921857Z,pre,R3SP,2021-03-15 12:22:03,2021-03-15 12:22:11,7.75001096725464
34,SG,9,NA,9,2021-03-15T12:22:33.049119683Z,2021-03-15T12:22:59.674413020Z,pre,R3SP,2021-03-15 12:22:33,2021-03-15 12:22:59,26.6252932548523
35,SG,9,NA,9,2021-03-15T12:24:22.674940323Z,2021-03-15T12:24:31.675089461Z,pre,R3SP,2021-03-15 12:24:22,2021-03-15 12:24:31,9.00014901161194
36,SG,9,NA,9,2021-03-15T12:24:42.300163390Z,2021-03-15T12:24:46.550094130Z,pre,R3SP,2021-03-15 12:24:42,2021-03-15 12:24:46,4.24993062019348
37,SG,9,NA,9,2021-03-15T12:25:05.050175793Z,2021-03-15T12:25:13.550300229Z,pre,R3SP,2021-03-15 12:25:05,2021-03-15 12:25:13,8.50012421607971
38,SG,9,NA,9,2021-03-15T12:25:16.425254156Z,2021-03-15T12:28:21.926633382Z,pre,R3SP,2021-03-15 12:25:16,2021-03-15 12:28:21,185.50137925148
39,SG,10,NA,10,2021-03-15T12:13:21.670072964Z,2021-03-15T12:16:03.671304771Z,pre,R3SP,2021-03-15 12:13:21,2021-03-15 12:16:03,162.00123167038
40,SG,10,NA,10,2021-03-15T12:16:29.296461321Z,2021-03-15T12:16:44.171562098Z,pre,R3SP,2021-03-15 12:16:29,2021-03-15 12:16:44,14.875100851059
41,SG,10,NA,10,2021-03-15T12:18:12.422296625Z,2021-03-15T12:18:19.172258057Z,pre,R3SP,2021-03-15 12:18:12,2021-03-15 12:18:19,6.74996161460876
42,SG,10,NA,10,2021-03-15T12:19:09.047617810Z,2021-03-15T12:19:19.797776396Z,pre,R3SP,2021-03-15 12:19:09,2021-03-15 12:19:19,10.7501585483551
43,SG,10,NA,10,2021-03-15T12:19:31.672794769Z,2021-03-15T12:19:44.297972809Z,pre,R3SP,2021-03-15 12:19:31,2021-03-15 12:19:44,12.6251780986786
44,CR,10,1,10,2021-03-15T12:20:07.298046644Z,2021-03-15T12:20:59.548450120Z,pre,R3SP,2021-03-15 12:20:07,2021-03-15 12:20:59,52.2504036426544
45,SG,10,NA,10,2021-03-15T12:21:30.548734289Z,2021-03-15T12:21:36.048686670Z,pre,R3SP,2021-03-15 12:21:30,2021-03-15 12:21:36,5.49995255470276
46,SG,10,NA,10,2021-03-15T12:26:32.675823017Z,2021-03-15T12:26:45.050984835Z,pre,R3SP,2021-03-15 12:26:32,2021-03-15 12:26:45,12.3751618862152
47,SG,11,NA,11,2021-03-15T12:13:36.795272710Z,2021-03-15T12:17:11.796839170Z,pre,R3SP,2021-03-15 12:13:36,2021-03-15 12:17:11,215.001566410065
48,SG,11,NA,11,2021-03-15T12:18:05.047245628Z,2021-03-15T12:18:10.297511004Z,pre,R3SP,2021-03-15 12:18:05,2021-03-15 12:18:10,5.25026535987854
49,SG,11,NA,11,2021-03-15T12:20:21.923172596Z,2021-03-15T12:20:29.673285992Z,pre,R3SP,2021-03-15 12:20:21,2021-03-15 12:20:29,7.75011324882507
50,SG,11,NA,11,2021-03-15T12:20:41.173599853Z,2021-03-15T12:20:50.798441713Z,pre,R3SP,2021-03-15 12:20:41,2021-03-15 12:20:50,9.62484169006348
51,SG,11,NA,11,2021-03-15T12:22:04.548927967Z,2021-03-15T12:22:10.673960639Z,pre,R3SP,2021-03-15 12:22:04,2021-03-15 12:22:10,6.12503266334534
52,SG,11,NA,11,2021-03-15T12:22:27.799159933Z,2021-03-15T12:22:40.424185856Z,pre,R3SP,2021-03-15 12:22:27,2021-03-15 12:22:40,12.6250257492065
54,SG,11,NA,11,2021-03-15T12:24:06.299731428Z,2021-03-15T12:24:28.425040562Z,pre,R3SP,2021-03-15 12:24:06,2021-03-15 12:24:28,22.1253089904785
55,SG,14,NA,14,2021-03-15T12:20:27.048269451Z,2021-03-15T12:21:15.798480087Z,pre,R3SP,2021-03-15 12:20:27,2021-03-15 12:21:15,48.7502105236053
56,FR,14,23,14,2021-03-15T12:25:32.425896767Z,2021-03-15T12:28:21.301682148Z,pre,R3SP,2021-03-15 12:25:32,2021-03-15 12:28:21,168.8757853508
57,CR,15,6,15,2021-03-15T12:18:21.297343653Z,2021-03-15T12:25:18.425332411Z,pre,R3SP,2021-03-15 12:18:21,2021-03-15 12:25:18,417.127988576889
58,SG,16,NA,16,2021-03-15T12:14:21.670455435Z,2021-03-15T12:14:27.420552118Z,pre,R3SP,2021-03-15 12:14:21,2021-03-15 12:14:27,5.75009655952454
59,SG,16,NA,16,2021-03-15T12:18:10.797141430Z,2021-03-15T12:18:13.047215337Z,pre,R3SP,2021-03-15 12:18:10,2021-03-15 12:18:13,2.25007390975952
60,FR,17,25,17,2021-03-15T12:13:41.670222791Z,2021-03-15T12:13:44.045199084Z,pre,R3SP,2021-03-15 12:13:41,2021-03-15 12:13:44,2.37497639656067
61,SG,18,NA,18,2021-03-15T12:14:14.420468156Z,2021-03-15T12:14:21.795585904Z,pre,R3SP,2021-03-15 12:14:14,2021-03-15 12:14:21,7.37511777877808
62,CB,18,NA,18,2021-03-15T12:19:45.672886795Z,2021-03-15T12:21:09.048512079Z,pre,R3SP,2021-03-15 12:19:45,2021-03-15 12:21:09,83.3756251335144
63,SG,18,NA,18,2021-03-15T12:22:07.923943072Z,2021-03-15T12:22:20.049020674Z,pre,R3SP,2021-03-15 12:22:07,2021-03-15 12:22:20,12.1250777244568
64,SG,18,NA,18,2021-03-15T12:22:55.049207786Z,2021-03-15T12:22:58.924402480Z,pre,R3SP,2021-03-15 12:22:55,2021-03-15 12:22:58,3.87519478797913
65,SG,19,NA,19,2021-03-15T12:13:36.795272710Z,2021-03-15T12:13:56.420747110Z,pre,R3SP,2021-03-15 12:13:36,2021-03-15 12:13:56,19.6254742145538
66,SG,19,NA,19,2021-03-15T12:14:27.795566245Z,2021-03-15T12:14:31.420673985Z,pre,R3SP,2021-03-15 12:14:27,2021-03-15 12:14:31,3.62510776519775
67,SG,19,NA,19,2021-03-15T12:14:51.420802720Z,2021-03-15T12:14:53.170744256Z,pre,R3SP,2021-03-15 12:14:51,2021-03-15 12:14:53,1.74994134902954
68,SG,19,NA,19,2021-03-15T12:15:11.296149897Z,2021-03-15T12:15:13.170888545Z,pre,R3SP,2021-03-15 12:15:11,2021-03-15 12:15:13,1.8747386932373
69,G,19,21,19,2021-03-15T12:16:36.046439554Z,2021-03-15T12:16:45.296557561Z,pre,R3SP,2021-03-15 12:16:36,2021-03-15 12:16:45,9.25011801719666
70,SG,19,NA,19,2021-03-15T12:17:14.046894496Z,2021-03-15T12:17:18.421904312Z,pre,R3SP,2021-03-15 12:17:14,2021-03-15 12:17:18,4.37500977516174
71,SG,19,NA,19,2021-03-15T12:17:54.047030012Z,2021-03-15T12:18:06.797166271Z,pre,R3SP,2021-03-15 12:17:54,2021-03-15 12:18:06,12.7501363754272
72,SG,20,NA,20,2021-03-15T12:13:59.045342641Z,2021-03-15T12:14:43.045673607Z,pre,R3SP,2021-03-15 12:13:59,2021-03-15 12:14:43,44.0003309249878
73,SG,20,NA,20,2021-03-15T12:15:13.295815065Z,2021-03-15T12:15:21.046014607Z,pre,R3SP,2021-03-15 12:15:13,2021-03-15 12:15:21,7.75019955635071
74,SG,20,NA,20,2021-03-15T12:18:42.797432510Z,2021-03-15T12:19:00.172625141Z,pre,R3SP,2021-03-15 12:18:42,2021-03-15 12:19:00,17.3751926422119
75,SG,20,NA,20,2021-03-15T12:20:20.048152645Z,2021-03-15T12:20:36.548326100Z,pre,R3SP,2021-03-15 12:20:20,2021-03-15 12:20:36,16.500173330307
76,CR,20,26,20,2021-03-15T12:23:42.049599852Z,2021-03-15T12:24:17.299980972Z,pre,R3SP,2021-03-15 12:23:42,2021-03-15 12:24:17,35.2503809928894
77,SG,21,NA,21,2021-03-15T12:13:22.045068586Z,2021-03-15T12:13:57.045328426Z,pre,R3SP,2021-03-15 12:13:22,2021-03-15 12:13:57,35.0002598762512
78,SG,21,NA,21,2021-03-15T12:14:41.170698834Z,2021-03-15T12:15:31.046023496Z,pre,R3SP,2021-03-15 12:14:41,2021-03-15 12:15:31,49.8753247261047
80,CR,21,6,21,2021-03-15T12:25:52.425677179Z,2021-03-15T12:28:22.051682251Z,pre,R3SP,2021-03-15 12:25:52,2021-03-15 12:28:22,149.626005172729
81,SG,22,NA,22,2021-03-15T12:18:18.547252738Z,2021-03-15T12:18:25.672365466Z,pre,R3SP,2021-03-15 12:18:18,2021-03-15 12:18:25,7.12511277198792
82,SG,22,NA,22,2021-03-15T12:19:00.047625125Z,2021-03-15T12:19:02.797645063Z,pre,R3SP,2021-03-15 12:19:00,2021-03-15 12:19:02,2.75002002716064
83,SG,22,NA,22,2021-03-15T12:20:26.798188290Z,2021-03-15T12:20:29.173219844Z,pre,R3SP,2021-03-15 12:20:26,2021-03-15 12:20:29,2.37503170967102
84,SG,22,NA,22,2021-03-15T12:21:30.548734289Z,2021-03-15T12:21:55.548857135Z,pre,R3SP,2021-03-15 12:21:30,2021-03-15 12:21:55,25.0001230239868
85,SG,22,NA,22,2021-03-15T12:21:59.673884793Z,2021-03-15T12:22:02.299341145Z,pre,R3SP,2021-03-15 12:21:59,2021-03-15 12:22:02,2.6254563331604
86,SG,22,NA,22,2021-03-15T12:22:09.423906690Z,2021-03-15T12:22:18.048948866Z,pre,R3SP,2021-03-15 12:22:09,2021-03-15 12:22:18,8.62504196166992
88,SG,24,NA,24,2021-03-15T12:15:34.421116848Z,2021-03-15T12:16:09.671743574Z,pre,R3SP,2021-03-15 12:15:34,2021-03-15 12:16:09,35.2506268024445
89,SG,24,NA,24,2021-03-15T12:17:32.046902268Z,2021-03-15T12:17:34.297021390Z,pre,R3SP,2021-03-15 12:17:32,2021-03-15 12:17:34,2.25011920928955
90,SG,24,NA,24,2021-03-15T12:17:45.672105291Z,2021-03-15T12:17:53.922048741Z,pre,R3SP,2021-03-15 12:17:45,2021-03-15 12:17:53,8.24994349479675
91,SG,24,NA,24,2021-03-15T12:17:58.922200939Z,2021-03-15T12:18:06.797166271Z,pre,R3SP,2021-03-15 12:17:58,2021-03-15 12:18:06,7.87496542930603
92,SG,24,NA,24,2021-03-15T12:19:44.797981525Z,2021-03-15T12:19:52.798038504Z,pre,R3SP,2021-03-15 12:19:44,2021-03-15 12:19:52,8.00005698204041
93,SG,25,NA,25,2021-03-15T12:13:21.420136727Z,2021-03-15T12:13:38.920292321Z,pre,R3SP,2021-03-15 12:13:21,2021-03-15 12:13:38,17.5001556873322
94,SG,25,NA,25,2021-03-15T12:20:01.548022719Z,2021-03-15T12:21:02.798526812Z,pre,R3SP,2021-03-15 12:20:01,2021-03-15 12:21:02,61.2505040168762
95,SG,25,NA,25,2021-03-15T12:21:10.173590778Z,2021-03-15T12:25:20.925350398Z,pre,R3SP,2021-03-15 12:21:10,2021-03-15 12:25:20,250.751759767532
96,SG,25,NA,25,2021-03-15T12:25:23.675445629Z,2021-03-15T12:26:16.800834875Z,pre,R3SP,2021-03-15 12:25:23,2021-03-15 12:26:16,53.1253893375397
97,SG,25,NA,25,2021-03-15T12:26:33.675963009Z,2021-03-15T12:27:42.176822291Z,pre,R3SP,2021-03-15 12:26:33,2021-03-15 12:27:42,68.5008592605591
98,CR,26,3,26,2021-03-15T12:17:14.046894496Z,2021-03-15T12:17:49.797097832Z,pre,R3SP,2021-03-15 12:17:14,2021-03-15 12:17:49,35.750203371048
99,SG,26,NA,26,2021-03-15T12:19:54.922978939Z,2021-03-15T12:19:56.422978958Z,pre,R3SP,2021-03-15 12:19:54,2021-03-15 12:19:56,1.5
101,SG,27,NA,27,2021-03-15T12:18:51.422564016Z,2021-03-15T12:18:55.297623537Z,pre,R3SP,2021-03-15 12:18:51,2021-03-15 12:18:55,3.87505960464478
102,SG,27,NA,27,2021-03-15T12:20:03.923013987Z,2021-03-15T12:20:11.173099269Z,pre,R3SP,2021-03-15 12:20:03,2021-03-15 12:20:11,7.25008535385132
103,SG,27,NA,27,2021-03-15T12:20:20.548582281Z,2021-03-15T12:21:16.048481571Z,pre,R3SP,2021-03-15 12:20:20,2021-03-15 12:21:16,55.499899148941
104,SG,28,NA,28,2021-03-15T12:15:26.921083373Z,2021-03-15T12:15:47.421581094Z,pre,R3SP,2021-03-15 12:15:26,2021-03-15 12:15:47,20.5004975795746
105,SG,28,NA,28,2021-03-15T12:18:24.172369225Z,2021-03-15T12:18:26.922325985Z,pre,R3SP,2021-03-15 12:18:24,2021-03-15 12:18:26,2.74995684623718
106,SG,28,NA,28,2021-03-15T12:20:23.923192469Z,2021-03-15T12:20:26.423267636Z,pre,R3SP,2021-03-15 12:20:23,2021-03-15 12:20:26,2.50007510185242
107,SG,28,NA,28,2021-03-15T12:20:30.298229218Z,2021-03-15T12:20:45.673408789Z,pre,R3SP,2021-03-15 12:20:30,2021-03-15 12:20:45,15.3751795291901
108,SG,28,NA,28,2021-03-15T12:21:42.798848066Z,2021-03-15T12:21:55.173847438Z,pre,R3SP,2021-03-15 12:21:42,2021-03-15 12:21:55,12.3749992847443
109,SG,1,NA,1,2021-03-15T12:32:16.928381480Z,2021-03-15T12:32:18.928436043Z,pre,R3SP,2021-03-15 12:32:16,2021-03-15 12:32:18,2.00005459785461
110,SG,1,NA,1,2021-03-15T12:32:34.178434455Z,2021-03-15T12:32:41.303520556Z,pre,R3SP,2021-03-15 12:32:34,2021-03-15 12:32:41,7.12508606910706
111,SG,1,NA,1,2021-03-15T12:35:41.554884687Z,2021-03-15T12:35:47.304918959Z,pre,R3SP,2021-03-15 12:35:41,2021-03-15 12:35:47,5.75003433227539
112,SG,1,NA,1,2021-03-15T12:36:20.430157405Z,2021-03-15T12:36:48.555324136Z,pre,R3SP,2021-03-15 12:36:20,2021-03-15 12:36:48,28.1251666545868
113,G,1,12,1,2021-03-15T12:36:49.055373389Z,2021-03-15T12:36:56.305511411Z,pre,R3SP,2021-03-15 12:36:49,2021-03-15 12:36:56,7.2501380443573
114,SG,1,NA,1,2021-03-15T12:37:01.180454175Z,2021-03-15T12:37:08.055512450Z,pre,R3SP,2021-03-15 12:37:01,2021-03-15 12:37:08,6.8750581741333
115,SG,1,NA,1,2021-03-15T12:37:18.055813893Z,2021-03-15T12:37:19.930518130Z,pre,R3SP,2021-03-15 12:37:18,2021-03-15 12:37:19,1.87470436096191
116,SG,1,NA,1,2021-03-15T12:37:28.930756403Z,2021-03-15T12:37:35.555710330Z,pre,R3SP,2021-03-15 12:37:28,2021-03-15 12:37:35,6.62495398521423
117,SG,1,NA,1,2021-03-15T12:39:31.681548093Z,2021-03-15T12:40:14.806841891Z,pre,R3SP,2021-03-15 12:39:31,2021-03-15 12:40:14,43.1252937316895
118,SG,1,NA,1,2021-03-15T12:40:17.931880491Z,2021-03-15T12:40:25.306913719Z,pre,R3SP,2021-03-15 12:40:17,2021-03-15 12:40:25,7.3750331401825
119,SG,1,NA,1,2021-03-15T12:42:16.057687016Z,2021-03-15T12:42:34.182869061Z,pre,R3SP,2021-03-15 12:42:16,2021-03-15 12:42:34,18.1251819133759
120,FR,2,9,2,2021-03-15T12:31:56.678312372Z,2021-03-15T12:32:00.428359275Z,pre,R3SP,2021-03-15 12:31:56,2021-03-15 12:32:00,3.75004696846008
121,SG,2,NA,2,2021-03-15T12:32:03.178379013Z,2021-03-15T12:32:04.553390776Z,pre,R3SP,2021-03-15 12:32:03,2021-03-15 12:32:04,1.37501168251038
122,SG,2,NA,2,2021-03-15T12:32:06.303370105Z,2021-03-15T12:32:07.803415451Z,pre,R3SP,2021-03-15 12:32:06,2021-03-15 12:32:07,1.50004553794861
123,T,2,27,2,2021-03-15T12:32:37.553631386Z,2021-03-15T12:32:44.053539443Z,pre,R3SP,2021-03-15 12:32:37,2021-03-15 12:32:44,6.49990820884705
124,SG,2,NA,2,2021-03-15T12:33:19.928856020Z,2021-03-15T12:33:25.303953812Z,pre,R3SP,2021-03-15 12:33:19,2021-03-15 12:33:25,5.37509775161743
126,FR,2,27,2,2021-03-15T12:34:18.304698557Z,2021-03-15T12:34:20.429348027Z,pre,R3SP,2021-03-15 12:34:18,2021-03-15 12:34:20,2.12464952468872
128,T,2,14,2,2021-03-15T12:36:37.680278505Z,2021-03-15T12:36:42.805409477Z,pre,R3SP,2021-03-15 12:36:37,2021-03-15 12:36:42,5.12513089179993
129,T,2,14,2,2021-03-15T12:36:51.430470485Z,2021-03-15T12:37:35.930751826Z,pre,R3SP,2021-03-15 12:36:51,2021-03-15 12:37:35,44.5002813339233
130,SG,2,NA,2,2021-03-15T12:38:13.931042667Z,2021-03-15T12:38:16.556007652Z,pre,R3SP,2021-03-15 12:38:13,2021-03-15 12:38:16,2.62496495246887
131,SG,2,NA,2,2021-03-15T12:38:25.056057843Z,2021-03-15T12:38:28.181087762Z,pre,R3SP,2021-03-15 12:38:25,2021-03-15 12:38:28,3.12502980232239
132,SG,2,NA,2,2021-03-15T12:38:35.806132055Z,2021-03-15T12:38:38.431224486Z,pre,R3SP,2021-03-15 12:38:35,2021-03-15 12:38:38,2.62509250640869
133,SG,2,NA,2,2021-03-15T12:39:09.306391769Z,2021-03-15T12:39:27.056461142Z,pre,R3SP,2021-03-15 12:39:09,2021-03-15 12:39:27,17.7500693798065
134,T,2,23,2,2021-03-15T12:42:47.058001481Z,2021-03-15T12:43:03.558157505Z,pre,R3SP,2021-03-15 12:42:47,2021-03-15 12:43:03,16.5001559257507
135,FR,3,18,3,2021-03-15T12:33:49.554149003Z,2021-03-15T12:33:51.179074638Z,pre,R3SP,2021-03-15 12:33:49,2021-03-15 12:33:51,1.62492561340332
136,FR,3,24,3,2021-03-15T12:34:09.429208074Z,2021-03-15T12:34:11.304289246Z,pre,R3SP,2021-03-15 12:34:09,2021-03-15 12:34:11,1.87508130073547
137,T,3,16,3,2021-03-15T12:38:30.806191036Z,2021-03-15T12:38:35.556098715Z,pre,R3SP,2021-03-15 12:38:30,2021-03-15 12:38:35,4.74990773200989
138,T,3,15,3,2021-03-15T12:39:31.056546784Z,2021-03-15T12:40:22.556914603Z,pre,R3SP,2021-03-15 12:39:31,2021-03-15 12:40:22,51.5003678798676
139,SG,3,NA,3,2021-03-15T12:40:39.057101106Z,2021-03-15T12:40:42.682064167Z,pre,R3SP,2021-03-15 12:40:39,2021-03-15 12:40:42,3.62496304512024
140,SG,4,NA,4,2021-03-15T12:34:48.054487742Z,2021-03-15T12:35:38.054862947Z,pre,R3SP,2021-03-15 12:34:48,2021-03-15 12:35:38,50.0003752708435
141,SG,4,NA,4,2021-03-15T12:35:44.554932976Z,2021-03-15T12:35:46.554951282Z,pre,R3SP,2021-03-15 12:35:44,2021-03-15 12:35:46,2.00001811981201
142,SG,4,NA,4,2021-03-15T12:35:53.680004040Z,2021-03-15T12:36:14.680108851Z,pre,R3SP,2021-03-15 12:35:53,2021-03-15 12:36:14,21.0001046657562
143,SG,4,NA,4,2021-03-15T12:36:16.805197962Z,2021-03-15T12:36:19.306592998Z,pre,R3SP,2021-03-15 12:36:16,2021-03-15 12:36:19,2.50139498710632
144,SG,4,NA,4,2021-03-15T12:36:37.930373220Z,2021-03-15T12:36:40.930317697Z,pre,R3SP,2021-03-15 12:36:37,2021-03-15 12:36:40,2.99994444847107
145,T,4,20,4,2021-03-15T12:36:48.055354389Z,2021-03-15T12:36:57.680520332Z,pre,R3SP,2021-03-15 12:36:48,2021-03-15 12:36:57,9.62516593933105
146,SG,4,NA,4,2021-03-15T12:37:10.555525019Z,2021-03-15T12:37:17.055568174Z,pre,R3SP,2021-03-15 12:37:10,2021-03-15 12:37:17,6.50004315376282
147,SG,4,NA,4,2021-03-15T12:37:36.555698473Z,2021-03-15T12:37:39.555683437Z,pre,R3SP,2021-03-15 12:37:36,2021-03-15 12:37:39,2.99998497962952
148,SG,4,NA,4,2021-03-15T12:37:46.680791213Z,2021-03-15T12:38:05.930859593Z,pre,R3SP,2021-03-15 12:37:46,2021-03-15 12:38:05,19.2500684261322
149,SG,4,NA,4,2021-03-15T12:38:14.306293377Z,2021-03-15T12:38:51.806317899Z,pre,R3SP,2021-03-15 12:38:14,2021-03-15 12:38:51,37.5000243186951
150,SG,4,NA,4,2021-03-15T12:39:10.931402125Z,2021-03-15T12:41:13.432290581Z,pre,R3SP,2021-03-15 12:39:10,2021-03-15 12:41:13,122.500888347626
151,SG,4,NA,4,2021-03-15T12:41:17.557316150Z,2021-03-15T12:41:33.307511317Z,pre,R3SP,2021-03-15 12:41:17,2021-03-15 12:41:33,15.7501952648163
152,SG,4,NA,4,2021-03-15T12:41:39.307464119Z,2021-03-15T12:43:22.183204449Z,pre,R3SP,2021-03-15 12:41:39,2021-03-15 12:43:22,102.875740289688
153,FR,5,14,5,2021-03-15T12:38:45.431621984Z,2021-03-15T12:38:52.181326469Z,pre,R3SP,2021-03-15 12:38:45,2021-03-15 12:38:52,6.74970436096191
154,CR,5,14,5,2021-03-15T12:38:54.056270146Z,2021-03-15T12:39:50.807007635Z,pre,R3SP,2021-03-15 12:38:54,2021-03-15 12:39:50,56.7507374286652
155,CR,5,14,5,2021-03-15T12:40:43.807066602Z,2021-03-15T12:43:21.933267194Z,pre,R3SP,2021-03-15 12:40:43,2021-03-15 12:43:21,158.126200437546
158,FR,6,15,6,2021-03-15T12:32:40.178648111Z,2021-03-15T12:33:53.554101146Z,pre,R3SP,2021-03-15 12:32:40,2021-03-15 12:33:53,73.3754532337189
160,SG,6,NA,6,2021-03-15T12:37:48.430841390Z,2021-03-15T12:37:52.430777718Z,pre,R3SP,2021-03-15 12:37:48,2021-03-15 12:37:52,3.99993634223938
161,SG,6,NA,6,2021-03-15T12:38:12.055906233Z,2021-03-15T12:38:17.306052046Z,pre,R3SP,2021-03-15 12:38:12,2021-03-15 12:38:17,5.25014567375183
162,TB,6,NA,6,2021-03-15T12:39:47.682125860Z,2021-03-15T12:39:56.056729289Z,pre,R3SP,2021-03-15 12:39:47,2021-03-15 12:39:56,8.37460350990295
163,SG,6,NA,6,2021-03-15T12:40:28.557042152Z,2021-03-15T12:41:03.932211529Z,pre,R3SP,2021-03-15 12:40:28,2021-03-15 12:41:03,35.3751695156097
164,SG,7,NA,7,2021-03-15T12:29:35.802304505Z,2021-03-15T12:29:40.052178987Z,pre,R3SP,2021-03-15 12:29:35,2021-03-15 12:29:40,4.24987459182739
165,SG,7,NA,7,2021-03-15T12:30:33.552728391Z,2021-03-15T12:31:02.177911565Z,pre,R3SP,2021-03-15 12:30:33,2021-03-15 12:31:02,28.6251831054688
