,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,duration,RowID,BEH_AW,notes
28,T,7,11,7,2021-03-15 12:23:28,2021-03-15 12:23:45,pre,R3SP,17.5001034736633,24,,
164,SG,7,NA,7,2021-03-15 12:29:35,2021-03-15 12:29:40,pre,R3SP,4.24987459182739,152,,
165,SG,7,NA,7,2021-03-15 12:30:33,2021-03-15 12:31:02,pre,R3SP,28.6251831054688,153,,
167,SG,7,NA,7,2021-03-15 12:38:06,2021-03-15 12:38:08,pre,R3SP,1.75001215934753,155,,
172,SG,8,NA,8,2021-03-15 12:37:56,2021-03-15 12:38:17,pre,R3SP,20.5001356601715,160,,
31,SG,9,NA,9,2021-03-15 12:20:51,2021-03-15 12:20:58,pre,R3SP,6.50005698204041,27,,
32,SG,9,NA,9,2021-03-15 12:21:08,2021-03-15 12:21:19,pre,R3SP,11.3750882148743,28,,
33,SG,9,NA,9,2021-03-15 12:22:03,2021-03-15 12:22:11,pre,R3SP,7.75001096725464,29,,
178,SG,9,NA,9,2021-03-15 12:28:22,2021-03-15 12:28:46,pre,R3SP,24.5001962184906,166,,
182,SG,9,NA,9,2021-03-15 12:32:04,2021-03-15 12:32:07,pre,R3SP,2.87501525878906,169,,
183,SG,9,NA,9,2021-03-15 12:35:45,2021-03-15 12:35:50,pre,R3SP,4.50009870529175,170,,
184,SG,9,NA,9,2021-03-15 12:38:35,2021-03-15 12:38:42,pre,R3SP,7.50005531311035,171,,
185,SG,9,NA,9,2021-03-15 12:39:07,2021-03-15 12:39:15,pre,R3SP,8.50006151199341,172,,
41,SG,10,NA,10,2021-03-15 12:18:12,2021-03-15 12:18:19,pre,R3SP,6.74996161460876,37,,
42,SG,10,NA,10,2021-03-15 12:19:09,2021-03-15 12:19:19,pre,R3SP,10.7501585483551,38,,
193,SG,10,NA,10,2021-03-15 12:42:12,2021-03-15 12:42:29,pre,R3SP,17.2501392364502,180,,
49,SG,11,NA,11,2021-03-15 12:20:21,2021-03-15 12:20:29,pre,R3SP,7.75011324882507,45,,
196,SG,11,NA,11,2021-03-15 12:31:37,2021-03-15 12:32:18,pre,R3SP,40.6252722740173,183,,
197,CR,11,27,11,2021-03-15 12:34:48,2021-03-15 12:34:53,pre,R3SP,4.87500524520874,184,,
210,FR,14,23,14,2021-03-15 12:30:36,2021-03-15 12:31:44,pre,R3SP,67.875527381897,195,,
218,CR,15,8,15,2021-03-15 12:35:31,2021-03-15 12:36:12,pre,R3SP,40.375301361084,197,,
220,SG,16,NA,16,2021-03-15 12:32:40,2021-03-15 12:32:43,pre,R3SP,3.49994611740112,198,,
224,SG,16,NA,16,2021-03-15 12:38:40,2021-03-15 12:38:58,pre,R3SP,18.1255974769592,201,,
226,SG,16,NA,16,2021-03-15 12:42:24,2021-03-15 12:43:21,pre,R3SP,57.00031208992,203,,
231,SG,18,NA,18,2021-03-15 12:33:35,2021-03-15 12:33:42,pre,R3SP,7.12500548362732,208,,
65,SG,19,NA,19,2021-03-15 12:13:36,2021-03-15 12:13:56,pre,R3SP,19.6254742145538,60,,
67,SG,19,NA,19,2021-03-15 12:14:51,2021-03-15 12:14:53,pre,R3SP,1.74994134902954,62,,
68,SG,19,NA,19,2021-03-15 12:15:11,2021-03-15 12:15:13,pre,R3SP,1.8747386932373,63,,
69,G,19,21,19,2021-03-15 12:16:36,2021-03-15 12:16:45,pre,R3SP,9.25011801719666,64,,
234,TQ,19,29,19,2021-03-15 12:31:12,2021-03-15 12:31:20,pre,R3SP,8.62507629394531,211,,
80,CR,21,6,21,2021-03-15 12:25:52,2021-03-15 12:28:22,pre,R3SP,149.626005172729,74,,
81,SG,22,NA,22,2021-03-15 12:18:18,2021-03-15 12:18:25,pre,R3SP,7.12511277198792,75,,
85,SG,22,NA,22,2021-03-15 12:21:59,2021-03-15 12:22:02,pre,R3SP,2.6254563331604,79,,
249,SG,22,NA,22,2021-03-15 12:37:59,2021-03-15 12:38:04,pre,R3SP,4.87503361701965,222,,
88,SG,24,NA,24,2021-03-15 12:15:34,2021-03-15 12:16:09,pre,R3SP,35.2506268024445,81,,
92,SG,24,NA,24,2021-03-15 12:19:44,2021-03-15 12:19:52,pre,R3SP,8.00005698204041,85,,
257,SG,24,NA,24,2021-03-15 12:33:56,2021-03-15 12:34:05,pre,R3SP,9.24997568130493,227,,
263,SG,24,NA,24,2021-03-15 12:43:12,2021-03-15 12:43:21,pre,R3SP,9.25018572807312,231,,
97,SG,25,NA,25,2021-03-15 12:26:33,2021-03-15 12:27:42,pre,R3SP,68.5008592605591,90,,
266,SG,26,NA,26,2021-03-15 12:29:46,2021-03-15 12:29:48,pre,R3SP,1.62499833106995,234,,
103,SG,27,NA,27,2021-03-15 12:20:20,2021-03-15 12:21:16,pre,R3SP,55.499899148941,95,,
104,SG,28,NA,28,2021-03-15 12:15:26,2021-03-15 12:15:47,pre,R3SP,20.5004975795746,96,,
1096,SG,1,NA,1,2021-04-27 11:01:07,2021-04-27 11:01:45,post,R9SP,37.6253499984741,901,,
1100,FR,2,28,2,2021-04-27 11:09:09,2021-04-27 11:09:13,post,R9SP,4.00004863739014,904,,
1102,SG,3,NA,3,2021-04-27 10:56:20,2021-04-27 10:56:28,post,R9SP,7.50007510185242,906,,
1104,SG,3,NA,3,2021-04-27 10:58:35,2021-04-27 10:58:39,post,R9SP,3.5000433921814,908,,
1116,SG,3,NA,3,2021-04-27 11:10:45,2021-04-27 11:10:55,post,R9SP,10.1250970363617,918,,
1420,T,3,4,3,2021-04-27 11:16:54,2021-04-27 11:17:29,post,R9SP,35.12544465065,1162,,
1423,SG,3,NA,3,2021-04-27 11:20:27,2021-04-27 11:20:47,post,R9SP,19.7501993179321,1164,,
1119,SG,4,NA,4,2021-04-27 11:01:04,2021-04-27 11:01:29,post,R9SP,24.875203371048,921,,
1120,CR,4,19,4,2021-04-27 11:05:03,2021-04-27 11:05:26,post,R9SP,23.6252107620239,922,,
1122,CR,4,19,4,2021-04-27 11:08:28,2021-04-27 11:08:32,post,R9SP,4.25005650520325,924,,
1124,FR,4,33,4,2021-04-27 11:09:58,2021-04-27 11:10:17,post,R9SP,19.5001738071442,926,,
1134,CB,5,NA,5,2021-04-27 11:06:56,2021-04-27 11:07:10,post,R9SP,13.3751850128174,936,,
1135,CB,5,NA,5,2021-04-27 11:07:44,2021-04-27 11:07:57,post,R9SP,13.2500629425049,937,,
1137,SG,5,NA,5,2021-04-27 11:08:24,2021-04-27 11:08:30,post,R9SP,5.75006580352783,939,,
1139,SG,5,NA,5,2021-04-27 11:09:23,2021-04-27 11:09:25,post,R9SP,2.12501168251038,941,,
1435,SG,5,NA,5,2021-04-27 11:11:33,2021-04-27 11:11:41,post,R9SP,8.12551712989807,1174,,
1442,SG,5,NA,5,2021-04-27 11:22:11,2021-04-27 11:22:18,post,R9SP,7.37509918212891,1181,,
1443,G,5,32,5,2021-04-27 11:22:33,2021-04-27 11:22:37,post,R9SP,3.50003862380981,1182,,
1444,A,5,32,5,2021-04-27 11:22:38,2021-04-27 11:22:42,post,R9SP,3.62500834465027,1183,,
1445,G,5,32,5,2021-04-27 11:22:42,2021-04-27 11:23:12,post,R9SP,30.2503807544708,1184,,
1448,G,5,32,5,2021-04-27 11:23:59,2021-04-27 11:24:14,post,R9SP,14.5002417564392,1187,,
1455,SG,5,NA,5,2021-04-27 11:25:41,2021-04-27 11:25:45,post,R9SP,4.74998188018799,1194,,
1142,FR,6,26,6,2021-04-27 11:07:44,2021-04-27 11:07:50,post,R9SP,6.12507224082947,944,,
1143,SG,6,NA,6,2021-04-27 11:11:10,2021-04-27 11:11:20,post,R9SP,9.75016570091248,945,,
1144,SG,7,NA,7,2021-04-27 10:58:05,2021-04-27 10:58:50,post,R9SP,44.3753905296326,946,,
1145,SG,7,NA,7,2021-04-27 10:59:56,2021-04-27 11:00:21,post,R9SP,25.250205039978,947,,
1147,SG,7,NA,7,2021-04-27 11:08:27,2021-04-27 11:08:32,post,R9SP,5.12502670288086,949,,
1151,SG,9,NA,9,2021-04-27 10:56:30,2021-04-27 10:56:38,post,R9SP,8.00013971328735,953,,
1157,SG,9,NA,9,2021-04-27 11:01:58,2021-04-27 11:02:02,post,R9SP,4.00003147125244,959,,
1162,SG,9,NA,9,2021-04-27 11:05:51,2021-04-27 11:06:05,post,R9SP,13.3751401901245,964,,
1163,SG,9,NA,9,2021-04-27 11:07:18,2021-04-27 11:07:34,post,R9SP,16.2501850128174,965,,
1478,SG,9,NA,9,2021-04-27 11:20:08,2021-04-27 11:20:53,post,R9SP,44.5004496574402,1212,,
1170,FR,10,28,10,2021-04-27 11:06:16,2021-04-27 11:06:22,post,R9SP,6.25005340576172,971,,
1489,SG,10,NA,10,2021-04-27 11:14:20,2021-04-27 11:14:30,post,R9SP,9.37507510185242,1218,,
1175,SG,11,NA,11,2021-04-27 11:01:01,2021-04-27 11:01:05,post,R9SP,3.75003361701965,976,,
1177,SG,11,NA,11,2021-04-27 11:02:02,2021-04-27 11:02:27,post,R9SP,25.3751826286316,978,,
1179,G,11,16,11,2021-04-27 11:03:30,2021-04-27 11:03:45,post,R9SP,15.2502043247223,979,,
1189,SG,11,NA,11,2021-04-27 11:10:39,2021-04-27 11:11:21,post,R9SP,42.1254873275757,988,,
1506,SG,11,NA,11,2021-04-27 11:21:41,2021-04-27 11:21:57,post,R9SP,16.4997017383575,1234,,
1507,T,11,22,11,2021-04-27 11:23:40,2021-04-27 11:24:43,post,R9SP,63.0005967617035,1235,,
1508,SG,11,NA,11,2021-04-27 11:25:34,2021-04-27 11:25:36,post,R9SP,1.49993276596069,1236,,
1190,SG,12,NA,12,2021-04-27 10:57:05,2021-04-27 10:57:10,post,R9SP,5.25001525878906,989,,
1191,SG,12,NA,12,2021-04-27 10:57:17,2021-04-27 10:57:34,post,R9SP,17.3751592636108,990,,
1198,SG,12,NA,12,2021-04-27 11:03:07,2021-04-27 11:03:10,post,R9SP,2.62507081031799,997,,
1200,SG,12,NA,12,2021-04-27 11:05:18,2021-04-27 11:05:28,post,R9SP,10.0001418590546,999,,
1201,SG,12,NA,12,2021-04-27 11:05:34,2021-04-27 11:06:15,post,R9SP,40.8753931522369,1000,,
1512,T,12,31,12,2021-04-27 11:15:19,2021-04-27 11:15:25,post,R9SP,6.37506437301636,1240,,
1209,SG,13,NA,13,2021-04-27 11:06:03,2021-04-27 11:06:34,post,R9SP,30.5002951622009,1006,,
1523,CR,14,22,14,2021-04-27 11:18:30,2021-04-27 11:18:34,post,R9SP,3.62495422363281,1251,,
1524,SG,14,NA,14,2021-04-27 11:19:21,2021-04-27 11:19:23,post,R9SP,1.87501835823059,1252,,
1525,CR,14,23,14,2021-04-27 11:23:53,2021-04-27 11:23:58,post,R9SP,5.0000364780426,1253,,
1527,FR,14,31,14,2021-04-27 11:25:15,2021-04-27 11:25:19,post,R9SP,4.12503385543823,1254,,
1215,SG,15,NA,15,2021-04-27 10:58:08,2021-04-27 10:59:23,post,R9SP,74.375670671463,1012,,
1530,SG,15,NA,15,2021-04-27 11:25:57,2021-04-27 11:26:13,post,R9SP,16.1251559257507,1257,,
1226,SG,16,NA,16,2021-04-27 11:04:08,2021-04-27 11:04:46,post,R9SP,38.0004274845123,1022,,
1228,SG,16,NA,16,2021-04-27 11:07:18,2021-04-27 11:08:31,post,R9SP,73.1257190704346,1024,,
1537,SG,16,NA,16,2021-04-27 11:14:50,2021-04-27 11:15:01,post,R9SP,11.5001225471497,1263,,
1540,SG,16,NA,16,2021-04-27 11:19:40,2021-04-27 11:19:44,post,R9SP,3.62500238418579,1266,,
1546,SG,16,NA,16,2021-04-27 11:22:16,2021-04-27 11:22:22,post,R9SP,6.00010824203491,1272,,
1548,CR,16,25,16,2021-04-27 11:23:58,2021-04-27 11:24:01,post,R9SP,3.25001692771912,1274,,
1232,SG,17,NA,17,2021-04-27 10:56:40,2021-04-27 10:56:56,post,R9SP,15.2501356601715,1027,,
1233,SG,17,NA,17,2021-04-27 10:57:00,2021-04-27 10:57:03,post,R9SP,2.87502765655518,1028,,
1235,SG,17,NA,17,2021-04-27 10:58:42,2021-04-27 10:58:47,post,R9SP,5.00000357627869,1030,,
1552,SG,17,NA,17,2021-04-27 11:13:52,2021-04-27 11:14:52,post,R9SP,60.125568151474,1278,,
1558,SG,18,NA,18,2021-04-27 11:11:39,2021-04-27 11:11:44,post,R9SP,5.25027704238892,1284,,
1562,SG,18,NA,18,2021-04-27 11:15:49,2021-04-27 11:16:06,post,R9SP,17.1250174045563,1287,,
1564,SG,18,NA,18,2021-04-27 11:18:02,2021-04-27 11:18:10,post,R9SP,7.37508201599121,1288,,
1566,SG,18,NA,18,2021-04-27 11:21:26,2021-04-27 11:23:31,post,R9SP,125.126195192337,1290,,
1570,SG,18,NA,18,2021-04-27 11:25:34,2021-04-27 11:25:49,post,R9SP,14.6251418590546,1293,,
1573,SG,19,NA,19,2021-04-27 11:12:06,2021-04-27 11:12:21,post,R9SP,14.7501442432404,1296,,
1575,SG,19,NA,19,2021-04-27 11:18:52,2021-04-27 11:18:59,post,R9SP,6.50015068054199,1298,,
1577,FR,19,31,19,2021-04-27 11:22:32,2021-04-27 11:22:37,post,R9SP,5.12493085861206,1300,,
1253,CR,20,19,20,2021-04-27 10:57:19,2021-04-27 10:57:22,post,R9SP,2.75002121925354,1040,,
1255,CR,20,33,20,2021-04-27 11:09:42,2021-04-27 11:10:17,post,R9SP,35.1253368854523,1041,,
1584,FR,20,22,20,2021-04-27 11:18:45,2021-04-27 11:18:53,post,R9SP,8.62508893013,1304,,
1588,FR,20,30,20,2021-04-27 11:24:04,2021-04-27 11:24:13,post,R9SP,8.62508416175842,1305,,
1257,SG,21,NA,21,2021-04-27 11:04:15,2021-04-27 11:04:26,post,R9SP,11.1250691413879,1043,,
1260,SG,21,NA,21,2021-04-27 11:08:14,2021-04-27 11:08:23,post,R9SP,9.00007390975952,1046,,
1263,G,21,23,21,2021-04-27 11:09:44,2021-04-27 11:10:19,post,R9SP,34.7504045963287,1049,,
1265,G,21,23,21,2021-04-27 11:10:22,2021-04-27 11:10:25,post,R9SP,3.37503170967102,1051,,
1596,SG,21,NA,21,2021-04-27 11:14:50,2021-04-27 11:14:57,post,R9SP,6.37497401237488,1312,,
1600,A,21,23,21,2021-04-27 11:15:38,2021-04-27 11:15:40,post,R9SP,2.00002646446228,1316,,
1601,G,21,23,21,2021-04-27 11:15:40,2021-04-27 11:16:29,post,R9SP,48.1258866786957,1317,,
1603,G,21,23,21,2021-04-27 11:17:05,2021-04-27 11:17:25,post,R9SP,19.2497601509094,1319,,
1604,SG,21,NA,21,2021-04-27 11:17:30,2021-04-27 11:17:34,post,R9SP,3.49999070167542,1320,,
1610,SG,21,NA,21,2021-04-27 11:21:15,2021-04-27 11:21:19,post,R9SP,3.12476396560669,1326,,
1613,SG,21,NA,21,2021-04-27 11:22:18,2021-04-27 11:22:21,post,R9SP,3.87495732307434,1328,,
1614,SG,21,NA,21,2021-04-27 11:23:05,2021-04-27 11:23:08,post,R9SP,3.62489366531372,1329,,
1272,SG,22,NA,22,2021-04-27 10:56:25,2021-04-27 10:56:28,post,R9SP,3.25006365776062,1058,,
1274,SG,22,NA,22,2021-04-27 10:56:52,2021-04-27 10:56:57,post,R9SP,4.25004196166992,1060,,
1280,SG,22,NA,22,2021-04-27 11:03:06,2021-04-27 11:03:16,post,R9SP,9.37515592575073,1066,,
1281,G,22,32,22,2021-04-27 11:03:20,2021-04-27 11:03:33,post,R9SP,13.1251814365387,1067,,
1282,SG,22,NA,22,2021-04-27 11:03:49,2021-04-27 11:03:58,post,R9SP,9.00009202957153,1068,,
1285,G,22,23,22,2021-04-27 11:04:48,2021-04-27 11:04:55,post,R9SP,6.37507033348083,1071,,
1288,SG,22,NA,22,2021-04-27 11:06:32,2021-04-27 11:06:35,post,R9SP,2.50009489059448,1074,,
1629,SG,22,NA,22,2021-04-27 11:22:42,2021-04-27 11:22:50,post,R9SP,7.99982714653015,1342,,
1296,SG,23,NA,23,2021-04-27 11:00:15,2021-04-27 11:00:22,post,R9SP,7.50010967254639,1080,,
1315,SG,23,NA,23,2021-04-27 11:09:05,2021-04-27 11:09:28,post,R9SP,23.3752484321594,1084,,
1641,SG,23,NA,23,2021-04-27 11:17:38,2021-04-27 11:17:40,post,R9SP,2.62503600120544,1345,,
1646,SG,23,NA,23,2021-04-27 11:20:10,2021-04-27 11:20:44,post,R9SP,33.2503345012665,1348,,
1647,SG,23,NA,23,2021-04-27 11:20:48,2021-04-27 11:21:15,post,R9SP,27.3755853176117,1349,,
1648,SG,23,NA,23,2021-04-27 11:21:23,2021-04-27 11:21:41,post,R9SP,17.5001704692841,1350,,
1654,SG,24,NA,24,2021-04-27 11:12:47,2021-04-27 11:12:51,post,R9SP,4.75046539306641,1354,,
1326,SG,26,NA,26,2021-04-27 10:56:57,2021-04-27 10:57:09,post,R9SP,11.5000877380371,1087,,
1329,G,26,32,26,2021-04-27 11:04:14,2021-04-27 11:04:19,post,R9SP,5.00005102157593,1090,,
1336,SG,27,NA,27,2021-04-27 11:02:38,2021-04-27 11:03:12,post,R9SP,34.2503726482391,1096,,
1337,SG,27,NA,27,2021-04-27 11:06:51,2021-04-27 11:06:54,post,R9SP,2.62503886222839,1097,,
1338,SG,27,NA,27,2021-04-27 11:07:44,2021-04-27 11:07:50,post,R9SP,5.37501859664917,1098,,
1340,G,27,16,27,2021-04-27 11:11:05,2021-04-27 11:11:20,post,R9SP,15.2502212524414,1100,,
1659,SG,27,NA,27,2021-04-27 11:11:30,2021-04-27 11:11:43,post,R9SP,13.0000536441803,1359,,
1660,SG,27,31,27,2021-04-27 11:11:54,2021-04-27 11:12:00,post,R9SP,5.75005435943604,1360,,
1665,SG,27,NA,27,2021-04-27 11:23:39,2021-04-27 11:23:43,post,R9SP,4.25004410743713,1365,,
1667,SG,27,NA,27,2021-04-27 11:25:10,2021-04-27 11:25:15,post,R9SP,4.75004553794861,1367,,
1344,G,28,3,28,2021-04-27 11:05:02,2021-04-27 11:05:17,post,R9SP,14.1251106262207,1103,,
1672,SG,28,NA,28,2021-04-27 11:16:14,2021-04-27 11:16:31,post,R9SP,17.0001933574677,1372,,
1676,G,28,29,28,2021-04-27 11:19:24,2021-04-27 11:21:01,post,R9SP,97.8764717578888,1376,,
1361,SG,29,NA,29,2021-04-27 11:09:08,2021-04-27 11:09:21,post,R9SP,13.0001289844513,1118,,
1686,SG,29,NA,29,2021-04-27 11:15:48,2021-04-27 11:16:12,post,R9SP,23.8752174377441,1382,,
1694,SG,29,NA,29,2021-04-27 11:21:48,2021-04-27 11:21:52,post,R9SP,3.1250205039978,1385,,
1371,SG,31,NA,31,2021-04-27 11:02:01,2021-04-27 11:02:19,post,R9SP,17.2502191066742,1126,,
1708,SG,31,NA,31,2021-04-27 11:12:14,2021-04-27 11:12:17,post,R9SP,3.37546443939209,1391,,
1376,SG,32,NA,32,2021-04-27 11:00:50,2021-04-27 11:01:02,post,R9SP,11.7501058578491,1129,,
1385,SG,33,NA,33,2021-04-27 11:01:57,2021-04-27 11:02:14,post,R9SP,17.3751647472382,1130,,
1388,G,33,23,33,2021-04-27 11:02:51,2021-04-27 11:03:00,post,R9SP,8.25000643730164,1133,,
1392,G,33,23,33,2021-04-27 11:03:40,2021-04-27 11:04:03,post,R9SP,23.3752334117889,1137,,
1393,SG,33,NA,33,2021-04-27 11:04:04,2021-04-27 11:04:14,post,R9SP,9.37512350082397,1138,,
1395,A,33,23,33,2021-04-27 11:04:23,2021-04-27 11:04:28,post,R9SP,5.25005459785461,1140,,
1396,SG,33,NA,33,2021-04-27 11:04:29,2021-04-27 11:04:41,post,R9SP,11.6251339912415,1141,,
1397,G,33,23,33,2021-04-27 11:04:43,2021-04-27 11:04:56,post,R9SP,13.5000369548798,1142,,
