,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,duration,RowID,BEH_AW,notes
955,SG,4,NA,4,2021-04-26 11:24:18,2021-04-26 11:24:41,pre,R9SP,23.4997787475586,778,,
782,SG,5,NA,5,2021-04-26 11:05:52,2021-04-26 11:06:06,pre,R9SP,14.2501313686371,634,,
783,SG,5,NA,5,2021-04-26 11:06:10,2021-04-26 11:06:31,pre,R9SP,21.1251947879791,635,,
959,SG,5,NA,5,2021-04-26 11:18:25,2021-04-26 11:18:27,pre,R9SP,2.3750205039978,782,,
963,SG,6,NA,6,2021-04-26 11:22:19,2021-04-26 11:22:25,pre,R9SP,5.87503719329834,786,,
797,SG,9,NA,9,2021-04-26 10:57:10,2021-04-26 10:57:16,pre,R9SP,5.49999403953552,646,,
799,CR,9,17,9,2021-04-26 11:09:25,2021-04-26 11:10:14,pre,R9SP,48.5008456707001,648,,
967,SG,9,NA,9,2021-04-26 11:11:21,2021-04-26 11:11:24,pre,R9SP,3.50002241134644,790,,
968,SG,9,NA,9,2021-04-26 11:12:01,2021-04-26 11:12:08,pre,R9SP,6.75002312660217,791,,
970,SG,9,NA,9,2021-04-26 11:12:40,2021-04-26 11:12:50,pre,R9SP,10.5002021789551,793,,
980,SG,9,NA,9,2021-04-26 11:25:59,2021-04-26 11:26:20,pre,R9SP,21.2501842975616,803,,
802,SG,10,NA,10,2021-04-26 11:08:01,2021-04-26 11:08:16,pre,R9SP,14.1250197887421,650,,
803,SG,11,NA,11,2021-04-26 10:56:27,2021-04-26 10:56:29,pre,R9SP,2.62540817260742,651,,
804,SG,11,NA,11,2021-04-26 10:58:14,2021-04-26 10:58:16,pre,R9SP,1.62491011619568,652,,
805,T,11,14,11,2021-04-26 10:59:10,2021-04-26 10:59:19,pre,R9SP,8.62501215934753,653,,
809,CR,11,14,11,2021-04-26 11:00:56,2021-04-26 11:01:02,pre,R9SP,5.12513542175293,657,,
814,SG,12,NA,12,2021-04-26 10:59:18,2021-04-26 10:59:21,pre,R9SP,2.87518930435181,662,,
815,CR,12,4,12,2021-04-26 11:10:59,2021-04-26 11:11:20,pre,R9SP,20.7502179145813,663,,
994,FR,12,25,12,2021-04-26 11:23:24,2021-04-26 11:24:02,pre,R9SP,38.1257472038269,814,,
817,SG,13,NA,13,2021-04-26 11:08:15,2021-04-26 11:08:29,pre,R9SP,14.1251378059387,665,,
995,SG,13,NA,13,2021-04-26 11:11:33,2021-04-26 11:11:39,pre,R9SP,6.37551331520081,815,,
997,SG,13,NA,13,2021-04-26 11:12:04,2021-04-26 11:12:10,pre,R9SP,6.25009989738464,817,,
1000,SG,13,NA,13,2021-04-26 11:21:55,2021-04-26 11:21:59,pre,R9SP,3.24992179870605,820,,
825,SG,14,NA,14,2021-04-26 10:59:30,2021-04-26 10:59:53,pre,R9SP,23.0002152919769,672,,
830,SG,14,NA,14,2021-04-26 11:02:20,2021-04-26 11:02:41,pre,R9SP,21.0001678466797,675,,
1001,FR,14,22,14,2021-04-26 11:11:37,2021-04-26 11:11:45,pre,R9SP,7.50013184547424,821,,
1008,FR,14,34,14,2021-04-26 11:21:06,2021-04-26 11:21:10,pre,R9SP,4.00004649162292,828,,
842,SG,17,NA,17,2021-04-26 11:01:06,2021-04-26 11:01:12,pre,R9SP,5.75005698204041,687,,
849,SG,17,NA,17,2021-04-26 11:07:59,2021-04-26 11:08:30,pre,R9SP,31.6252202987671,694,,
1017,SG,17,NA,17,2021-04-26 11:17:19,2021-04-26 11:17:35,pre,R9SP,16.1250855922699,837,,
1019,SG,17,NA,17,2021-04-26 11:19:21,2021-04-26 11:20:03,pre,R9SP,42.1252975463867,839,,
850,SG,18,NA,18,2021-04-26 10:58:41,2021-04-26 10:59:22,pre,R9SP,40.8749792575836,695,,
851,SG,18,NA,18,2021-04-26 11:02:29,2021-04-26 11:02:41,pre,R9SP,12.0001709461212,696,,
856,SG,18,NA,18,2021-04-26 11:07:49,2021-04-26 11:07:56,pre,R9SP,6.7499897480011,699,,
863,SG,19,NA,19,2021-04-26 10:57:02,2021-04-26 10:57:14,pre,R9SP,11.3752174377441,706,,
870,SG,21,NA,21,2021-04-26 11:01:47,2021-04-26 11:01:58,pre,R9SP,11.6251006126404,711,,
876,SG,21,NA,21,2021-04-26 11:09:24,2021-04-26 11:10:30,pre,R9SP,65.6256396770477,717,,
877,SG,22,NA,22,2021-04-26 10:57:39,2021-04-26 10:57:58,pre,R9SP,18.2501010894775,718,,
880,SG,22,NA,22,2021-04-26 11:03:37,2021-04-26 11:03:43,pre,R9SP,6.75005388259888,721,,
1038,SG,22,NA,22,2021-04-26 11:11:20,2021-04-26 11:11:26,pre,R9SP,5.37503552436829,855,,
1049,SG,22,NA,22,2021-04-26 11:26:01,2021-04-26 11:26:21,pre,R9SP,20.6252789497375,865,,
888,T,23,29,23,2021-04-26 10:56:37,2021-04-26 10:56:48,pre,R9SP,10.6246955394745,728,,
898,SG,24,NA,24,2021-04-26 11:06:58,2021-04-26 11:07:03,pre,R9SP,4.62495493888855,737,,
899,SG,24,NA,24,2021-04-26 11:07:07,2021-04-26 11:07:18,pre,R9SP,10.5000860691071,738,,
909,SG,27,NA,27,2021-04-26 11:03:30,2021-04-26 11:03:40,pre,R9SP,10.5001041889191,745,,
910,TB,27,NA,27,2021-04-26 11:03:42,2021-04-26 11:03:46,pre,R9SP,4.00010085105896,746,,
911,SG,27,NA,27,2021-04-26 11:03:56,2021-04-26 11:03:58,pre,R9SP,2.00003218650818,747,,
912,SG,27,NA,27,2021-04-26 11:07:14,2021-04-26 11:07:46,pre,R9SP,32.2502930164337,748,,
918,SG,28,NA,28,2021-04-26 11:08:29,2021-04-26 11:08:34,pre,R9SP,4.75,754,,
1066,FR,28,22,28,2021-04-26 11:19:53,2021-04-26 11:20:16,pre,R9SP,23.7502083778381,876,,
922,TB,29,NA,29,2021-04-26 11:09:43,2021-04-26 11:09:50,pre,R9SP,7.25007820129395,756,,
1070,SG,29,NA,29,2021-04-26 11:24:52,2021-04-26 11:25:16,pre,R9SP,24.2503502368927,880,,
923,FR,30,31,30,2021-04-26 10:56:21,2021-04-26 10:57:13,pre,R9SP,52.3753938674927,757,,
926,SG,30,NA,30,2021-04-26 11:08:39,2021-04-26 11:08:42,pre,R9SP,3.62511444091797,760,,
933,SG,31,NA,31,2021-04-26 11:07:25,2021-04-26 11:07:28,pre,R9SP,3.25004053115845,762,,
941,SG,34,NA,34,2021-04-26 11:05:02,2021-04-26 11:05:08,pre,R9SP,6.00003814697266,769,,
945,SG,34,NA,34,2021-04-26 11:08:04,2021-04-26 11:08:09,pre,R9SP,4.62504696846008,771,,
