tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2711162	1468800	167.909	0	0	NA	NA	N	0	0	0	0	alive	queen	R5SS
2	2589396	1468800	0.806	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
3	2643462	1468800	97.456	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
4	2556855	1468800	91.479	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
5	2633009	1468800	-86.661	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
6	2610990	1468800	86.706	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
7	2639035	1468800	-86.941	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
8	2707303	1468800	91.962	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
9	2678495	1468800	-97.185	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
10	2651959	1468800	10.98	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
11	2581191	1468800	-175.874	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
12	2699643	1468800	-96.381	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
13	2676433	1468800	-11.104	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
14	2646777	1468800	-84.081	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
15	2652309	1468800	69.21	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
16	2553699	1468800	179.145	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
17	2546965	1468800	-93.457	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
18	2723830	1468800	178.261	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
19	2524084	1468800	97.942	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
20	2727732	1468800	6.201	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
21	2529623	1468800	176.73	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
22	2674360	1468800	99.414	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
23	2675805	1468800	107.897	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
24	2708690	1468800	162.04	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
26	2717288	1468800	110.525	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
27	2683641	1468800	-178.275	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
28	2608862	1468800	88.615	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
29	2641629	1468800	-178.168	0	0	NA	NA	N	0	0	0	0	alive	forager	R5SS
30	2544642	1468800	-4.675	0	0	NA	NA	N	0	0	0	0	alive	nurse	R5SS
