tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
74	2736395	1468800	-89.708	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
75	2718240	1468800	-94.848	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
76	2718174	1468800	4.074	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
77	2747743	1468800	158.414	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
78	2618911	1468800	-178.988	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
79	2731395	1468800	76.258	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
80	2692804	1468800	14.526	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
81	2740537	1468800	-101.682	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
82	2710986	1468800	-95.917	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
83	2718736	1468800	-0.527	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
84	2596367	1468800	77.934	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
85	2735456	1468800	-5.589	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
86	2738284	1468800	175.08	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
87	2658644	1468800	90.244	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
88	2736820	1468800	-13.632	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
90	2671588	1468800	-173.358	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
91	2751844	1468800	87.457	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
92	2727959	1468800	-173.099	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
93	2732462	1468800	85.174	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
94	2714297	1468800	95.189	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
95	2742764	1468800	5.073	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
96	2752124	1468800	-90.705	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
97	2575500	1468800	90.021	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
98	2669938	1468800	175.743	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
99	2742004	1468800	93.183	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
100	2721303	1468800	102.416	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
101	2669426	1468800	174.832	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
102	2761225	1468800	97.467	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
103	2654448	1468800	173.737	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
104	2657486	1468800	172.862	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
105	2734930	1468800	-173.486	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
106	2649748	1468800	95.862	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
107	2683041	1468800	95.332	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
109	2724148	1468800	-60.839	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
110	2741972	1468800	-5.954	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
111	2747559	1468800	-175.349	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
112	2732868	1468800	171.78	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
113	2750227	1468800	-91.075	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
114	2699707	1468800	85.641	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
115	2727783	1468800	-84.893	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
116	2716120	1468800	86.064	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
117	2679727	1468800	100.274	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
119	2720521	1468800	-97.683	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
120	2698663	1468800	78.747	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
121	2702018	1468800	-92.183	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
124	2680008	1468800	87.485	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
125	2680658	1468800	-178.235	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
126	2640654	1468800	-89.504	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
127	2745871	1468800	-1.222	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
128	2727291	1468800	93.232	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
129	2731363	1468800	-89.589	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
130	2755034	1468800	-90.763	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
131	2632749	1468800	-60.98	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
132	2745023	1468800	-176.597	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
133	2737732	1468800	-178.639	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
134	2735521	1468800	171.139	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
135	2705796	1468800	77.35	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
136	2747649	1468800	89.021	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
137	2764700	1468800	-7.573	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
138	2509002	1468800	-83.317	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
139	2540854	1468800	-85.586	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
140	2709794	1468800	177.819	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
141	2755308	1468800	179.13	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
142	2686169	1468800	-179.682	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
143	2684382	1468800	-5.77	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
144	2745087	1468800	4.804	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
145	2740528	1468800	-173.779	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
146	2710680	1468800	-176.708	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
147	2713447	1468800	89.171	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
148	2739187	1468800	173.8	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
149	2719040	1468800	86.425	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
150	2717337	1468800	173.937	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
151	2664441	1468800	81.889	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
152	2709410	1468800	-156.428	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
153	2705922	1468800	-77.588	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
