tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2753688	1468800	-178.921	0	0	NA	NA	N	0	0	0	0	alive	queen	R13SP
2	2662260	1468800	83.435	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
3	2429532	1468800	84.066	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
4	2573074	1468800	5.784	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
5	2303430	1468800	178.327	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
6	2639254	1468800	-87.211	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
7	2390970	1468800	-84.238	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
8	2693388	1468800	-95.796	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
9	2666586	1468800	-6.68	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
10	2641964	1468800	-104.688	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
11	2719876	1468800	178.073	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
12	2691148	1468800	-82.416	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
13	2668266	1468800	-90.059	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
14	2672494	1468800	102.861	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
15	2567515	1468800	-86.307	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
16	2060370	1468800	-96.075	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
17	2558718	1468800	85.475	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
18	2649732	1468800	-88.21	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
19	2373518	1468800	-0.301	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
20	2369086	1468800	172.593	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
21	2645435	1468800	178.824	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
22	2705474	1468800	175.55	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
23	2542955	1468800	-15.315	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
24	2500304	1468800	94.183	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
25	2497483	1468800	1.83	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
27	2559684	1468800	89.343	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
28	2662836	1468800	-82.336	0	0	NA	NA	N	0	0	0	0	alive	nurse	R13SP
29	2516222	1468800	85.526	0	0	NA	NA	N	0	0	0	0	alive	forager	R13SP
