tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2628813	1468800	-101.563	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
2	2636920	1468800	1.551	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
3	2676671	1468800	-103.702	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
4	2658540	1468800	-175.229	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
5	2707584	1468800	160.911	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
6	2471500	1468800	-174.422	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
7	2653824	1468800	-4.2	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
8	2691855	1468800	-89.25	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
9	2630101	1468800	-4.095	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
10	2711762	1468800	179.969	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
11	2664859	1468800	-86.536	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
12	2659402	1468800	-97.58	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
13	2685224	1468800	-179.963	0	0	NA	NA	N	0	0	0	0	alive	queen	R10BP
14	2696642	1468800	92.635	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
15	2682243	1468800	-66.193	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
16	2639725	1468800	-166.6	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
17	2633566	1468800	2.718	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
18	2694411	1468800	-98.817	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
19	2640523	1468800	-90.359	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
20	2539802	1468800	-92.925	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
21	2652252	1468800	-178.373	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
22	2697554	1468800	91.559	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
23	2682941	1468800	81.134	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
24	2645631	1468800	-172.936	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
25	2637567	1468800	90.073	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
26	2683102	1468800	-4.086	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
27	2664235	1468800	-89.307	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
28	2486687	1468800	176.45	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
29	2666148	1468800	92.995	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
30	2689786	1468800	-174.877	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
31	2642950	1468800	143.958	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
32	2662798	1468800	179.203	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
33	2675806	1468800	-88.862	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
34	2494290	1468800	2.789	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
35	2590550	1468800	-171.424	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
36	2586071	1468800	85.625	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
37	2673844	1468800	175.063	0	0	NA	NA	N	0	0	0	0	alive	nurse	R10BP
38	2629853	1468800	176.29	0	0	NA	NA	N	0	0	0	0	alive	forager	R10BP
