tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2727005	1468800	-5.559	0	0	NA	NA	N	0	0	0	0	alive	queen	R14SS
2	2752576	1468800	86.273	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
3	2561893	1468800	87.472	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
4	2690155	1468800	-87.88	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
5	2663760	1468800	-163.454	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
6	2689893	1468800	109.259	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
8	2723500	1468800	-86.409	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
10	2633915	1468800	89.262	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
11	2645460	1468800	-87.893	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
12	2612943	1468800	177.405	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
13	1784836	1468800	0.728	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
14	2726283	1468800	177.8	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
15	2687044	1468800	-0.628	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
16	2718792	1468800	-93.352	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
17	2410514	1468800	-178.577	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
18	2652201	1468800	68.735	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
19	2732330	1468800	-100.426	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
20	2491937	1468800	-86.172	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
21	2555218	1468800	-11.04	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
22	2697764	1468800	-173.225	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
23	2541083	1468800	3.347	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
24	2698149	1468800	176.634	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
25	2656280	1468800	-2.424	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
26	2637349	1468800	173.665	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
27	2737010	1468800	-94.278	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
28	2698977	1468800	170.332	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
29	2720558	1468800	-99.81	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
30	2560037	1468800	178.586	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
31	2670393	1468800	81.711	0	0	NA	NA	N	0	0	0	0	alive	nurse	R14SS
32	2618016	1468800	-89.386	0	0	NA	NA	N	0	0	0	0	alive	forager	R14SS
