tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
70	2632769	1468800	175.668	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
71	2711062	1468800	92.234	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
72	2637870	1468800	176.091	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
73	2735611	1468800	-91.689	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
74	2663099	1468800	-68.058	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
75	2693846	1468800	2.475	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
76	2668933	1468800	173.953	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
77	2731162	1468800	-167.68	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
78	2642633	1468800	-151.174	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
79	2594358	1468800	89.844	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
80	2568825	1468800	11.612	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
81	2693434	1468800	96.086	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
82	2560658	1468800	-93.768	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
83	2755484	1468800	-84.277	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
84	2742709	1468800	107.266	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
85	2773066	1468800	-86.214	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
86	2640131	1468800	2.946	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
87	2505725	1468800	176.854	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
88	2394186	1468800	84.833	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
89	2693208	1468800	-176.188	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
90	2490016	1468800	-95.357	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
91	2488242	1468800	82.968	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
92	2693520	1468800	85.522	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
93	2627051	1468800	-2.229	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
94	2639052	1468800	-3.719	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
95	2741526	1468800	-179.256	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
96	2631049	1468800	1.226	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
97	2746114	1468800	-177.809	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
98	2685665	1468800	-3.38	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
99	2716696	1468800	-3.105	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
100	2681251	1468800	-86.076	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
101	1788574	1468800	9.225	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
102	2691792	1468800	-83.928	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
103	2646418	1468800	103.814	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
104	2714121	1468800	89.956	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
105	2748261	1468800	174.819	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
106	2728439	1468800	5.929	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
107	2709697	1468800	90.223	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
108	2615598	1468800	0.471	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
109	2626563	1468800	-91.23	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
110	2757839	1468800	-18.545	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
111	2646382	1468800	175.035	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
112	2631349	1468800	94.74	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
113	2742082	1468800	-0.958	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
114	2700266	1468800	153.862	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
115	2667529	1468800	-178.09	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
116	2615145	1468800	168.512	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
117	2628435	1468800	86.973	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
118	2741124	1468800	-178.553	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
119	2669396	1468800	-9.283	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
120	2715958	1468800	-163.867	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
121	2758223	1468800	-0.093	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
122	2717355	1468800	-76.449	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
123	2736503	1468800	-176.032	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
124	2678074	1468800	-162.116	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
125	2559738	1468800	88.803	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
126	2728512	1468800	91.755	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
127	2542680	1468800	178.994	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
128	2727683	1468800	103.286	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
129	2728454	1468800	176.392	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
130	2729664	1468800	87.969	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
131	2758925	1468800	-178.246	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
