tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2661395	1468800	84.885	0	0	NA	NA	N	0	0	0	0	alive	queen	R11BP
2	2537872	1468800	174.415	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
3	2559143	1468800	-85.84	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
4	2679302	1468800	167.304	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
5	2527049	1468800	100.081	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
6	2703104	1468800	-93.794	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
7	2633226	1468800	172.721	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
8	2565130	1468800	-4.203	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
9	2624850	1468800	13.244	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
10	2667215	1468800	177.835	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
11	2640097	1468800	166.239	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
12	2708129	1468800	92.895	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
13	2570559	1468800	102.481	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
14	2528436	1468800	1.668	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
15	2594325	1468800	-84.671	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
16	2602040	1468800	4.83	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
17	2695195	1468800	169.433	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
18	2635531	1468800	-7.206	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
19	2645684	1468800	82.72	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
20	2644637	1468800	0.102	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
21	2668192	1468800	14.83	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
22	2350427	1468800	-85.844	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
23	2699430	1468800	1.188	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
24	2680051	1468800	85.875	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
25	2627050	1468800	-178.449	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
26	2555326	1468800	-13.754	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
27	2540340	1468800	166.094	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
28	2603533	1468800	92.169	0	0	NA	NA	N	0	0	0	0	alive	nurse	R11BP
29	2693500	1468800	1.715	0	0	NA	NA	N	0	0	0	0	alive	forager	R11BP
