tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2565689	1468800	103.148	0	0	NA	NA	N	0	0	0	0	alive	queen	R4SS
2	2638962	1468800	179.347	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
3	2612799	1468800	-4.484	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
4	2534153	1468800	90.759	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
5	2704351	1468800	-5.464	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
6	2566477	1468800	95.14	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
8	2465087	1468800	-96.075	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
9	2566780	1468800	-94.704	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
10	2682507	1468800	-94.742	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
11	2512371	1468800	-172.979	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
12	2228364	1468800	175.139	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
13	2591505	1468800	-172.216	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
14	1194316	1468800	-94.129	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
15	2421145	1468800	92.469	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
16	2396908	1468800	77.516	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
17	2339237	1468800	89.658	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
18	2594204	1468800	-107.589	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
19	2618137	1468800	-83.194	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
20	2563400	1468800	96.872	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
21	2615127	1468800	9.116	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
22	2560491	1468800	63.362	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
23	2451808	1468800	1.47	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
24	2178800	1468800	-165.896	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
25	2541733	1468800	-104.802	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
26	2185050	1468800	75.975	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
27	2499934	1468800	-81.12	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
28	2521933	1468800	98.601	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
29	2422378	1468800	-6.215	0	0	NA	NA	N	0	0	0	0	alive	nurse	R4SS
30	2524352	1468800	-6.235	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
31	2365815	1468800	-90.152	0	0	NA	NA	N	0	0	0	0	alive	forager	R4SS
