"Colony","qPCR_Well.","Ct1","Ct2","Code","MbruDNA","Treatment","size_treat","status","antID","AntTask1perc","prop_time_outside","colony_size","treatment","Exposed","IsAlive","IsQueen","N_exposed","Ct_mean","above_detection_threshold","Ant_status"
"R3BP","A6",33.86,33.01,"13-A6",0.003350433481459,"Big Pathogen","BP","Big",49,"nurse",0,188,"Pathogen","untreated",TRUE,FALSE,14,33.435,"T","untreated nurse"
"R3BP","A9",32.68,32.14,"12-A9",0.006162912475392,"Big Pathogen","BP","Big",50,"nurse",0.001,188,"Pathogen","untreated",TRUE,FALSE,14,32.41,"T","untreated nurse"
"R3BP","D2",31.93,31.41,"13-D2",0.011129662632544,"Big Pathogen","BP","Big",51,"nurse",0,188,"Pathogen","untreated",TRUE,FALSE,14,31.67,"T","untreated nurse"
"R5SP","H1",32.87,32.72,"22-E4",0.0058457669825,"Small Pathogen","SP","Small",7,"forager",0.08,33,"Pathogen","untreated",TRUE,FALSE,3,32.795,"T","untreated forager"
"R3BP","F8",32.16,31.86,"12-F8",0.008164808441493,"Big Pathogen","BP","Big",52,"nurse",0,188,"Pathogen","untreated",TRUE,FALSE,14,32.01,"T","untreated nurse"
"R5SP","F1",34.01,33.24,"22-C4",0.003447565293209,"Small Pathogen","SP","Small",8,"forager",0.372,33,"Pathogen","untreated",TRUE,FALSE,3,33.625,"T","untreated forager"
"R3BP","H6",34.9,35.73,"12-H6",0.000799096079592,"Big Pathogen","BP","Big",53,"forager",0.121,188,"Pathogen","untreated",TRUE,FALSE,14,35.315,"T","untreated forager"
"R2SP","G7",29.83,29.81,"9-G3",0.038800203196632,"Small Pathogen","SP","Small",8,"forager",0.029,30,"Pathogen","untreated",TRUE,FALSE,2,29.82,"T","untreated forager"
"R3BP","D11",35.9,35.81,"12-D11",0.000546616830975,"Big Pathogen","BP","Big",54,"nurse",0,188,"Pathogen","untreated",TRUE,FALSE,14,35.855,"T","untreated nurse"
"R2SP","A6",27.43,27.49,"9-A2",0.174141387319711,"Small Pathogen","SP","Small",9,"forager",0.018,30,"Pathogen","untreated",TRUE,FALSE,2,27.46,"T","untreated forager"
"R5BP","H1",35.43,35.02,"21-H1",0.001922095668425,"Big Pathogen","BP","Big",29,"forager",0.37,176,"Pathogen","untreated",TRUE,FALSE,17,35.225,"T","untreated forager"
"R2SP","E7",34.05,34.02,"9-E3",0.00265600874116,"Small Pathogen","SP","Small",10,"forager",0.016,30,"Pathogen","untreated",TRUE,FALSE,2,34.035,"T","untreated forager"
"R5BP","F6",25.82,28.69,"20-F10",0.333691389224106,"Big Pathogen","BP","Big",30,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,27.255,"T","untreated nurse"
"R5BP","E3",34.73,34.01,"20-E7",0.00334218126199,"Big Pathogen","BP","Big",31,"forager",0.268,176,"Pathogen","untreated",TRUE,FALSE,17,34.37,"T","untreated forager"
"R5BP","F8",29.17,29.45,"21-F8",0.088285625841466,"Big Pathogen","BP","Big",32,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,29.31,"T","untreated nurse"
"R5BP","B11",33.15,34.2,"21-B11",0.005239924144658,"Big Pathogen","BP","Big",33,"nurse",0.006,176,"Pathogen","untreated",TRUE,FALSE,17,33.675,"T","untreated nurse"
"R5BP","D2",22.335,NA,"20-E8",3.11438285585618,"Big Pathogen","BP","Big",34,"nurse",0,176,"Pathogen","treated",TRUE,FALSE,17,22.335,"T","treated nurse"
"R7BP","B10",34.88,35.07,"29-B12",0.001394625173129,"Big Pathogen","BP","Big",38,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,34.975,"T","untreated nurse"
"R7BP","B4",34.48,35.48,"29-B12",0.001389907825157,"Big Pathogen","BP","Big",38,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,34.98,"T","untreated nurse"
"R7SP","C12",35.17,35.69,"30-H8",0.001093430037055,"Small Pathogen","SP","Small",6,"forager",0.189,28,"Pathogen","untreated",TRUE,FALSE,2,35.43,"T","untreated forager"
"R5BP","A10",27.55,26.87,"22-A2",0.343550037276855,"Big Pathogen","BP","Big",35,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,27.21,"T","untreated nurse"
"R7BP","F6",32.74,33.14,"30-F2",0.005009680165955,"Big Pathogen","BP","Big",39,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,32.94,"T","untreated nurse"
"R7SP","G9",36.71,35.87,"30-G9",0.000632663821062,"Small Pathogen","SP","Small",7,"forager",0.385,28,"Pathogen","untreated",TRUE,FALSE,2,36.29,"T","untreated forager"
"R5BP","E7",22.43,22.37,"20-E11",7.71969247610251,"Big Pathogen","BP","Big",36,"nurse",0,176,"Pathogen","treated",TRUE,FALSE,17,22.4,"T","treated nurse"
"R7BP","D11",33.35,34.19,"30-D7",0.002858939730083,"Big Pathogen","BP","Big",40,"forager",0.152,185,"Pathogen","untreated",TRUE,FALSE,14,33.77,"T","untreated forager"
"R5BP","D2",NA,NA,"21-D2",1e-06,"Big Pathogen","BP","Big",37,"nurse",0,176,"Pathogen","treated",TRUE,FALSE,17,NA,"F","treated nurse"
"R5BP","C2",21.38,NA,"21-D2",5.72421582536444,"Big Pathogen","BP","Big",37,"nurse",0,176,"Pathogen","treated",TRUE,FALSE,17,21.38,"T","treated nurse"
"R7BP","F7",32.23,32.58,"30-F3",0.007191715522639,"Big Pathogen","BP","Big",41,"forager",0.049,185,"Pathogen","untreated",TRUE,FALSE,14,32.405,"T","untreated forager"
"R5BP","C7",27.52,27.62,"21-C7",0.272163574389786,"Big Pathogen","BP","Big",38,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,27.57,"T","untreated nurse"
