"Colony","qPCR_Well.","Ct1","Ct2","Code","MbruDNA","Treatment","size_treat","status","antID","AntTask1perc","prop_time_outside","colony_size","treatment","Exposed","IsAlive","IsQueen","N_exposed","Ct_mean","above_detection_threshold","Ant_status"
"R11SP","C6",26.38,27.43,"49-C2",0.247884002533186,"Small Pathogen","SP","Small",12,"forager",0.094,34,"Pathogen","untreated",TRUE,FALSE,3,26.905,"T","untreated forager"
"R5SP","C3",33.61,34.13,"22-H5",0.002949979513659,"Small Pathogen","SP","Small",11,"forager",0.035,33,"Pathogen","untreated",TRUE,FALSE,3,33.87,"T","untreated forager"
"R11SP","F5",30.84,31.1,"49-F1",0.018667622073547,"Small Pathogen","SP","Small",13,"nurse",0,34,"Pathogen","untreated",TRUE,FALSE,3,30.97,"T","untreated nurse"
"R5SP","C4",34.92,35.49,"22-H6",0.001261706963543,"Small Pathogen","SP","Small",12,"forager",0.016,33,"Pathogen","untreated",TRUE,FALSE,3,35.205,"T","untreated forager"
"R11SP","E7",33.67,33.28,"49-E3",0.003792778670761,"Small Pathogen","SP","Small",14,"forager",0.222,34,"Pathogen","untreated",TRUE,FALSE,3,33.475,"T","untreated forager"
"R2SP","E5",34.54,33.94,"9-G1",0.002331245441836,"Small Pathogen","SP","Small",11,"forager",0.045,30,"Pathogen","untreated",TRUE,FALSE,2,34.24,"T","untreated forager"
"R11SP","G8",30.4,31.39,"49-G4",0.019579946463574,"Small Pathogen","SP","Small",15,"forager",0.017,34,"Pathogen","untreated",TRUE,FALSE,3,30.895,"T","untreated forager"
"R2SP","F6",27.34,27.66,"9-F2",0.169765720116636,"Small Pathogen","SP","Small",12,"nurse",0,30,"Pathogen","untreated",TRUE,FALSE,2,27.5,"T","untreated nurse"
"R2SP","A7",33.86,35.15,"9-A3",0.00196955675495,"Small Pathogen","SP","Small",13,"forager",0.036,30,"Pathogen","untreated",TRUE,FALSE,2,34.505,"T","untreated forager"
"R7BP","B3",33.47,34.01,"28-B11",0.002917494191014,"Big Pathogen","BP","Big",56,"forager",0.121,185,"Pathogen","untreated",TRUE,FALSE,14,33.74,"T","untreated forager"
"R7SP","C10",22.08,22.92,"30-C10",4.08648585512725,"Small Pathogen","SP","Small",8,"nurse",0,28,"Pathogen","treated",TRUE,FALSE,2,22.5,"T","treated nurse"
"R3BP","D8",29.29,29.09,"11-D9",0.060127618098355,"Big Pathogen","BP","Big",57,"forager",0.342,188,"Pathogen","untreated",TRUE,FALSE,14,29.19,"T","untreated forager"
"R7BP","A1",34.13,34.49,"29-A1",0.002089454892696,"Big Pathogen","BP","Big",57,"nurse",0.002,185,"Pathogen","untreated",TRUE,FALSE,14,34.31,"T","untreated nurse"
"R7SP","D3",23.31,NA,"30-E11",1.67298481859557,"Small Pathogen","SP","Small",9,"nurse",0.001,28,"Pathogen","treated",TRUE,FALSE,2,23.31,"T","treated nurse"
"R3BP","B1",33.11,32.49,"13-B1",0.005160359997798,"Big Pathogen","BP","Big",58,"forager",0.013,188,"Pathogen","untreated",TRUE,FALSE,14,32.8,"T","untreated forager"
"R7BP","C1",34.55,36.39,"28-C9",0.000906264566285,"Big Pathogen","BP","Big",58,"forager",0.257,185,"Pathogen","untreated",TRUE,FALSE,14,35.47,"T","untreated forager"
"R7SP","C9",28.77,29.48,"30-C9",0.060375744621504,"Small Pathogen","SP","Small",10,"forager",0.017,28,"Pathogen","untreated",TRUE,FALSE,2,29.125,"T","untreated forager"
"R3BP","F9",32.19,33.29,"11-F10",0.005375315996129,"Big Pathogen","BP","Big",59,"forager",0.054,188,"Pathogen","untreated",TRUE,FALSE,14,32.74,"T","untreated forager"
"R7BP","H8",31.8,31.67,"29-H8",0.01206314366369,"Big Pathogen","BP","Big",59,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,31.735,"T","untreated nurse"
"R3BP","C11",31.14,31.27,"12-C11",0.01438112959739,"Big Pathogen","BP","Big",60,"forager",0.091,188,"Pathogen","untreated",TRUE,FALSE,14,31.205,"T","untreated forager"
"R7BP","A3",35.86,35.94,"28-A11",0.000677719528464,"Big Pathogen","BP","Big",60,"forager",0.398,185,"Pathogen","untreated",TRUE,FALSE,14,35.9,"T","untreated forager"
"R3BP","D7",35.25,34.56,"12-D7",0.001066136961493,"Big Pathogen","BP","Big",61,"forager",0.133,188,"Pathogen","untreated",TRUE,FALSE,14,34.905,"T","untreated forager"
"R7BP","G10",34.95,36.24,"29-G10",0.000871080917723,"Big Pathogen","BP","Big",61,"forager",0.049,185,"Pathogen","untreated",TRUE,FALSE,14,35.595,"T","untreated forager"
"R3BP","E4",32.39,33.03,"13-E4",0.005486128806439,"Big Pathogen","BP","Big",62,"nurse",0,188,"Pathogen","untreated",TRUE,FALSE,14,32.71,"T","untreated nurse"
"R7BP","G11",25.82,26.31,"30-G7",0.52194230600789,"Big Pathogen","BP","Big",62,"nurse",0.007,185,"Pathogen","treated",TRUE,FALSE,14,26.065,"T","treated nurse"
"R3BP","E3",31.35,31.33,"13-E3",0.013930413246964,"Big Pathogen","BP","Big",63,"forager",0.031,188,"Pathogen","untreated",TRUE,FALSE,14,31.34,"T","untreated forager"
"R7BP","G9",30.64,30.79,"29-G9",0.024158752243929,"Big Pathogen","BP","Big",63,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,30.715,"T","untreated nurse"
"R1SP","D2",29.29,29.79,"4-D12",0.046365825885045,"Small Pathogen","SP","Small",14,"forager",0.03,35,"Pathogen","untreated",TRUE,FALSE,3,29.54,"T","untreated forager"
"R3BP","F3",31.89,31.9,"13-F3",0.009550299689319,"Big Pathogen","BP","Big",64,"forager",0.079,188,"Pathogen","untreated",TRUE,FALSE,14,31.895,"T","untreated forager"
"R7BP","B10",31.08,30.64,"29-B10",0.021887592777992,"Big Pathogen","BP","Big",64,"forager",0.027,185,"Pathogen","untreated",TRUE,FALSE,14,30.86,"T","untreated forager"
"R3BP","C8",32.47,32.27,"11-C9",0.006913564198442,"Big Pathogen","BP","Big",65,"nurse",0.007,188,"Pathogen","untreated",TRUE,FALSE,14,32.37,"T","untreated nurse"
"R7BP","F3",33.65,34.53,"28-F11",0.002302952603773,"Big Pathogen","BP","Big",65,"forager",0.032,185,"Pathogen","untreated",TRUE,FALSE,14,34.09,"T","untreated forager"
"R3BP","E3",33.51,33.55,"12-E12",0.003712966236251,"Big Pathogen","BP","Big",66,"forager",0.116,188,"Pathogen","untreated",TRUE,FALSE,14,33.53,"T","untreated forager"
"R7BP","C4",31.76,31.61,"28-C12",0.011699101260885,"Big Pathogen","BP","Big",66,"nurse",0.001,185,"Pathogen","untreated",TRUE,FALSE,14,31.685,"T","untreated nurse"
"R3BP","B8",33.11,33.39,"12-B8",0.003413893745911,"Big Pathogen","BP","Big",67,"forager",0.157,188,"Pathogen","untreated",TRUE,FALSE,14,33.25,"T","untreated forager"
"R7BP","B4",22.51,23.03,"28-B12",4.83843599074385,"Big Pathogen","BP","Big",67,"nurse",0.001,185,"Pathogen","treated",TRUE,FALSE,14,22.77,"T","treated nurse"
"R7BP","D1",37,35.76,"28-D9",0.000489970575656,"Big Pathogen","BP","Big",68,"forager",0.264,185,"Pathogen","untreated",TRUE,FALSE,14,36.38,"T","untreated forager"
"R3BP","C8",30.78,30.58,"12-C8",0.020803097282998,"Big Pathogen","BP","Big",68,"forager",0.388,188,"Pathogen","untreated",TRUE,FALSE,14,30.68,"T","untreated forager"
"R7BP","G4",32.8,33.13,"29-G4",0.005220949590316,"Big Pathogen","BP","Big",69,"forager",0.065,185,"Pathogen","untreated",TRUE,FALSE,14,32.965,"T","untreated forager"
"R3BP","G4",28.97,29.12,"12-G4",0.065683607915514,"Big Pathogen","BP","Big",69,"forager",0.334,188,"Pathogen","untreated",TRUE,FALSE,14,29.045,"T","untreated forager"
"R7BP","B9",27.78,28.18,"30-B5",0.143077057520571,"Big Pathogen","BP","Big",70,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,27.98,"T","untreated nurse"
"R3BP","B5",21.64,21.76,"13-B5",9.80889306612711,"Big Pathogen","BP","Big",70,"nurse",0.004,188,"Pathogen","treated",TRUE,FALSE,14,21.7,"T","treated nurse"
"R3BP","D4",32.43,33.05,"12-D4",0.004886568600181,"Big Pathogen","BP","Big",71,"forager",0.063,188,"Pathogen","untreated",TRUE,FALSE,14,32.74,"T","untreated forager"
"R3BP","H5",32.03,31.67,"13-H5",0.009847137449878,"Big Pathogen","BP","Big",72,"forager",0.133,188,"Pathogen","untreated",TRUE,FALSE,14,31.85,"T","untreated forager"
"R7BP","F5",33.03,32.78,"30-F1",0.005129588180712,"Big Pathogen","BP","Big",72,"nurse",0.003,185,"Pathogen","untreated",TRUE,FALSE,14,32.905,"T","untreated nurse"
"R12BP","B11",30.77,31.42,"53-B9",0.036597127579251,"Big Pathogen","BP","Big",68,"forager",0.013,192,"Pathogen","untreated",TRUE,FALSE,16,31.095,"T","untreated forager"
"R3BP","H4",27.22,27.39,"13-H4",0.216722000053793,"Big Pathogen","BP","Big",73,"forager",0.016,188,"Pathogen","untreated",TRUE,FALSE,14,27.305,"T","untreated forager"
"R12BP","A7",35.83,35.56,"52-A7",0.001078467345994,"Big Pathogen","BP","Big",69,"forager",0.031,192,"Pathogen","untreated",TRUE,FALSE,16,35.695,"T","untreated forager"
"R3BP","A8",31.97,32,"11-A9",0.008983198576362,"Big Pathogen","BP","Big",74,"forager",0.278,188,"Pathogen","untreated",TRUE,FALSE,14,31.985,"T","untreated forager"
"R12BP","D4",23.35,22.96,"52-D4",3.24640725318971,"Big Pathogen","BP","Big",70,"nurse",0,192,"Pathogen","treated",TRUE,FALSE,16,23.155,"T","treated nurse"
"R3BP","E4",32.37,32.17,"12-E4",0.006800518086639,"Big Pathogen","BP","Big",75,"forager",0.154,188,"Pathogen","untreated",TRUE,FALSE,14,32.27,"T","untreated forager"
"R3BP","C1",25.23,24.93,"13-C1",0.984391828637703,"Big Pathogen","BP","Big",76,"nurse",0,188,"Pathogen","treated",TRUE,FALSE,14,25.08,"T","treated nurse"
"R12BP","H5",34.83,35.25,"53-H3",0.002945126815492,"Big Pathogen","BP","Big",71,"forager",0.237,192,"Pathogen","untreated",TRUE,FALSE,16,35.04,"T","untreated forager"
"R3BP","A3",23.85,23.7,"13-A3",2.3914703458239,"Big Pathogen","BP","Big",77,"nurse",0.001,188,"Pathogen","treated",TRUE,FALSE,14,23.775,"T","treated nurse"
"R8BP","G1",36.49,35.03,"34-G1",0.000774925585307,"Big Pathogen","BP","Big",73,"forager",0.084,180,"Pathogen","untreated",TRUE,FALSE,17,35.76,"T","untreated forager"
"R12BP","A4",33.34,33.28,"52-A4",0.004947730091762,"Big Pathogen","BP","Big",72,"forager",0.094,192,"Pathogen","untreated",TRUE,FALSE,16,33.31,"T","untreated forager"
"R3BP","B9",22.33,22.22,"11-B10",6.63384011204103,"Big Pathogen","BP","Big",78,"nurse",0,188,"Pathogen","treated",TRUE,FALSE,14,22.275,"T","treated nurse"
"R8BP","A9",27.53,27.82,"35-A1",0.188247839261269,"Big Pathogen","BP","Big",74,"nurse",0,180,"Pathogen","untreated",TRUE,FALSE,17,27.675,"T","untreated nurse"
"R12BP","E10",33.32,34.03,"53-E8",0.007042956402189,"Big Pathogen","BP","Big",73,"forager",0.068,192,"Pathogen","untreated",TRUE,FALSE,16,33.675,"T","untreated forager"
"R3BP","D3",26.99,26.74,"13-D3",0.292333778505593,"Big Pathogen","BP","Big",79,"forager",0.062,188,"Pathogen","untreated",TRUE,FALSE,14,26.865,"T","untreated forager"
"R8BP","C11",30.82,30.54,"34-C12",0.025613917124398,"Big Pathogen","BP","Big",75,"forager",0.029,180,"Pathogen","untreated",TRUE,FALSE,17,30.68,"T","untreated forager"
"R8BP","C5",30.69,30.44,"34-C12",0.027689843425589,"Big Pathogen","BP","Big",75,"forager",0.029,180,"Pathogen","untreated",TRUE,FALSE,17,30.565,"T","untreated forager"
"R12BP","H7",33.94,35.86,"53-H5",0.003220623814923,"Big Pathogen","BP","Big",74,"forager",0.1,192,"Pathogen","untreated",TRUE,FALSE,16,34.9,"T","untreated forager"
"R3BP","H3",34.35,34.29,"12-H3",0.001608688658555,"Big Pathogen","BP","Big",80,"forager",0.216,188,"Pathogen","untreated",TRUE,FALSE,14,34.32,"T","untreated forager"
"R8BP","H1",33.92,34.63,"34-H1",0.002135809431617,"Big Pathogen","BP","Big",76,"forager",0.075,180,"Pathogen","untreated",TRUE,FALSE,17,34.275,"T","untreated forager"
"R12BP","G1",37.1,36.36,"51-G11",0.001000686405826,"Big Pathogen","BP","Big",75,"forager",0.224,192,"Pathogen","untreated",TRUE,FALSE,16,36.73,"T","untreated forager"
"R3BP","C10",37.53,37.48,"12-C10",0.000171306167871,"Big Pathogen","BP","Big",81,"forager",0.26,188,"Pathogen","untreated",TRUE,FALSE,14,37.505,"F","untreated forager"
"R8BP","B1",34.73,34.08,"33-B6",0.001905276452485,"Big Pathogen","BP","Big",77,"forager",0.423,180,"Pathogen","untreated",TRUE,FALSE,17,34.405,"T","untreated forager"
"R12BP","H6",34,31.15,"53-H4",0.014219849502179,"Big Pathogen","BP","Big",76,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,32.575,"T","untreated nurse"
"R5BP","F3",33.13,32.67,"20-F7",0.008651671079309,"Big Pathogen","BP","Big",59,"forager",0.196,176,"Pathogen","untreated",TRUE,FALSE,17,32.9,"T","untreated forager"
"R8BP","C1",31.22,30.92,"34-C1",0.019047807790619,"Big Pathogen","BP","Big",78,"forager",0.351,180,"Pathogen","untreated",TRUE,FALSE,17,31.07,"T","untreated forager"
"R12BP","E2",32.89,34.65,"51-E12",0.006628297610451,"Big Pathogen","BP","Big",77,"forager",0.041,192,"Pathogen","untreated",TRUE,FALSE,16,33.77,"T","untreated forager"
"R5BP","C9",25.75,25.79,"22-C1",0.872227951494498,"Big Pathogen","BP","Big",60,"nurse",0.009,176,"Pathogen","treated",TRUE,FALSE,17,25.77,"T","treated nurse"
"R8BP","G10",30.75,31.28,"35-G2",0.019264334029831,"Big Pathogen","BP","Big",79,"nurse",0.002,180,"Pathogen","untreated",TRUE,FALSE,17,31.015,"T","untreated nurse"
"R5BP","E6",26.65,28.84,"20-E10",0.243027265324249,"Big Pathogen","BP","Big",61,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,27.745,"T","untreated nurse"
"R8BP","F2",30.16,30.2,"34-F2",0.034972767444097,"Big Pathogen","BP","Big",80,"forager",0.543,180,"Pathogen","untreated",TRUE,FALSE,17,30.18,"T","untreated forager"
"R12BP","D2",33.61,33.91,"53-D10",0.003177108160006,"Big Pathogen","BP","Big",78,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,33.76,"T","untreated nurse"
"R8BP","F3",32.26,32.06,"34-F3",0.009050237994164,"Big Pathogen","BP","Big",81,"nurse",0,180,"Pathogen","untreated",TRUE,FALSE,17,32.16,"T","untreated nurse"
"R12BP","A8",33.59,33.64,"53-A6",0.007318111126152,"Big Pathogen","BP","Big",79,"forager",0.046,192,"Pathogen","untreated",TRUE,FALSE,16,33.615,"T","untreated forager"
"R5BP","A1",NA,34,"21-A1",0.004246195639463,"Big Pathogen","BP","Big",63,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,34,"T","untreated nurse"
"R8BP","E8",29.12,29.31,"34-E8",0.06758533954398,"Big Pathogen","BP","Big",82,"nurse",0,180,"Pathogen","untreated",TRUE,FALSE,17,29.215,"T","untreated nurse"
"R12BP","A1",34.58,32.83,"52-A12",0.003297755854391,"Big Pathogen","BP","Big",80,"forager",0.249,192,"Pathogen","untreated",TRUE,FALSE,16,33.705,"T","untreated forager"
"R12BP","A7",34.71,32.6,"52-A12",0.003411406715117,"Big Pathogen","BP","Big",80,"forager",0.249,192,"Pathogen","untreated",TRUE,FALSE,16,33.655,"T","untreated forager"
"R5BP","A4",32,32.57,"21-A4",0.012879974405073,"Big Pathogen","BP","Big",64,"forager",0.012,176,"Pathogen","untreated",TRUE,FALSE,17,32.285,"T","untreated forager"
"R8BP","F5",35.56,36.52,"33-F10",0.000624229084873,"Big Pathogen","BP","Big",83,"forager",0.037,180,"Pathogen","untreated",TRUE,FALSE,17,36.04,"T","untreated forager"
"R12BP","H3",31.99,33.82,"53-H1",0.011517361541785,"Big Pathogen","BP","Big",81,"nurse",0.002,192,"Pathogen","untreated",TRUE,FALSE,16,32.905,"T","untreated nurse"
"R5BP","G1",36.39,35.29,"21-G1",0.0012911003534,"Big Pathogen","BP","Big",65,"forager",0.106,176,"Pathogen","untreated",TRUE,FALSE,17,35.84,"T","untreated forager"
"R8BP","C2",35.61,34.37,"33-C7",0.001278097543103,"Big Pathogen","BP","Big",84,"forager",0.244,180,"Pathogen","untreated",TRUE,FALSE,17,34.99,"T","untreated forager"
"R5BP","E8",32.92,32.8,"21-E8",0.008878508197285,"Big Pathogen","BP","Big",66,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,32.86,"T","untreated nurse"
"R12BP","E10",35.9,35.23,"52-E10",0.001171841839445,"Big Pathogen","BP","Big",82,"forager",0.055,192,"Pathogen","untreated",TRUE,FALSE,16,35.565,"T","untreated forager"
"R8BP","H4",31.95,31.98,"34-H4",0.010338975352611,"Big Pathogen","BP","Big",85,"nurse",0,180,"Pathogen","untreated",TRUE,FALSE,17,31.965,"T","untreated nurse"
"R12BP","C7",34.65,34.52,"52-C7",0.002191396683277,"Big Pathogen","BP","Big",83,"forager",0.15,192,"Pathogen","untreated",TRUE,FALSE,16,34.585,"T","untreated forager"
"R5BP","D7",26.68,26.67,"21-D7",0.485651796951493,"Big Pathogen","BP","Big",68,"nurse",0.002,176,"Pathogen","treated",TRUE,FALSE,17,26.675,"T","treated nurse"
"R8BP","A7",32.81,33.16,"33-A12",0.005021644913709,"Big Pathogen","BP","Big",86,"forager",0.157,180,"Pathogen","untreated",TRUE,FALSE,17,32.985,"T","untreated forager"
"R5BP","A1",26.82,26.71,"22-A3",0.458178810076107,"Big Pathogen","BP","Big",69,"forager",0.049,176,"Pathogen","untreated",TRUE,FALSE,17,26.765,"T","untreated forager"
"R8BP","B7",21.78,21.69,"33-B12",10.8479081665685,"Big Pathogen","BP","Big",87,"nurse",0.001,180,"Pathogen","treated",TRUE,FALSE,17,21.735,"T","treated nurse"
"R12BP","F10",30.19,31.48,"53-F8",0.043208680092479,"Big Pathogen","BP","Big",84,"nurse",0.001,192,"Pathogen","untreated",TRUE,FALSE,16,30.835,"T","untreated nurse"
"R5BP","B7",30.94,31.63,"21-B7",0.024598861087779,"Big Pathogen","BP","Big",70,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,31.285,"T","untreated nurse"
"R8BP","E3",36.19,35.18,"34-E3",0.000815638091929,"Big Pathogen","BP","Big",88,"forager",0.704,180,"Pathogen","untreated",TRUE,FALSE,17,35.685,"T","untreated forager"
"R12BP","F3",34.28,33.69,"52-F3",0.003214852115518,"Big Pathogen","BP","Big",85,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,33.985,"T","untreated nurse"
"R5BP","F10",32.18,31.91,"22-F2",0.015043711632661,"Big Pathogen","BP","Big",71,"forager",0.054,176,"Pathogen","untreated",TRUE,FALSE,17,32.045,"T","untreated forager"
"R5BP","C2",38.99,36.63,"20-C6",0.000360902591027,"Big Pathogen","BP","Big",72,"forager",0.156,176,"Pathogen","untreated",TRUE,FALSE,17,37.81,"F","untreated forager"
"R12BP","G11",28.42,29.23,"53-G9",0.156007328510015,"Big Pathogen","BP","Big",86,"forager",0.166,192,"Pathogen","untreated",TRUE,FALSE,16,28.825,"T","untreated forager"
"R5BP","E10",24.96,25.2,"22-E2",1.36307577672175,"Big Pathogen","BP","Big",73,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,25.08,"T","untreated nurse"
"R5BP","G12",27.44,26.72,"21-G12",0.37369733438409,"Big Pathogen","BP","Big",74,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,27.08,"T","untreated nurse"
"R5BP","B8",36.79,36.48,"21-B8",0.000771907036746,"Big Pathogen","BP","Big",75,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,36.635,"T","untreated nurse"
"R5BP","G9",32.31,32.16,"21-G9",0.013303472003407,"Big Pathogen","BP","Big",76,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,32.235,"T","untreated nurse"
"R5BP","H6",33.03,33.27,"21-H6",0.007359528644785,"Big Pathogen","BP","Big",77,"forager",0.019,176,"Pathogen","untreated",TRUE,FALSE,17,33.15,"T","untreated forager"
"R5BP","C8",30.01,29.24,"20-C12",0.072007046846856,"Big Pathogen","BP","Big",78,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,29.625,"T","untreated nurse"
"R5BP","D6",31.49,NA,"20-D10",0.0215431894186,"Big Pathogen","BP","Big",79,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,31.49,"T","untreated nurse"
"R5BP","G10",31.36,33.91,"21-G10",0.010269871273074,"Big Pathogen","BP","Big",80,"forager",0.489,176,"Pathogen","untreated",TRUE,FALSE,17,32.635,"T","untreated forager"
"R5SP","F3",31.07,30.71,"22-C6",0.019642329859296,"Small Pathogen","SP","Small",13,"nurse",0.002,33,"Pathogen","untreated",TRUE,FALSE,3,30.89,"T","untreated nurse"
"R5BP","F8",30.88,30.77,"20-F12",0.033126457844641,"Big Pathogen","BP","Big",81,"forager",0.37,176,"Pathogen","untreated",TRUE,FALSE,17,30.825,"T","untreated forager"
"R5SP","G4",32.52,32.57,"22-D7",0.006853564431417,"Small Pathogen","SP","Small",14,"forager",0.023,33,"Pathogen","untreated",TRUE,FALSE,3,32.545,"T","untreated forager"
"R5SP","E1",38.83,35.8,"22-B4",0.00032958352929,"Small Pathogen","SP","Small",15,"forager",0.358,33,"Pathogen","untreated",TRUE,FALSE,3,37.315,"F","untreated forager"
"R2SP","A2",23.615,NA,"9-D2",1.37742512343217,"Small Pathogen","SP","Small",14,"nurse",0,30,"Pathogen","treated",TRUE,FALSE,2,23.615,"T","treated nurse"
"R5BP","F10",32.69,32.78,"21-F10",0.009626424300333,"Big Pathogen","BP","Big",83,"nurse",0.001,176,"Pathogen","untreated",TRUE,FALSE,17,32.735,"T","untreated nurse"
"R5BP","D8",32.33,31.77,"21-D8",0.014995121878437,"Big Pathogen","BP","Big",84,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,32.05,"T","untreated nurse"
"R2SP","G6",21.93,21.77,"9-G2",6.17938138149895,"Small Pathogen","SP","Small",15,"nurse",0,30,"Pathogen","treated",TRUE,FALSE,2,21.85,"T","treated nurse"
"R5BP","A12",31.8,30.64,"21-A12",0.025655471465021,"Big Pathogen","BP","Big",85,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,31.22,"T","untreated nurse"
"R5BP","D12",33.53,33.94,"21-D12",0.005040399966414,"Big Pathogen","BP","Big",86,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,33.735,"T","untreated nurse"
"R5BP","B10",31.01,30.81,"21-B10",0.031353786735512,"Big Pathogen","BP","Big",87,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,30.91,"T","untreated nurse"
"R5BP","C4",27.12,27.26,"20-C8",0.348024645686356,"Big Pathogen","BP","Big",88,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,27.19,"T","untreated nurse"
"R7BP","F5",37.11,38.88,"29-F5",0.000169972436528,"Big Pathogen","BP","Big",73,"forager",0.321,185,"Pathogen","untreated",TRUE,FALSE,14,37.995,"F","untreated forager"
"R7SP","F11",34.93,35.4,"30-F11",0.001294227131787,"Small Pathogen","SP","Small",11,"forager",0.096,28,"Pathogen","untreated",TRUE,FALSE,2,35.165,"T","untreated forager"
"R7BP","A5",35.24,36.24,"30-A1",0.000755109614507,"Big Pathogen","BP","Big",74,"forager",0.502,185,"Pathogen","untreated",TRUE,FALSE,14,35.74,"T","untreated forager"
"R7SP","F10",37.37,35.34,"30-F10",0.000607034675659,"Small Pathogen","SP","Small",12,"forager",0.413,28,"Pathogen","untreated",TRUE,FALSE,2,36.355,"T","untreated forager"
"R3BP","G11",33.53,33.87,"11-G12",0.002797821479329,"Big Pathogen","BP","Big",82,"nurse",0,188,"Pathogen","untreated",TRUE,FALSE,14,33.7,"T","untreated nurse"
"R7BP","D7",30.04,29.9,"29-D7",0.040120930796612,"Big Pathogen","BP","Big",76,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,29.97,"T","untreated nurse"
"R7BP","E9",31.3,31.72,"30-E5",0.013167853920924,"Big Pathogen","BP","Big",77,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,31.51,"T","untreated nurse"
"R7BP","A2",NA,36.72,"28-A10",0.000389385701593,"Big Pathogen","BP","Big",78,"forager",0.146,185,"Pathogen","untreated",TRUE,FALSE,14,36.72,"T","untreated forager"
"R7BP","E6",36.2,36.45,"29-E6",0.000529904368711,"Big Pathogen","BP","Big",79,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,36.325,"T","untreated nurse"
"R7BP","E10",33.39,34.61,"29-E10",0.002580477044436,"Big Pathogen","BP","Big",80,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,34,"T","untreated nurse"
"R1SP","G1",31.35,31.6,"4-G11",0.013538093213231,"Small Pathogen","SP","Small",15,"forager",0.026,35,"Pathogen","untreated",TRUE,FALSE,3,31.475,"T","untreated forager"
"R7BP","B2",32.11,32.52,"29-B2",0.008127453623048,"Big Pathogen","BP","Big",82,"forager",0.143,185,"Pathogen","untreated",TRUE,FALSE,14,32.315,"T","untreated forager"
"R7BP","D1",33.35,33.45,"29-D1",0.003882576307187,"Big Pathogen","BP","Big",83,"forager",0.202,185,"Pathogen","untreated",TRUE,FALSE,14,33.4,"T","untreated forager"
"R7BP","C10",34.48,33.82,"29-C10",0.002329941409178,"Big Pathogen","BP","Big",84,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,34.15,"T","untreated nurse"
"R7BP","H3",34.28,35.21,"29-H3",0.001553829992223,"Big Pathogen","BP","Big",85,"nurse",0.005,185,"Pathogen","untreated",TRUE,FALSE,14,34.745,"T","untreated nurse"
"R7BP","A9",30.58,30.15,"29-A9",0.03065981288124,"Big Pathogen","BP","Big",86,"forager",0.021,185,"Pathogen","untreated",TRUE,FALSE,14,30.365,"T","untreated forager"
"R7BP","B1",NA,39.17,"28-B9",7.43541134932666e-05,"Big Pathogen","BP","Big",87,"forager",0.242,185,"Pathogen","untreated",TRUE,FALSE,14,39.17,"F","untreated forager"
"R7BP","E2",NA,NA,"28-E10",1e-06,"Big Pathogen","BP","Big",88,"forager",0.063,185,"Pathogen","untreated",TRUE,FALSE,14,NA,"F","untreated forager"
"R7BP","E3",34.69,34.55,"28-E11",0.001609644611248,"Big Pathogen","BP","Big",89,"nurse",0,185,"Pathogen","untreated",TRUE,FALSE,14,34.62,"T","untreated nurse"
"R12BP","B6",23.64,24.01,"52-B6",2.11614294084508,"Big Pathogen","BP","Big",87,"nurse",0.002,192,"Pathogen","treated",TRUE,FALSE,16,23.825,"T","treated nurse"
"R12BP","E3",34.39,34.34,"52-E3",0.002522022751021,"Big Pathogen","BP","Big",88,"forager",0.055,192,"Pathogen","untreated",TRUE,FALSE,16,34.365,"T","untreated forager"
"R12BP","F9",34.24,34.12,"52-F9",0.002838363412634,"Big Pathogen","BP","Big",89,"forager",0.052,192,"Pathogen","untreated",TRUE,FALSE,16,34.18,"T","untreated forager"
"R12BP","H11",31.43,32.16,"53-H9",0.023402755750117,"Big Pathogen","BP","Big",90,"nurse",0.008,192,"Pathogen","untreated",TRUE,FALSE,16,31.795,"T","untreated nurse"
