"Colony","Sample_Well","Sample_Plate","Threshold","Ct","Tm_Product","name","gene_rep","machine_num","gene","Code","Treatment","treatment_size","antID","AntTask","colony_size","treatment_condition","Exposed","IsAlive","IsQueen","N_exposed"
"R12BS","A10","6",1555.068,26.8,84.08,"221202-Adriano-RTqPCR-6-DEF-2 - Text Report Data","6-DEF","2","DEF","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",2230.099,20.95,77.81,"221202-Adriano-RTqPCR-6-EF1-1 - Text Report Data","6-EF1","1","EF1","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",498.325,29.06,84.1,"221202-Adriano-RTqPCR-6-HYM-2 - Text Report Data","6-HYM","2","HYM","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",1867.644,29.9,84.1,"221202-Adriano-RTqPCR-6-HYM-1 - Text Report Data","6-HYM","1","HYM","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",1377.513,21.08,77.83,"221202-Adriano-RTqPCR-6-EF1-2 - Text Report Data","6-EF1","2","EF1","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",2076.306,26.67,83.61,"221202-Adriano-RTqPCR-6-DEF-1 - Text Report Data","6-DEF","1","DEF","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",1032.398,26.94,82.63,"221202-Adriano-RTqPCR-6-PO-2 - Text Report Data","6-PO","2","PO","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",1942.996,27.03,82.6,"221202-Adriano-RTqPCR-6-PO-1 - Text Report Data","6-PO","1","PO","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R13BS","A5","4",2070.047,22.29,77.79,"221121-Adriano-RTqPCR-4-EF1-1 - Text Report Data","4-EF1","1","EF1","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1557.047,34.14,84.58,"221121-Adriano-RTqPCR-4-HYM-2 - Text Report Data","4-HYM","2","HYM","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1219.491,32.42,84.08,"221121-Adriano-RTqPCR-4-HYM-1 - Text Report Data","4-HYM","1","HYM","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1326.037,29.29,82.67,"221121-Adriano-RTqPCR-4-PO-2 - Text Report Data","4-PO","2","PO","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1798.807,29.85,82.61,"221121-Adriano-RTqPCR-4-PO-1 - Text Report Data","4-PO","1","PO","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1496.223,22.15,77.84,"221121-Adriano-RTqPCR-4-EF1-2 - Text Report Data","4-EF1","2","EF1","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1255.751,25.14,84.08,"221121-Adriano-RTqPCR-4-DEF-2 - Text Report Data","4-DEF","2","DEF","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",2145.562,25.71,83.58,"221121-Adriano-RTqPCR-4-DEF-1 - Text Report Data","4-DEF","1","DEF","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13SS","A11","8",2445.227,22.94,77.85,"221215-Adriano-RTqPCR-8-EF1-1 - Text Report Data","8-EF1","1","EF1","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",2136.304,28.86,83.59,"221215-Adriano-RTqPCR-8-DEF-1 - Text Report Data","8-DEF","1","DEF","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",2043.983,29.59,82.65,"221215-Adriano-RTqPCR-8-PO-1 - Text Report Data","8-PO","1","PO","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",1339.793,22.93,77.83,"221215-Adriano-RTqPCR-8-EF1-2 - Text Report Data","8-EF1","2","EF1","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",1042.778,27.95,83.74,"221215-Adriano-RTqPCR-8-DEF-2 - Text Report Data","8-DEF","2","DEF","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",17.063,NA,84.08,"221215-Adriano-RTqPCR-8-HYM-1 - Text Report Data","8-HYM","1","HYM","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",1983.132,34.32,84.09,"221215-Adriano-RTqPCR-8-HYM-2 - Text Report Data","8-HYM","2","HYM","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",1290.204,29.18,82.67,"221215-Adriano-RTqPCR-8-PO-2 - Text Report Data","8-PO","2","PO","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R14BS","A4","8",2136.304,29.86,83.59,"221215-Adriano-RTqPCR-8-DEF-1 - Text Report Data","8-DEF","1","DEF","58-A9","Big Sham","Big",1,"queen",165,"Sham",FALSE,TRUE,TRUE,17
"R14BS","A4","8",2445.227,21.95,77.35,"221215-Adriano-RTqPCR-8-EF1-1 - Text Report Data","8-EF1","1","EF1","58-A9","Big Sham","Big",1,"queen",165,"Sham",FALSE,TRUE,TRUE,17
"R14BS","A4","8",1983.132,31.97,84.09,"221215-Adriano-RTqPCR-8-HYM-2 - Text Report Data","8-HYM","2","HYM","58-A9","Big Sham","Big",1,"queen",165,"Sham",FALSE,TRUE,TRUE,17
"R14BS","A4","8",17.063,NA,84.08,"221215-Adriano-RTqPCR-8-HYM-1 - Text Report Data","8-HYM","1","HYM","58-A9","Big Sham","Big",1,"queen",165,"Sham",FALSE,TRUE,TRUE,17
"R14BS","A4","8",1042.778,29.69,83.71,"221215-Adriano-RTqPCR-8-DEF-2 - Text Report Data","8-DEF","2","DEF","58-A9","Big Sham","Big",1,"queen",165,"Sham",FALSE,TRUE,TRUE,17
"R14BS","A4","8",1290.204,28.86,82.65,"221215-Adriano-RTqPCR-8-PO-2 - Text Report Data","8-PO","2","PO","58-A9","Big Sham","Big",1,"queen",165,"Sham",FALSE,TRUE,TRUE,17
"R14BS","A4","8",1339.793,21.83,77.83,"221215-Adriano-RTqPCR-8-EF1-2 - Text Report Data","8-EF1","2","EF1","58-A9","Big Sham","Big",1,"queen",165,"Sham",FALSE,TRUE,TRUE,17
"R14BS","A4","8",2043.983,29.57,82.65,"221215-Adriano-RTqPCR-8-PO-1 - Text Report Data","8-PO","1","PO","58-A9","Big Sham","Big",1,"queen",165,"Sham",FALSE,TRUE,TRUE,17
"R14SS","C2","101",NA,24.44,NA,"60-A3-DEF-101","60-A3-DEF",NA,"DEF","60-A3","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R14SS","E2","101",NA,28.53,NA,"60-A3-HYM-101","60-A3-HYM",NA,"HYM","60-A3","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R14SS","A2","101",NA,17.77,NA,"60-A3-EF1-101","60-A3-EF1",NA,"EF1","60-A3","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R14SS","B2","101",NA,17.74,NA,"60-A3-EF1-101","60-A3-EF1",NA,"EF1","60-A3","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R14SS","G2","101",NA,24.84,NA,"60-A3-PO-101","60-A3-PO",NA,"PO","60-A3","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R14SS","H2","101",NA,24.96,NA,"60-A3-PO-101","60-A3-PO",NA,"PO","60-A3","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R14SS","F2","101",NA,28.44,NA,"60-A3-HYM-101","60-A3-HYM",NA,"HYM","60-A3","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R14SS","D2","101",NA,24.51,NA,"60-A3-DEF-101","60-A3-DEF",NA,"DEF","60-A3","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R14BS","E5","8",2445.227,30.03,77.35,"221215-Adriano-RTqPCR-8-EF1-1 - Text Report Data","8-EF1","1","EF1","58-E10","Big Sham","Big",2,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","E5","8",1290.204,NA,87.95,"221215-Adriano-RTqPCR-8-PO-2 - Text Report Data","8-PO","2","PO","58-E10","Big Sham","Big",2,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","E5","8",17.063,39.83,85.1,"221215-Adriano-RTqPCR-8-HYM-1 - Text Report Data","8-HYM","1","HYM","58-E10","Big Sham","Big",2,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","E5","8",1339.793,30.6,77.4,"221215-Adriano-RTqPCR-8-EF1-2 - Text Report Data","8-EF1","2","EF1","58-E10","Big Sham","Big",2,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","E5","8",2136.304,32.57,83.65,"221215-Adriano-RTqPCR-8-DEF-1 - Text Report Data","8-DEF","1","DEF","58-E10","Big Sham","Big",2,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","E5","8",1983.132,36.85,84.09,"221215-Adriano-RTqPCR-8-HYM-2 - Text Report Data","8-HYM","2","HYM","58-E10","Big Sham","Big",2,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","E5","8",1042.778,31.64,83.75,"221215-Adriano-RTqPCR-8-DEF-2 - Text Report Data","8-DEF","2","DEF","58-E10","Big Sham","Big",2,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","E5","8",2043.983,36.57,82.69,"221215-Adriano-RTqPCR-8-PO-1 - Text Report Data","8-PO","1","PO","58-E10","Big Sham","Big",2,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H2","7",2084.991,32.04,83.7,"221214-Adriano-RTqPCR-7-DEF-1 - Text Report Data","7-DEF","1","DEF","59-H2","Big Sham","Big",3,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H2","7",1021.838,34.25,82.72,"221214-Adriano-RTqPCR-7-PO-2 - Text Report Data","7-PO","2","PO","59-H2","Big Sham","Big",3,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H2","7",2386.644,29.1,77.92,"221214-Adriano-RTqPCR-7-EF1-1 - Text Report Data","7-EF1","1","EF1","59-H2","Big Sham","Big",3,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H2","7",892.491,NA,88.47,"221214-Adriano-RTqPCR-7-HYM-2 - Text Report Data","7-HYM","2","HYM","59-H2","Big Sham","Big",3,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H2","7",1291.982,33.85,84.2,"221214-Adriano-RTqPCR-7-HYM-1 - Text Report Data","7-HYM","1","HYM","59-H2","Big Sham","Big",3,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H2","7",1337.85,31.95,83.7,"221214-Adriano-RTqPCR-7-DEF-2 - Text Report Data","7-DEF","2","DEF","59-H2","Big Sham","Big",3,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H2","7",2123.457,34.64,82.67,"221214-Adriano-RTqPCR-7-PO-1 - Text Report Data","7-PO","1","PO","59-H2","Big Sham","Big",3,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H2","7",1522.103,28.82,77.45,"221214-Adriano-RTqPCR-7-EF1-2 - Text Report Data","7-EF1","2","EF1","59-H2","Big Sham","Big",3,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R7SS","F9","101",NA,27.19,NA,"28-H5-HYM-101","28-H5-HYM",NA,"HYM","28-H5","Small Sham","Small",1,"queen",28,"Sham",FALSE,TRUE,TRUE,2
"R7SS","E9","101",NA,27.51,NA,"28-H5-HYM-101","28-H5-HYM",NA,"HYM","28-H5","Small Sham","Small",1,"queen",28,"Sham",FALSE,TRUE,TRUE,2
"R7SS","B9","101",NA,17.43,NA,"28-H5-EF1-101","28-H5-EF1",NA,"EF1","28-H5","Small Sham","Small",1,"queen",28,"Sham",FALSE,TRUE,TRUE,2
"R7SS","C9","101",NA,24.42,NA,"28-H5-DEF-101","28-H5-DEF",NA,"DEF","28-H5","Small Sham","Small",1,"queen",28,"Sham",FALSE,TRUE,TRUE,2
"R7SS","H9","101",NA,23.92,NA,"28-H5-PO-101","28-H5-PO",NA,"PO","28-H5","Small Sham","Small",1,"queen",28,"Sham",FALSE,TRUE,TRUE,2
"R7SS","G9","101",NA,23.92,NA,"28-H5-PO-101","28-H5-PO",NA,"PO","28-H5","Small Sham","Small",1,"queen",28,"Sham",FALSE,TRUE,TRUE,2
"R7SS","D9","101",NA,24.32,NA,"28-H5-DEF-101","28-H5-DEF",NA,"DEF","28-H5","Small Sham","Small",1,"queen",28,"Sham",FALSE,TRUE,TRUE,2
"R7SS","A9","101",NA,17.58,NA,"28-H5-EF1-101","28-H5-EF1",NA,"EF1","28-H5","Small Sham","Small",1,"queen",28,"Sham",FALSE,TRUE,TRUE,2
"R11BS","D1","101",NA,22.24,NA,"45-A2-DEF-101","45-A2-DEF",NA,"DEF","45-A2","Big Sham","Big",1,"queen",195,"Sham",FALSE,TRUE,TRUE,17
"R11BS","C1","101",NA,22.15,NA,"45-A2-DEF-101","45-A2-DEF",NA,"DEF","45-A2","Big Sham","Big",1,"queen",195,"Sham",FALSE,TRUE,TRUE,17
"R11BS","A1","101",NA,17.93,NA,"45-A2-EF1-101","45-A2-EF1",NA,"EF1","45-A2","Big Sham","Big",1,"queen",195,"Sham",FALSE,TRUE,TRUE,17
"R11BS","B1","101",NA,17.81,NA,"45-A2-EF1-101","45-A2-EF1",NA,"EF1","45-A2","Big Sham","Big",1,"queen",195,"Sham",FALSE,TRUE,TRUE,17
"R11BS","G1","101",NA,24.34,NA,"45-A2-PO-101","45-A2-PO",NA,"PO","45-A2","Big Sham","Big",1,"queen",195,"Sham",FALSE,TRUE,TRUE,17
"R11BS","H1","101",NA,24.95,NA,"45-A2-PO-101","45-A2-PO",NA,"PO","45-A2","Big Sham","Big",1,"queen",195,"Sham",FALSE,TRUE,TRUE,17
"R11BS","F1","101",NA,29.17,NA,"45-A2-HYM-101","45-A2-HYM",NA,"HYM","45-A2","Big Sham","Big",1,"queen",195,"Sham",FALSE,TRUE,TRUE,17
"R11BS","E1","101",NA,29.13,NA,"45-A2-HYM-101","45-A2-HYM",NA,"HYM","45-A2","Big Sham","Big",1,"queen",195,"Sham",FALSE,TRUE,TRUE,17
"R14BS","H7","8",2136.304,31.21,84.17,"221215-Adriano-RTqPCR-8-DEF-1 - Text Report Data","8-DEF","1","DEF","58-H12","Big Sham","Big",4,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H7","8",2445.227,26.32,77.92,"221215-Adriano-RTqPCR-8-EF1-1 - Text Report Data","8-EF1","1","EF1","58-H12","Big Sham","Big",4,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H7","8",17.063,NA,84.63,"221215-Adriano-RTqPCR-8-HYM-1 - Text Report Data","8-HYM","1","HYM","58-H12","Big Sham","Big",4,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H7","8",1983.132,37.15,84.15,"221215-Adriano-RTqPCR-8-HYM-2 - Text Report Data","8-HYM","2","HYM","58-H12","Big Sham","Big",4,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H7","8",1339.793,26.14,77.9,"221215-Adriano-RTqPCR-8-EF1-2 - Text Report Data","8-EF1","2","EF1","58-H12","Big Sham","Big",4,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H7","8",1042.778,30.31,83.83,"221215-Adriano-RTqPCR-8-DEF-2 - Text Report Data","8-DEF","2","DEF","58-H12","Big Sham","Big",4,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H7","8",1290.204,32.13,82.71,"221215-Adriano-RTqPCR-8-PO-2 - Text Report Data","8-PO","2","PO","58-H12","Big Sham","Big",4,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","H7","8",2043.983,33.16,82.71,"221215-Adriano-RTqPCR-8-PO-1 - Text Report Data","8-PO","1","PO","58-H12","Big Sham","Big",4,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","C7","8",1290.204,34.9,82.65,"221215-Adriano-RTqPCR-8-PO-2 - Text Report Data","8-PO","2","PO","58-C12","Big Sham","Big",5,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","C7","8",1042.778,30.41,83.75,"221215-Adriano-RTqPCR-8-DEF-2 - Text Report Data","8-DEF","2","DEF","58-C12","Big Sham","Big",5,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","C7","8",2043.983,NA,86.53,"221215-Adriano-RTqPCR-8-PO-1 - Text Report Data","8-PO","1","PO","58-C12","Big Sham","Big",5,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","C7","8",17.063,30.75,83.59,"221215-Adriano-RTqPCR-8-HYM-1 - Text Report Data","8-HYM","1","HYM","58-C12","Big Sham","Big",5,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","C7","8",2445.227,28.19,77.38,"221215-Adriano-RTqPCR-8-EF1-1 - Text Report Data","8-EF1","1","EF1","58-C12","Big Sham","Big",5,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","C7","8",2136.304,30.46,83.65,"221215-Adriano-RTqPCR-8-DEF-1 - Text Report Data","8-DEF","1","DEF","58-C12","Big Sham","Big",5,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","C7","8",1339.793,28.48,77.35,"221215-Adriano-RTqPCR-8-EF1-2 - Text Report Data","8-EF1","2","EF1","58-C12","Big Sham","Big",5,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","C7","8",1983.132,36.99,84.08,"221215-Adriano-RTqPCR-8-HYM-2 - Text Report Data","8-HYM","2","HYM","58-C12","Big Sham","Big",5,"forager",165,"Sham",FALSE,TRUE,FALSE,17
"R4SS","F7","101",NA,26.89,NA,"15-H8-HYM-101","15-H8-HYM",NA,"HYM","15-H8","Small Sham","Small",1,"queen",31,"Sham",FALSE,TRUE,TRUE,3
"R4SS","D7","101",NA,21.63,NA,"15-H8-DEF-101","15-H8-DEF",NA,"DEF","15-H8","Small Sham","Small",1,"queen",31,"Sham",FALSE,TRUE,TRUE,3
"R4SS","A7","101",NA,17.45,NA,"15-H8-EF1-101","15-H8-EF1",NA,"EF1","15-H8","Small Sham","Small",1,"queen",31,"Sham",FALSE,TRUE,TRUE,3
"R4SS","E7","101",NA,26.77,NA,"15-H8-HYM-101","15-H8-HYM",NA,"HYM","15-H8","Small Sham","Small",1,"queen",31,"Sham",FALSE,TRUE,TRUE,3
"R4SS","H7","101",NA,23.19,NA,"15-H8-PO-101","15-H8-PO",NA,"PO","15-H8","Small Sham","Small",1,"queen",31,"Sham",FALSE,TRUE,TRUE,3
"R4SS","B7","101",NA,17.23,NA,"15-H8-EF1-101","15-H8-EF1",NA,"EF1","15-H8","Small Sham","Small",1,"queen",31,"Sham",FALSE,TRUE,TRUE,3
"R4SS","C7","101",NA,21.69,NA,"15-H8-DEF-101","15-H8-DEF",NA,"DEF","15-H8","Small Sham","Small",1,"queen",31,"Sham",FALSE,TRUE,TRUE,3
"R4SS","G7","101",NA,23.13,NA,"15-H8-PO-101","15-H8-PO",NA,"PO","15-H8","Small Sham","Small",1,"queen",31,"Sham",FALSE,TRUE,TRUE,3
"R11SS","A1","11",1507.587,21.04,77.95,"230119-Adriano-RTqPCR-11-EF1-2 - Text Report Data","11-EF1","2","EF1","46-A11","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R11SS","A1","11",1512.671,27,84.08,"230119-Adriano-RTqPCR-11-DEF-2 - Text Report Data","11-DEF","2","DEF","46-A11","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R11SS","A1","11",2180.943,27.14,82.63,"230119-Adriano-RTqPCR-11-PO-1 - Text Report Data","11-PO","1","PO","46-A11","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R11SS","A1","11",2653.113,20.99,77.8,"230119-Adriano-RTqPCR-11-EF1-1 - Text Report Data","11-EF1","1","EF1","46-A11","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R11SS","A1","11",2381.31,26.68,84.09,"230119-Adriano-RTqPCR-11-DEF-1 - Text Report Data","11-DEF","1","DEF","46-A11","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R11SS","A1","11",29.439,24.39,84.53,"230119-Adriano-RTqPCR-11-HYM-1 - Text Report Data","11-HYM","1","HYM","46-A11","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R11SS","A1","11",1225.237,27.02,82.67,"230119-Adriano-RTqPCR-11-PO-2 - Text Report Data","11-PO","2","PO","46-A11","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R11SS","A1","11",1873.691,30.07,84.55,"230119-Adriano-RTqPCR-11-HYM-2 - Text Report Data","11-HYM","2","HYM","46-A11","Small Sham","Small",1,"queen",32,"Sham",FALSE,TRUE,TRUE,3
"R1BS","A7","1",2582.208,33.07,84.6,"221111-Adriano-RTqPCR-1-HYM-1 - Text Report Data","1-HYM","1","HYM","1-A3","Big Sham","Big",1,"queen",155,"Sham",FALSE,TRUE,TRUE,11
"R1BS","A7","1",481.429,25.82,NA,"221111-Adriano-RTqPCR-1-PO-1 - Text Report Data","1-PO","1","PO","1-A3","Big Sham","Big",1,"queen",155,"Sham",FALSE,TRUE,TRUE,11
"R1BS","A7","1",1270.498,32.25,84.55,"221111-Adriano-RTqPCR-1-HYM-2 - Text Report Data","1-HYM","2","HYM","1-A3","Big Sham","Big",1,"queen",155,"Sham",FALSE,TRUE,TRUE,11
"R1BS","A7","1",1481.551,24.73,NA,"221111-Adriano-RTqPCR-1-DEF-2 - Text Report Data","1-DEF","2","DEF","1-A3","Big Sham","Big",1,"queen",155,"Sham",FALSE,TRUE,TRUE,11
"R1BS","A7","1",2371.023,24.61,NA,"221111-Adriano-RTqPCR-1-DEF-1 - Text Report Data","1-DEF","1","DEF","1-A3","Big Sham","Big",1,"queen",155,"Sham",FALSE,TRUE,TRUE,11
"R1BS","A7","1",676.773,20.05,NA,"221111-Adriano-RTqPCR-1-EF1-1 - Text Report Data","1-EF1","1","EF1","1-A3","Big Sham","Big",1,"queen",155,"Sham",FALSE,TRUE,TRUE,11
"R1BS","A7","1",1271.538,21.7,NA,"221111-Adriano-RTqPCR-1-EF1-2 - Text Report Data","1-EF1","2","EF1","1-A3","Big Sham","Big",1,"queen",155,"Sham",FALSE,TRUE,TRUE,11
"R1BS","A7","1",1306.367,28.54,NA,"221111-Adriano-RTqPCR-1-PO-2 - Text Report Data","1-PO","2","PO","1-A3","Big Sham","Big",1,"queen",155,"Sham",FALSE,TRUE,TRUE,11
"R6SS","A8","101",NA,17.56,NA,"24-A1-EF1-101","24-A1-EF1",NA,"EF1","24-A1","Small Sham","Small",1,"queen",29,"Sham",FALSE,TRUE,TRUE,2
"R6SS","C8","101",NA,23.49,NA,"24-A1-DEF-101","24-A1-DEF",NA,"DEF","24-A1","Small Sham","Small",1,"queen",29,"Sham",FALSE,TRUE,TRUE,2
"R6SS","B8","101",NA,17.5,NA,"24-A1-EF1-101","24-A1-EF1",NA,"EF1","24-A1","Small Sham","Small",1,"queen",29,"Sham",FALSE,TRUE,TRUE,2
"R6SS","G8","101",NA,24.95,NA,"24-A1-PO-101","24-A1-PO",NA,"PO","24-A1","Small Sham","Small",1,"queen",29,"Sham",FALSE,TRUE,TRUE,2
"R6SS","E8","101",NA,28.67,NA,"24-A1-HYM-101","24-A1-HYM",NA,"HYM","24-A1","Small Sham","Small",1,"queen",29,"Sham",FALSE,TRUE,TRUE,2
"R6SS","D8","101",NA,23.5,NA,"24-A1-DEF-101","24-A1-DEF",NA,"DEF","24-A1","Small Sham","Small",1,"queen",29,"Sham",FALSE,TRUE,TRUE,2
"R6SS","F8","101",NA,28.73,NA,"24-A1-HYM-101","24-A1-HYM",NA,"HYM","24-A1","Small Sham","Small",1,"queen",29,"Sham",FALSE,TRUE,TRUE,2
"R6SS","H8","101",NA,25.09,NA,"24-A1-PO-101","24-A1-PO",NA,"PO","24-A1","Small Sham","Small",1,"queen",29,"Sham",FALSE,TRUE,TRUE,2
"R14BS","B5","7",2084.991,30.96,83.65,"221214-Adriano-RTqPCR-7-DEF-1 - Text Report Data","7-DEF","1","DEF","59-B5","Big Sham","Big",6,"nurse",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","B5","7",892.491,35.47,77.8,"221214-Adriano-RTqPCR-7-HYM-2 - Text Report Data","7-HYM","2","HYM","59-B5","Big Sham","Big",6,"nurse",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","B5","7",2386.644,25.28,77.86,"221214-Adriano-RTqPCR-7-EF1-1 - Text Report Data","7-EF1","1","EF1","59-B5","Big Sham","Big",6,"nurse",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","B5","7",1021.838,30.22,82.65,"221214-Adriano-RTqPCR-7-PO-2 - Text Report Data","7-PO","2","PO","59-B5","Big Sham","Big",6,"nurse",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","B5","7",1337.85,30.65,83.6,"221214-Adriano-RTqPCR-7-DEF-2 - Text Report Data","7-DEF","2","DEF","59-B5","Big Sham","Big",6,"nurse",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","B5","7",2123.457,30.82,82.65,"221214-Adriano-RTqPCR-7-PO-1 - Text Report Data","7-PO","1","PO","59-B5","Big Sham","Big",6,"nurse",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","B5","7",1522.103,25.13,77.84,"221214-Adriano-RTqPCR-7-EF1-2 - Text Report Data","7-EF1","2","EF1","59-B5","Big Sham","Big",6,"nurse",165,"Sham",FALSE,TRUE,FALSE,17
"R14BS","B5","7",1291.982,NA,87.45,"221214-Adriano-RTqPCR-7-HYM-1 - Text Report Data","7-HYM","1","HYM","59-B5","Big Sham","Big",6,"nurse",165,"Sham",FALSE,TRUE,FALSE,17
"R2BS","B4","101",NA,17.77,NA,"5-A3-EF1-101","5-A3-EF1",NA,"EF1","5-A3","Big Sham","Big",1,"queen",171,"Sham",FALSE,TRUE,TRUE,17
"R2BS","H4","101",NA,24.75,NA,"5-A3-PO-101","5-A3-PO",NA,"PO","5-A3","Big Sham","Big",1,"queen",171,"Sham",FALSE,TRUE,TRUE,17
"R2BS","C4","101",NA,24.39,NA,"5-A3-DEF-101","5-A3-DEF",NA,"DEF","5-A3","Big Sham","Big",1,"queen",171,"Sham",FALSE,TRUE,TRUE,17
"R2BS","F4","101",NA,29.14,NA,"5-A3-HYM-101","5-A3-HYM",NA,"HYM","5-A3","Big Sham","Big",1,"queen",171,"Sham",FALSE,TRUE,TRUE,17
