"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
2 "CapsuleDef3" 0 15 0.5 32 3 0.5 "fit_SVM_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.539 0.719 0.732 0.672 0.343 0.557 0.592 0.448
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_RF_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.288 0.591 0.753 0.318
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_RF_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.289 0.366 0.326 0.715 0.23 0.302 0.268 0.62
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_RF_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.341 0.604 0.69 0.403
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_RF_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.392 0.499 0.463 0.72 0.332 0.461 0.439 0.576
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_RF_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.355 0.603 0.669 0.431
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_RF_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.337 0.615 0.72 0.388
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_RF_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.308 0.594 0.719 0.351
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_SVM_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.476 0.714 0.769 0.555 0.302 0.539 0.604 0.377
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_SVM_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.252 0.316 0.277 0.737 0.186 0.244 0.213 0.602
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_SVM_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.55 0.747 0.774 0.655 0.286 0.492 0.53 0.383
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_SVM_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.314 0.397 0.357 0.722 0.194 0.277 0.252 0.455
3 "CapsuleDef3" 0 15 0.5 40 2 0.5 "fit_SVM_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.5 0.659 0.654 0.681 0.298 0.476 0.488 0.434
