"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
59,97,2021-02-28 09:45:15,2021-02-28 09:45:26,94,178,1,"1-1,1-2,2-1,2-2",1536.63776053851,1627.53001497564,-1.99217510001942,1620.91931201056,1544.50100901986,2.80799320799035,"1","1",63,"ant_59","ant_97","59_97",2021-02-28 09:45:15,2021-02-28 09:45:26,1614505515.998,1614505526.499,94,178,10.6260001659393,16,"ant_97","ant_59",1,"whole_experiment","REP1/R1BS"
59,139,2021-02-28 09:45:34,2021-02-28 09:46:57,245,908,1,"1-2,2-1,2-2",1527.74649553862,1608.40521687524,-1.81162705933411,1469.68909583912,1720.31629817455,-1.3329653954255,"1","1",248,"ant_59","ant_139","59_139",2021-02-28 09:45:34,2021-02-28 09:46:57,1614505534.874,1614505617.749,245,908,83,79,"ant_139","ant_59",1,"whole_experiment","REP1/R1BS"
59,97,2021-02-28 09:46:48,2021-02-28 09:48:07,833,1463,1,"1-1,1-2,2-1,2-2",1589.22420731691,1652.97263437512,-1.60541107315286,1647.42694587509,1621.41790995758,2.94989523718833,"1","1",403,"ant_59","ant_97","59_97",2021-02-28 09:46:48,2021-02-28 09:48:07,1614505608.374,1614505687.125,833,1463,78.8759999275208,120,"ant_97","ant_59",1,"whole_experiment","REP1/R1BS"
37,128,2021-02-28 09:48:15,2021-02-28 09:48:18,1530,1557,1,"2-1,2-2",3579.81748016161,3132.55710141158,2.46122543481247,3440.22278022103,3122.13610510123,-0.168470138463465,"1","1",11,"ant_37","ant_128","37_128",2021-02-28 09:48:15,2021-02-28 09:48:18,1614505695.5,1614505698.875,1530,1557,3.5,126,"ant_37","ant_128",1,"whole_experiment","REP1/R1BS"
14,67,2021-02-28 09:50:25,2021-02-28 09:50:29,2573,2602,1,"1-2,2-2",2887.16161704703,4017.03867619932,-2.89198756585682,2767.41103209143,4002.62188128489,1.96129607119361,"1","1",29,"ant_14","ant_67","14_67",2021-02-28 09:50:25,2021-02-28 09:50:29,1614505825.876,1614505829.502,2573,2602,3.75100016593933,296,"ant_14","ant_67",1,"whole_experiment","REP1/R1BS"
77,102,2021-02-28 09:50:41,2021-02-28 09:50:50,2699,2771,1,"1-2,2-2",3197.67049202966,4004.93908624125,1.78546885712651,3220.45905481326,4147.42403778192,1.86091451173135,"1","1",27,"ant_77","ant_102","77_102",2021-02-28 09:50:41,2021-02-28 09:50:50,1614505841.626,1614505850.627,2699,2771,9.12600016593933,329,"ant_102","ant_77",1,"whole_experiment","REP1/R1BS"
131,144,2021-02-28 09:50:37,2021-02-28 09:50:58,2663,2833,1,"1-2,2-1,2-2",1980.88588982488,4046.92378084367,-1.44231806855867,2074.13627093195,4040.93972527488,2.12223440190989,"1","1",66,"ant_131","ant_144","131_144",2021-02-28 09:50:37,2021-02-28 09:50:58,1614505837.126,1614505858.376,2663,2833,21.375,340,"ant_144","ant_131",1,"whole_experiment","REP1/R1BS"
59,68,2021-02-28 09:51:00,2021-02-28 09:51:09,2848,2924,1,"1-1,1-2,2-1,2-2",1609.28010472219,1646.33209820945,-2.16708885044222,1659.37773780455,1536.76361808484,2.50598835440334,"1","1",69,"ant_59","ant_68","59_68",2021-02-28 09:51:00,2021-02-28 09:51:09,1614505860.251,1614505869.752,2848,2924,9.62600016593933,358,"ant_68","ant_59",1,"whole_experiment","REP1/R1BS"
141,143,2021-02-28 09:51:15,2021-02-28 09:51:46,2968,3215,1,"2-1,2-2",3344.95150990405,4350.01414457203,-1.76231435781486,3261.38113346779,4422.76987500046,-0.933708710629793,"1","1",247,"ant_141","ant_143","141_143",2021-02-28 09:51:15,2021-02-28 09:51:46,1614505875.251,1614505906.127,2968,3215,31.0010001659393,409,"ant_143","ant_141",1,"whole_experiment","REP1/R1BS"
21,131,2021-02-28 09:53:38,2021-02-28 09:53:54,4112,4238,1,"1-1,1-2,2-1,2-2",923.364622398942,4458.12141001058,-2.42311349368327,888.843044232797,4334.78131207321,1.43547614385583,"1","1",122,"ant_21","ant_131","21_131",2021-02-28 09:53:38,2021-02-28 09:53:54,1614506018.253,1614506034.003,4112,4238,15.875,583,"ant_131","ant_21",1,"whole_experiment","REP1/R1BS"
