"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
79,167,2021-04-12 08:32:58,2021-04-12 08:33:02,206,239,1,"1-2,2-2",2564.46162193466,4001.90192844481,1.7948537771835,2476.6849295014,4041.00825177675,2.63335068595609,"1","1",19,"ant_79","ant_167","79_167",2021-04-12 08:32:58,2021-04-12 08:33:02,1618216378.742,1618216382.867,206,239,4.25,49,"ant_79","ant_167",1,"whole_experiment","REP7/R7BP"
10,111,2021-04-12 08:32:33,2021-04-12 08:33:10,6,299,1,"1-2,2-2",3187.46057664026,3886.2472529607,0.280805196448053,3287.56638652734,3904.64550799631,0.4068753452065,"1","1",86,"ant_10","ant_111","10_111",2021-04-12 08:32:33,2021-04-12 08:33:10,1618216353.742,1618216390.367,6,299,36.75,57,"ant_10","ant_111",1,"whole_experiment","REP7/R7BP"
18,100,2021-04-12 08:33:43,2021-04-12 08:34:01,568,709,1,"1-2,2-2",3350.45448474006,2512.04382416401,-0.334747324035323,3482.63903185891,2495.9589716698,0.235081001146704,"1","1",142,"ant_18","ant_100","18_100",2021-04-12 08:33:43,2021-04-12 08:34:01,1618216423.992,1618216441.618,568,709,17.7509999275208,143,"ant_18","ant_100",1,"whole_experiment","REP7/R7BP"
10,110,2021-04-12 08:34:04,2021-04-12 08:34:14,736,812,1,"1-1,1-2,2-1,2-2",3051.39343558512,3853.28890620141,0.620609745269632,3193.62836951578,3884.36264313851,2.86896889581998,"1","1",37,"ant_10","ant_110","10_110",2021-04-12 08:34:04,2021-04-12 08:34:14,1618216444.992,1618216454.493,736,812,9.62599992752075,175,"ant_10","ant_110",1,"whole_experiment","REP7/R7BP"
116,182,2021-04-12 08:36:11,2021-04-12 08:36:12,1752,1759,1,"2-1,2-2",2664.16164624626,1406.52331289607,-1.40225646173386,2527.63805552014,1452.91074544295,0.145374207824113,"1","1",4,"ant_116","ant_182","116_182",2021-04-12 08:36:11,2021-04-12 08:36:12,1618216571.994,1618216572.869,1752,1759,1,422,"ant_182","ant_116",1,"whole_experiment","REP7/R7BP"
7,16,2021-04-12 08:38:19,2021-04-12 08:38:32,2773,2878,1,"1-1,1-2,2-1,2-2",3321.23991392289,3237.65261191845,-2.24986698501829,3363.9772095525,3120.07482735335,2.12956752663801,"1","1",87,"ant_7","ant_16","7_16",2021-04-12 08:38:19,2021-04-12 08:38:32,1618216699.62,1618216712.745,2773,2878,13.25,724,"ant_16","ant_7",1,"whole_experiment","REP7/R7BP"
2,53,2021-04-12 08:38:51,2021-04-12 08:38:52,3025,3036,1,"2-1,2-2",1623.28590287801,1769.66729375102,-1.18237470973905,1684.955183894,1869.79789560168,-3.11600152230893,"1","1",11,"ant_2","ant_53","2_53",2021-04-12 08:38:51,2021-04-12 08:38:52,1618216731.12,1618216732.495,3025,3036,1.5,759,"ant_53","ant_2",1,"whole_experiment","REP7/R7BP"
12,82,2021-04-12 08:38:58,2021-04-12 08:38:59,3088,3095,1,"1-1,1-2,2-1,2-2",2875.8259759612,2042.87464861097,-2.09242831296115,2937.8870411409,1949.45893418736,-3.0951286355623,"1","1",8,"ant_12","ant_82","12_82",2021-04-12 08:38:58,2021-04-12 08:38:59,1618216738.996,1618216739.87,3088,3095,0.998999834060669,774,"ant_12","ant_82",1,"whole_experiment","REP7/R7BP"
83,153,2021-04-12 08:39:20,2021-04-12 08:39:31,3262,3346,1,"2-1,2-2",971.484911279086,3596.01600426409,0.41462433626512,929.313076423737,3473.58677071642,1.79195561274553,"1","1",80,"ant_83","ant_153","83_153",2021-04-12 08:39:20,2021-04-12 08:39:31,1618216760.746,1618216771.246,3262,3346,10.625,838,"ant_153","ant_83",1,"whole_experiment","REP7/R7BP"
10,62,2021-04-12 08:39:38,2021-04-12 08:39:47,3407,3473,1,"2-1,2-2",1812.08010251261,3831.23651282975,-0.947256949965437,1836.3327365898,3941.85796522866,-1.49703495388285,"1","1",66,"ant_10","ant_62","10_62",2021-04-12 08:39:38,2021-04-12 08:39:47,1618216778.871,1618216787.121,3407,3473,8.375,872,"ant_62","ant_10",1,"whole_experiment","REP7/R7BP"
62,131,2021-04-12 08:40:16,2021-04-12 08:40:19,3709,3730,1,"1-2,2-2",1882.46705404734,4372.51027430567,-2.57737937735866,1781.92642981849,4251.72888076304,-1.63330362173547,"1","1",16,"ant_62","ant_131","62_131",2021-04-12 08:40:16,2021-04-12 08:40:19,1618216816.621,1618216819.246,3709,3730,2.75,956,"ant_62","ant_131",1,"whole_experiment","REP7/R7BP"
2,178,2021-04-12 08:41:13,2021-04-12 08:41:16,4163,4185,1,"2-1,2-2",1562.95623042752,1735.90855894063,-1.11072945104929,1653.86328755553,1830.41048458401,-2.22205328987336,"1","1",16,"ant_2","ant_178","2_178",2021-04-12 08:41:13,2021-04-12 08:41:16,1618216873.372,1618216876.122,4163,4185,2.875,1125,"ant_178","ant_2",1,"whole_experiment","REP7/R7BP"
77,149,2021-04-12 08:41:58,2021-04-12 08:41:58,4521,4525,1,"2-1,2-2",2402.78771809574,4078.55650201589,-0.862275694440729,2309.1494136039,4014.36134672069,-0.0779666952261395,"1","1",5,"ant_77","ant_149","77_149",2021-04-12 08:41:58,2021-04-12 08:41:58,1618216918.123,1618216918.622,4521,4525,0.624000072479248,1251,"ant_77","ant_149",1,"whole_experiment","REP7/R7BP"
82,175,2021-04-12 08:42:00,2021-04-12 08:42:01,4541,4547,1,"2-1,2-2",2967.83585290863,1739.16695473445,0.256786442827549,2931.90398931851,1857.53745251508,-1.06372356210576,"1","1",5,"ant_82","ant_175","82_175",2021-04-12 08:42:00,2021-04-12 08:42:01,1618216920.622,1618216921.372,4541,4547,0.875,1255,"ant_175","ant_82",1,"whole_experiment","REP7/R7BP"
56,108,2021-04-12 08:42:16,2021-04-12 08:42:20,4669,4697,1,"2-1,2-2",743.041788065698,1789.71889137668,-2.23790547423325,866.960273691509,1763.63351711403,2.12285490394797,"1","1",7,"ant_56","ant_108","56_108",2021-04-12 08:42:16,2021-04-12 08:42:20,1618216936.623,1618216940.122,4669,4697,3.62400007247925,1303,"ant_108","ant_56",1,"whole_experiment","REP7/R7BP"
62,131,2021-04-12 08:41:26,2021-04-12 08:42:32,4269,4800,1,"1-2,2-2",1825.9567766307,4100.32758408992,1.50588938894306,1784.99271406534,4187.83746183127,2.55149685718133,"1","1",105,"ant_62","ant_131","62_131",2021-04-12 08:41:26,2021-04-12 08:42:32,1618216886.622,1618216952.998,4269,4800,66.5009999275208,1334,"ant_62","ant_131",1,"whole_experiment","REP7/R7BP"
55,173,2021-04-12 08:42:23,2021-04-12 08:42:37,4723,4833,1,"2-1,2-2",1338.0670764132,2876.45427716961,1.05330819942874,1228.95879961944,2894.79147506344,0.45151918821911,"1","1",32,"ant_55","ant_173","55_173",2021-04-12 08:42:23,2021-04-12 08:42:37,1618216943.372,1618216957.123,4723,4833,13.8759999275208,1352,"ant_173","ant_55",1,"whole_experiment","REP7/R7BP"
52,101,2021-04-12 08:42:54,2021-04-12 08:42:58,4971,5004,1,"1-1,1-2,2-1,2-2",656.028750444499,2906.41413126411,0.852170316734502,679.590865542763,3056.50787673348,-1.1192982937987,"1","1",31,"ant_52","ant_101","52_101",2021-04-12 08:42:54,2021-04-12 08:42:58,1618216974.373,1618216978.498,4971,5004,4.25,1406,"ant_52","ant_101",1,"whole_experiment","REP7/R7BP"
