"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
53,62,2021-03-08 10:36:18,2021-03-08 10:36:25,1,62,1,"2-1,2-2",1618.33916253977,3857.29796331677,0.225958712600362,1636.09202295005,3747.52040266611,1.72429623044561,"1","1",60,"ant_53","ant_62","53_62",2021-03-08 10:36:18,2021-03-08 10:36:25,1615199778.284,1615199785.909,1,62,7.75,8,"ant_62","ant_53",1,"whole_experiment","REP2/R2BP"
58,125,2021-03-08 10:39:10,2021-03-08 10:39:11,1381,1390,1,"1-1,1-2,2-1,2-2",3461.46353200912,1630.66988908113,-1.69250681039142,3371.81840395633,1510.46869641514,1.14120014513152,"1","1",10,"ant_58","ant_125","58_125",2021-03-08 10:39:10,2021-03-08 10:39:11,1615199950.786,1615199951.911,1381,1390,1.25,333,"ant_125","ant_58",1,"whole_experiment","REP2/R2BP"
62,98,2021-03-08 10:39:11,2021-03-08 10:39:48,1390,1685,1,"1-2,2-2",1962.75679470107,3392.53751484263,2.23894087677949,1851.47358410319,3477.04085270277,1.81879023805025,"1","1",69,"ant_62","ant_98","62_98",2021-03-08 10:39:11,2021-03-08 10:39:48,1615199951.911,1615199988.786,1390,1685,37,422,"ant_62","ant_98",1,"whole_experiment","REP2/R2BP"
97,120,2021-03-08 10:40:12,2021-03-08 10:40:13,1871,1879,1,"2-1,2-2",1973.81137460976,2107.53888576645,-0.72415733312472,1861.28826754083,2035.50404402612,1.18488836720959,"1","1",7,"ant_97","ant_120","97_120",2021-03-08 10:40:12,2021-03-08 10:40:13,1615200012.036,1615200013.036,1871,1879,1.125,457,"ant_120","ant_97",1,"whole_experiment","REP2/R2BP"
5,63,2021-03-08 10:41:01,2021-03-08 10:41:02,2267,2275,1,"1-2,2-2",2560.85136326262,2474.71187778653,2.619779914744,2442.55099742634,2505.63620165888,-1.75362123897462,"1","1",9,"ant_5","ant_63","5_63",2021-03-08 10:41:01,2021-03-08 10:41:02,1615200061.537,1615200062.537,2267,2275,1.125,561,"ant_5","ant_63",1,"whole_experiment","REP2/R2BP"
94,127,2021-03-08 10:41:03,2021-03-08 10:41:22,2284,2432,1,"2-1,2-2",2300.12736735435,3002.6863240029,-0.960665210577664,2173.08431575532,2964.92523157281,0.334303163002986,"1","1",27,"ant_94","ant_127","94_127",2021-03-08 10:41:03,2021-03-08 10:41:22,1615200063.662,1615200082.162,2284,2432,18.625,592,"ant_127","ant_94",1,"whole_experiment","REP2/R2BP"
97,161,2021-03-08 10:42:16,2021-03-08 10:42:50,2867,3141,1,"1-2,2-1,2-2",1960.28699588642,2083.48857957223,-0.442356257227043,2034.41099325533,2158.84990161544,2.20531925312894,"1","1",42,"ant_97","ant_161","97_161",2021-03-08 10:42:16,2021-03-08 10:42:50,1615200136.537,1615200170.788,2867,3141,34.3760001659393,845,"ant_161","ant_97",1,"whole_experiment","REP2/R2BP"
9,60,2021-03-08 10:43:00,2021-03-08 10:43:02,3217,3232,1,"2-1,2-2",1769.73150817103,4332.58412075769,1.43474640953337,1710.18813623403,4196.89789709106,1.59992620158768,"1","1",14,"ant_9","ant_60","9_60",2021-03-08 10:43:00,2021-03-08 10:43:02,1615200180.288,1615200182.163,3217,3232,2,892,"ant_9","ant_60",1,"whole_experiment","REP2/R2BP"
148,161,2021-03-08 10:43:34,2021-03-08 10:43:41,3491,3547,1,"1-2,2-2",2209.15964850919,2068.87088899591,2.18475977555167,2204.4305582115,2216.0611627404,0.952076695260951,"1","1",43,"ant_148","ant_161","148_161",2021-03-08 10:43:34,2021-03-08 10:43:41,1615200214.538,1615200221.538,3491,3547,7.125,983,"ant_148","ant_161",1,"whole_experiment","REP2/R2BP"
80,134,2021-03-08 10:44:33,2021-03-08 10:44:54,3963,4132,1,"2-1,2-2",1337.20306359457,3470.68282115783,-0.157061312566603,1299.1175542844,3586.4117007059,-1.49771543519773,"1","1",132,"ant_80","ant_134","80_134",2021-03-08 10:44:33,2021-03-08 10:44:54,1615200273.539,1615200294.664,3963,4132,21.25,1117,"ant_80","ant_134",1,"whole_experiment","REP2/R2BP"
88,168,2021-03-08 10:45:02,2021-03-08 10:45:04,4192,4212,1,"1-1,1-2,2-1,2-2",3270.91487159582,4288.02146855187,-2.0003151663876,3294.99396804226,4134.47485573469,2.27601908923635,"1","1",21,"ant_88","ant_168","88_168",2021-03-08 10:45:02,2021-03-08 10:45:04,1615200302.164,1615200304.664,4192,4212,2.625,1134,"ant_168","ant_88",1,"whole_experiment","REP2/R2BP"
13,81,2021-03-08 10:47:13,2021-03-08 10:47:19,5246,5287,1,"1-1,1-2,2-1,2-2",1336.77891113864,3868.5605237521,0.709744233463314,1272.19730070253,3908.66114032908,0.301056657614356,"1","1",42,"ant_13","ant_81","13_81",2021-03-08 10:47:13,2021-03-08 10:47:19,1615200433.915,1615200439.04,5246,5287,5.25,1381,"ant_13","ant_81",1,"whole_experiment","REP2/R2BP"
82,112,2021-03-08 10:49:44,2021-03-08 10:49:50,6449,6497,1,"1-2,2-2",2702.35934916901,2406.14256084065,-1.50944953825282,2743.86592435059,2263.65234866949,-1.0420532320953,"1","1",49,"ant_82","ant_112","82_112",2021-03-08 10:49:44,2021-03-08 10:49:50,1615200584.292,1615200590.292,6449,6497,6.125,1681,"ant_82","ant_112",1,"whole_experiment","REP2/R2BP"
