"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
2,16,2021-03-14 09:38:32,2021-03-14 09:38:38,3902,3946,1,"1-2,2-2",3249.24513742965,3244.75044878817,-0.591767157033471,3369.5158912615,3162.1556607568,-0.266387066402683,"1","1",38,"ant_2","ant_16","2_16",2021-03-14 09:38:32,2021-03-14 09:38:38,1615714712.884,1615714718.384,3902,3946,5.625,131,"ant_2","ant_16",1,"whole_experiment","REP3/R3SS"
17,27,2021-03-14 09:39:36,2021-03-14 09:39:37,4413,4421,1,"1-2,2-2",2772.7523755609,3136.86306500612,1.36966917771592,2879.35031256413,3143.71836870535,-1.04566223364632,"1","1",2,"ant_17","ant_27","17_27",2021-03-14 09:39:36,2021-03-14 09:39:37,1615714776.76,1615714777.76,4413,4421,1.125,172,"ant_17","ant_27",1,"whole_experiment","REP3/R3SS"
13,24,2021-03-14 09:43:56,2021-03-14 09:44:30,6492,6759,1,"1-2,2-1,2-2",3323.22519278433,3308.93115897405,2.0516089426329,3402.20346966754,3397.08558590001,-1.89930136040528,"1","1",53,"ant_13","ant_24","13_24",2021-03-14 09:43:56,2021-03-14 09:44:30,1615715036.637,1615715070.013,6492,6759,33.5009999275208,279,"ant_24","ant_13",1,"whole_experiment","REP3/R3SS"
4,26,2021-03-14 09:47:30,2021-03-14 09:47:32,8201,8219,1,"1-2,2-2",2746.25509989913,2652.43810543055,2.91030947144799,2604.7849394364,2702.3501615898,2.03339691946761,"1","1",7,"ant_4","ant_26","4_26",2021-03-14 09:47:30,2021-03-14 09:47:32,1615715250.264,1615715252.514,8201,8219,2.375,323,"ant_4","ant_26",1,"whole_experiment","REP3/R3SS"
14,15,2021-03-14 09:48:13,2021-03-14 09:48:16,8546,8567,1,"1-2,2-2",3338.68828764698,3510.49429942236,-2.05348910436095,3238.3652109997,3419.49038297019,-0.443678021605542,"1","1",12,"ant_14","ant_15","14_15",2021-03-14 09:48:13,2021-03-14 09:48:16,1615715293.39,1615715296.015,8546,8567,2.75,338,"ant_14","ant_15",1,"whole_experiment","REP3/R3SS"
9,29,2021-03-14 09:50:41,2021-03-14 09:50:46,9728,9770,1,"2-1,2-2",2445.18883881336,3091.25616981966,-1.52415325012289,2468.47890000902,3198.16508228433,-1.6648003573948,"1","1",32,"ant_9","ant_29","9_29",2021-03-14 09:50:41,2021-03-14 09:50:46,1615715441.141,1615715446.392,9728,9770,5.37599992752075,366,"ant_29","ant_9",1,"whole_experiment","REP3/R3SS"
6,16,2021-03-14 09:54:32,2021-03-14 09:54:34,11579,11593,1,"1-2,2-1,2-2",3292.94012356689,2798.47656289367,1.80408616070329,3382.39430424398,2917.31774819938,-2.74181137456477,"1","1",9,"ant_6","ant_16","6_16",2021-03-14 09:54:32,2021-03-14 09:54:34,1615715672.519,1615715674.269,11579,11593,1.875,413,"ant_16","ant_6",1,"whole_experiment","REP3/R3SS"
7,11,2021-03-14 10:00:42,2021-03-14 10:01:04,14541,14713,1,"1-2,2-2",3488.21422455212,3086.89083230705,2.03203228367023,3399.56934244128,3187.20953657356,1.46184682471551,"1","1",47,"ant_7","ant_11","7_11",2021-03-14 10:00:42,2021-03-14 10:01:04,1615716042.772,1615716064.272,14541,14713,21.625,499,"ant_7","ant_11",1,"whole_experiment","REP3/R3SS"
11,28,2021-03-14 10:01:47,2021-03-14 10:01:50,15058,15082,1,"1-2,2-2",3306.43948430487,3304.47017149929,-2.05833279574786,3230.73173817127,3337.55546407444,1.51020724470812,"1","1",19,"ant_11","ant_28","11_28",2021-03-14 10:01:47,2021-03-14 10:01:50,1615716107.398,1615716110.398,15058,15082,3.125,520,"ant_11","ant_28",1,"whole_experiment","REP3/R3SS"
6,19,2021-03-14 10:04:28,2021-03-14 10:04:31,16346,16372,1,"1-2,2-2",2893.20897083135,3432.48860225182,0.77536215979196,3006.98597800018,3527.86050781203,0.828767367962161,"1","1",27,"ant_6","ant_19","6_19",2021-03-14 10:04:28,2021-03-14 10:04:31,1615716268.399,1615716271.649,16346,16372,3.375,641,"ant_6","ant_19",1,"whole_experiment","REP3/R3SS"
