"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
39,109,2021-08-03 08:42:56,2021-08-03 08:43:41,1,"1-1,1-2,2-1,2-2",1677.09903698605,2395.86395891395,1.10929115895294,1758.57215007553,2471.58653048047,2.2318943846412,"1","1","ant_39","ant_109","39_109",2021-08-03 08:42:56,2021-08-03 08:43:41,1627980176.43,1627980221.806,28869,29232,45.5009999275208,210,"ant_39","ant_109",1,"whole_experiment","REP14/R14BP"
106,128,2021-08-03 09:52:57,2021-08-03 09:53:07,1,"1-1,1-2",1823.35165003675,3333.98556913688,1.45816631126226,1718.74967477032,3244.69576941091,0.934108111610879,"1","1","ant_106","ant_128","106_128",2021-08-03 09:52:57,2021-08-03 09:53:07,1627984377.333,1627984387.958,62476,62561,10.75,453,"ant_128","ant_106",1,"whole_experiment","REP14/R14BP"
109,116,2021-08-03 12:11:12,2021-08-03 12:11:24,1,"1-1,2-1",2982.00827461993,3777.9680513301,1.68125188689171,2921.6503338495,3904.29492463918,1.48874152827687,"1","1","ant_109","ant_116","109_116",2021-08-03 12:11:12,2021-08-03 12:11:24,1627992672.013,1627992684.013,128833,128929,12.125,1016,"ant_109","ant_116",1,"whole_experiment","REP14/R14BP"
63,84,2021-08-03 14:11:57,2021-08-03 14:12:19,1,"1-1,1-2,2-1,2-2",1737.86894837265,1751.6595405605,-0.0673584258724446,1857.76306185382,1753.73687581874,-2.35213041887577,"1","1","ant_63","ant_84","63_84",2021-08-03 14:11:57,2021-08-03 14:12:19,1627999917.313,1627999939.438,186795,186972,22.25,1424,"ant_63","ant_84",1,"whole_experiment","REP14/R14BP"
17,59,2021-08-03 15:14:23,2021-08-03 15:14:47,1,"1-1,1-2,2-1,2-2",1658.40974722255,3155.23975062553,-0.0758714563200973,1776.10046225195,3223.74519267297,-2.64745627021327,"1","1","ant_17","ant_59","17_59",2021-08-03 15:14:23,2021-08-03 15:14:47,1628003663.213,1628003687.088,216762,216953,24,1612,"ant_59","ant_17",1,"whole_experiment","REP14/R14BP"
63,80,2021-08-03 17:08:35,2021-08-03 17:08:47,1,"1-1,1-2,2-1,2-2",1958.4945618133,2111.38518982525,2.51985778534781,1846.28294056454,2172.9375653176,0.481928604483501,"1","1","ant_63","ant_80","63_80",2021-08-03 17:08:35,2021-08-03 17:08:47,1628010515.51,1628010527.01,271580,271672,11.625,1957,"ant_63","ant_80",1,"whole_experiment","REP14/R14BP"
58,72,2021-08-03 17:10:30,2021-08-03 17:10:58,1,"1-1,1-2,2-1,2-2",1872.97491356334,3554.82456933024,-0.751006410816234,1946.60576380723,3548.79093017198,2.9491842873876,"1","1","ant_58","ant_72","58_72",2021-08-03 17:10:30,2021-08-03 17:10:58,1628010630.886,1628010658.886,272503,272727,28.125,1969,"ant_72","ant_58",1,"whole_experiment","REP14/R14BP"
15,59,2021-08-03 17:33:04,2021-08-03 17:33:15,1,"1-1,1-2",1746.88884252245,3572.47230254814,-2.87447106377649,1860.87177076158,3529.40571873067,2.86151794181688,"1","1","ant_15","ant_59","15_59",2021-08-03 17:33:04,2021-08-03 17:33:15,1628011984.52,1628011995.02,283332,283416,10.625,2058,"ant_59","ant_15",1,"whole_experiment","REP14/R14BP"
15,59,2021-08-03 17:33:55,2021-08-03 17:34:06,1,"1-1,1-2",1760.47350060157,3650.85961738349,-2.54671637133962,1800.609802049,3535.6687393687,2.0360799377374,"1","1","ant_15","ant_59","15_59",2021-08-03 17:33:55,2021-08-03 17:34:06,1628012035.145,1628012046.395,283737,283827,11.375,2062,"ant_59","ant_15",1,"whole_experiment","REP14/R14BP"
55,109,2021-08-03 20:03:26,2021-08-03 20:03:51,1,"1-1,1-2,2-1,2-2",1519.67010297232,2904.20660086266,-1.55298921721366,1512.81389302344,2790.75979030012,2.48316053182438,"1","1","ant_55","ant_109","55_109",2021-08-03 20:03:26,2021-08-03 20:03:51,1628021006.332,1628021031.458,355506,355707,25.2509999275208,2558,"ant_55","ant_109",1,"whole_experiment","REP14/R14BP"
