"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
151,187,2021-04-18 08:20:17,2021-04-18 08:20:53,1,"1-1,1-2",1444.13228615227,2597.76404956392,2.04732727354474,1488.87418459427,2463.9452545502,1.5360042043133,"1","1","ant_151","ant_187","151_187",2021-04-18 08:20:17,2021-04-18 08:20:53,1618734017.729,1618734053.855,2305,2594,36.2509999275208,45,"ant_187","ant_151",1,"whole_experiment","REP8/R8BS"
139,152,2021-04-18 08:57:10,2021-04-18 08:57:25,1,"1-1,2-1",370.728131432586,1876.91152910725,-0.786094708605715,447.464782238561,1762.82618919445,-1.19686674093528,"1","1","ant_139","ant_152","139_152",2021-04-18 08:57:10,2021-04-18 08:57:25,1618736230.252,1618736245.378,20005,20126,15.2509999275208,837,"ant_139","ant_152",1,"whole_experiment","REP8/R8BS"
98,152,2021-04-18 08:55:06,2021-04-18 08:58:25,1,"1-1,1-2,2-1,2-2",540.960569707388,1719.75285225179,2.41840838307682,450.336179966745,1763.5151281762,-1.28773043844942,"1","1","ant_98","ant_152","98_152",2021-04-18 08:55:06,2021-04-18 08:58:25,1618736106.376,1618736305.003,19014,20603,198.75200009346,865,"ant_98","ant_152",1,"whole_experiment","REP8/R8BS"
28,145,2021-04-18 09:00:56,2021-04-18 09:01:10,1,"1-1,1-2",1143.41975980347,2505.23198054414,1.53418358070611,1107.26987638978,2388.55697543448,0.649336508429187,"1","1","ant_28","ant_145","28_145",2021-04-18 09:00:56,2021-04-18 09:01:10,1618736456.755,1618736470.38,21817,21926,13.75,905,"ant_145","ant_28",1,"whole_experiment","REP8/R8BS"
46,187,2021-04-18 09:09:32,2021-04-18 09:10:01,1,"1-1,1-2",2965.41909580939,3046.17219611944,-1.27000149511375,2914.14740156838,3171.204553161,-1.62873873425021,"1","1","ant_46","ant_187","46_187",2021-04-18 09:09:32,2021-04-18 09:10:01,1618736972.885,1618737001.135,25946,26172,28.375,1021,"ant_187","ant_46",1,"whole_experiment","REP8/R8BS"
12,35,2021-04-18 09:27:27,2021-04-18 09:27:39,1,"1-1,2-1",2700.38747398072,1845.61118052221,1.12463682749356,2653.59465587749,1962.85337000374,2.09890635719894,"1","1","ant_12","ant_35","12_35",2021-04-18 09:27:27,2021-04-18 09:27:39,1618738047.897,1618738059.397,34546,34638,11.625,1374,"ant_12","ant_35",1,"whole_experiment","REP8/R8BS"
12,131,2021-04-18 09:28:12,2021-04-18 09:28:46,1,"1-1,2-1",2772.51736100717,1754.19008844215,-1.60900283437436,2673.03401110009,1732.23728450832,2.80170757544084,"1","1","ant_12","ant_131","12_131",2021-04-18 09:28:12,2021-04-18 09:28:46,1618738092.398,1618738126.398,34902,35174,34.125,1400,"ant_131","ant_12",1,"whole_experiment","REP8/R8BS"
121,168,2021-04-18 10:08:41,2021-04-18 10:09:06,1,"1-1,1-2",2006.17273367983,3815.88801481289,-2.11990364282657,2012.34200250811,3962.38568168009,-1.1318813749971,"1","1","ant_121","ant_168","121_168",2021-04-18 10:08:41,2021-04-18 10:09:06,1618740521.299,1618740546.298,54333,54533,25.1240000724792,2083,"ant_121","ant_168",1,"whole_experiment","REP8/R8BS"
72,152,2021-04-18 10:14:40,2021-04-18 10:15:05,1,"1-1,1-2,2-1",740.414077542874,2584.91680774651,-2.08514621292784,757.280601804137,2651.51265123901,-1.95854630266458,"1","1","ant_72","ant_152","72_152",2021-04-18 10:14:40,2021-04-18 10:15:05,1618740880.802,1618740905.802,57209,57409,25.125,2184,"ant_72","ant_152",1,"whole_experiment","REP8/R8BS"
115,187,2021-04-18 10:19:38,2021-04-18 10:19:58,1,"1-1,1-2,2-1,2-2",2938.62941687929,3161.85753587661,2.71821414759709,3035.72853175074,3110.6040826508,-2.80553479726438,"1","1","ant_115","ant_187","115_187",2021-04-18 10:19:38,2021-04-18 10:19:58,1618741178.43,1618741198.555,59590,59751,20.25,2279,"ant_187","ant_115",1,"whole_experiment","REP8/R8BS"
35,162,2021-04-18 10:24:59,2021-04-18 10:25:14,1,"1-1,2-1",2013.76951598893,2097.22776488214,1.27678684926245,2074.12031510465,2230.44834566398,1.59587489664187,"1","1","ant_35","ant_162","35_162",2021-04-18 10:24:59,2021-04-18 10:25:14,1618741499.059,1618741514.434,62155,62278,15.5,2385,"ant_35","ant_162",1,"whole_experiment","REP8/R8BS"
