"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
101,130,2021-05-24 08:45:16,2021-05-24 08:45:35,1,"1-1,2-1",1029.69520815078,1947.37239686278,1.88227251877847,1020.92326902922,2105.10553833997,1.32894355298032,"1","1","ant_101","ant_130","101_130",2021-05-24 08:45:16,2021-05-24 08:45:35,1621845916.615,1621845935.24,21150,21299,18.75,613,"ant_101","ant_130",1,"whole_experiment","REP11/R11BP"
55,63,2021-05-24 09:25:27,2021-05-24 09:25:59,1,"1-1,1-2,2-1,2-2",2150.53712796872,4353.14613578976,1.04013331538679,2126.76162010655,4458.84849401571,-0.0836983776136425,"1","1","ant_55","ant_63","55_63",2021-05-24 09:25:27,2021-05-24 09:25:59,1621848327.514,1621848359.515,40437,40693,32.1260001659393,1234,"ant_55","ant_63",1,"whole_experiment","REP11/R11BP"
83,161,2021-05-24 09:41:39,2021-05-24 09:42:09,1,"1-1,1-2,2-1,2-2",1622.22946020638,3135.85635927832,-1.20741777543532,1650.10011846671,3002.25811301265,-0.91870252582151,"1","1","ant_83","ant_161","83_161",2021-05-24 09:41:39,2021-05-24 09:42:09,1621849299.65,1621849329.9,48214,48456,30.375,1496,"ant_83","ant_161",1,"whole_experiment","REP11/R11BP"
89,174,2021-05-24 10:14:44,2021-05-24 10:14:53,1,"1-1,1-2,2-1,2-2",1270.16555650514,2505.30441725487,-2.29766925467689,1193.15604102438,2438.43405184072,2.76256638625311,"1","1","ant_89","ant_174","89_174",2021-05-24 10:14:44,2021-05-24 10:14:53,1621851284.171,1621851293.421,64090,64164,9.375,2294,"ant_174","ant_89",1,"whole_experiment","REP11/R11BP"
91,95,2021-05-24 10:58:02,2021-05-24 10:58:20,1,"1-1,1-2",1604.75000790718,3631.82313544751,2.28795343985349,1727.06479896033,3570.90198463596,2.38349075969307,"1","1","ant_91","ant_95","91_95",2021-05-24 10:58:02,2021-05-24 10:58:20,1621853882.2,1621853900.825,84874,85023,18.75,2783,"ant_95","ant_91",1,"whole_experiment","REP11/R11BP"
8,96,2021-05-24 11:55:03,2021-05-24 11:55:14,1,"1-1,1-2,2-1,2-2",2774.29167573943,1904.09842434674,2.91812808547111,2721.92377985225,1986.03202385217,-0.755523018473119,"1","1","ant_8","ant_96","8_96",2021-05-24 11:55:03,2021-05-24 11:55:14,1621857303.237,1621857314.737,112242,112334,11.625,3433,"ant_8","ant_96",1,"whole_experiment","REP11/R11BP"
66,144,2021-05-24 12:00:00,2021-05-24 12:00:14,1,"1-1,2-1",1292.52594406339,2872.43581221236,2.3607295536238,1217.87666421002,2851.98936206315,-1.43011393964066,"1","1","ant_66","ant_144","66_144",2021-05-24 12:00:00,2021-05-24 12:00:14,1621857600.99,1621857614.24,114624,114730,13.375,3481,"ant_66","ant_144",1,"whole_experiment","REP11/R11BP"
55,91,2021-05-24 12:12:10,2021-05-24 12:12:24,1,"1-1,1-2,2-1,2-2",1057.71918302224,3241.84117611275,-2.7072025709123,974.442711327373,3153.85378712103,1.5748008054177,"1","1","ant_55","ant_91","55_91",2021-05-24 12:12:10,2021-05-24 12:12:24,1621858330.248,1621858344.123,120458,120569,14,3575,"ant_55","ant_91",1,"whole_experiment","REP11/R11BP"
51,96,2021-05-24 13:20:55,2021-05-24 13:21:32,1,"1-1,1-2,2-1,2-2",3173.57702687136,3069.41505545863,0.376532154782972,3275.99261508965,3155.31940360911,-1.76776572374874,"1","1","ant_51","ant_96","51_96",2021-05-24 13:20:55,2021-05-24 13:21:32,1621862455.543,1621862492.419,153460,153755,37.0009999275208,4431,"ant_51","ant_96",1,"whole_experiment","REP11/R11BP"
124,130,2021-05-24 13:34:26,2021-05-24 13:35:00,1,"1-1,1-2,2-1,2-2",1592.78532526419,2393.02102846671,-2.76630427694302,1477.25243747895,2319.27081107462,0.5320352098221,"1","1","ant_124","ant_130","124_130",2021-05-24 13:34:26,2021-05-24 13:35:00,1621863266.552,1621863300.053,159948,160216,33.6259999275208,4570,"ant_130","ant_124",1,"whole_experiment","REP11/R11BP"
