"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
66,126,2021-04-19 13:24:54,2021-04-19 13:25:15,1,"1-1,1-2,2-1,2-2",1147.9027584676,3458.80137857379,-0.961464839253552,1178.14089058705,3343.66574032809,0.819657709560859,"1","1","ant_66","ant_126","66_126",2021-04-19 13:24:54,2021-04-19 13:25:15,1618838694.217,1618838715.218,137079,137247,21.1259999275208,3645,"ant_66","ant_126",1,"whole_experiment","REP8/R8BP"
138,142,2021-04-19 13:29:53,2021-04-19 13:31:40,1,"1-1,1-2,2-1,2-2",729.036703934678,3298.01339836157,-0.505439947168566,770.153611623754,3253.16387413568,2.21687045645095,"1","1","ant_138","ant_142","138_142",2021-04-19 13:29:53,2021-04-19 13:31:40,1618838993.094,1618839100.22,139470,140327,107.250999927521,3754,"ant_142","ant_138",1,"whole_experiment","REP8/R8BP"
63,98,2021-04-19 13:35:52,2021-04-19 13:37:07,1,"1-1,1-2,2-1,2-2",2454.85524587916,2009.76447534697,-0.567589939686646,2536.93765534734,1916.95679726192,-1.749610888728,"1","1","ant_63","ant_98","63_98",2021-04-19 13:35:52,2021-04-19 13:37:07,1618839352.972,1618839427.222,142349,142943,74.375,3793,"ant_63","ant_98",1,"whole_experiment","REP8/R8BP"
58,125,2021-04-19 13:41:08,2021-04-19 13:41:19,1,"1-1,1-2",3044.6263526146,3380.96378893907,-1.58190086317957,3018.43670080168,3531.97785433015,-1.91376656009715,"1","1","ant_58","ant_125","58_125",2021-04-19 13:41:08,2021-04-19 13:41:19,1618839668.848,1618839679.224,144876,144959,10.5009999275208,3844,"ant_125","ant_58",1,"whole_experiment","REP8/R8BP"
79,156,2021-04-19 13:43:19,2021-04-19 13:43:53,1,"1-1,2-1",2688.8658435293,3285.94293527096,1.12800704356944,2729.8988521785,3422.34373684193,1.92982962882626,"1","1","ant_79","ant_156","79_156",2021-04-19 13:43:19,2021-04-19 13:43:53,1618839799.849,1618839833.849,145924,146196,34.125,3875,"ant_79","ant_156",1,"whole_experiment","REP8/R8BP"
64,67,2021-04-19 13:57:19,2021-04-19 13:58:01,1,"1-1,1-2",1643.08859101124,2419.96902801043,-1.44749405643937,1699.84672766328,2489.01244377837,-2.76918832950976,"1","1","ant_64","ant_67","64_67",2021-04-19 13:57:19,2021-04-19 13:58:01,1618840639.229,1618840681.98,152639,152981,42.8759999275208,4069,"ant_67","ant_64",1,"whole_experiment","REP8/R8BP"
23,180,2021-04-19 13:59:43,2021-04-19 14:00:03,1,"1-1,2-1",2813.38581220989,3784.3453681216,1.84421853051865,2756.62681608372,3861.36014251942,1.38809163862778,"1","1","ant_23","ant_180","23_180",2021-04-19 13:59:43,2021-04-19 14:00:03,1618840783.105,1618840803.105,153790,153950,20.125,4101,"ant_23","ant_180",1,"whole_experiment","REP8/R8BP"
63,67,2021-04-19 14:08:17,2021-04-19 14:08:57,1,"1-1,1-2",862.166557810188,3002.69958994759,2.50643270932139,940.382898570974,2905.44828458717,2.13131653545817,"1","1","ant_63","ant_67","63_67",2021-04-19 14:08:17,2021-04-19 14:08:57,1618841297.608,1618841337.109,157906,158222,39.6259999275208,4175,"ant_67","ant_63",1,"whole_experiment","REP8/R8BP"
16,74,2021-04-19 14:10:24,2021-04-19 14:12:16,1,"1-1,1-2,2-1,2-2",846.309108242592,3328.83765121881,2.30825475439723,756.529803492708,3314.74621537026,0.218060795173689,"1","1","ant_16","ant_74","16_74",2021-04-19 14:10:24,2021-04-19 14:12:16,1618841424.234,1618841536.36,158919,159816,112.250999927521,4210,"ant_74","ant_16",1,"whole_experiment","REP8/R8BP"
23,121,2021-04-19 14:16:42,2021-04-19 14:17:00,1,"1-1,1-2",2197.19550264708,3788.61252516703,-2.44308658110475,2229.73360202518,3906.93695660565,-2.21805759648009,"1","1","ant_23","ant_121","23_121",2021-04-19 14:16:42,2021-04-19 14:17:00,1618841802.112,1618841820.612,161942,162090,18.625,4269,"ant_121","ant_23",1,"whole_experiment","REP8/R8BP"
63,177,2021-04-19 14:27:17,2021-04-19 14:28:26,1,"1-1,1-2",1087.28616041726,3090.628990116,-2.27822290692111,1049.95493457924,3207.98990168505,-1.33609092867878,"1","1","ant_63","ant_177","63_177",2021-04-19 14:27:17,2021-04-19 14:28:26,1618842437.99,1618842506.366,167029,167576,68.5009999275208,4366,"ant_177","ant_63",1,"whole_experiment","REP8/R8BP"
124,172,2021-04-19 14:40:18,2021-04-19 14:40:35,1,"1-1,1-2,2-1,2-2",2711.72281123187,3697.12219284126,1.48224919018948,2751.59609349578,3812.13908669717,-2.85635337428572,"1","1","ant_124","ant_172","124_172",2021-04-19 14:40:18,2021-04-19 14:40:35,1618843218.245,1618843235.495,173271,173409,17.375,4526,"ant_124","ant_172",1,"whole_experiment","REP8/R8BP"
124,173,2021-04-19 14:42:34,2021-04-19 14:44:44,1,"1-1,2-1",3068.55406457078,3861.46689927545,-1.8967339321446,3044.53929262009,3753.34621301451,-1.72313409811632,"1","1","ant_124","ant_173","124_173",2021-04-19 14:42:34,2021-04-19 14:44:44,1618843354.996,1618843484.247,174365,175399,129.375999927521,4582,"ant_124","ant_173",1,"whole_experiment","REP8/R8BP"
16,179,2021-04-19 14:51:59,2021-04-19 14:52:46,1,"1-1,1-2",1089.11951217448,2493.02698334857,1.20677541615217,1059.78281079697,2413.14905179932,0.320360268325371,"1","1","ant_16","ant_179","16_179",2021-04-19 14:51:59,2021-04-19 14:52:46,1618843919.625,1618843966.75,178882,179259,47.25,4693,"ant_179","ant_16",1,"whole_experiment","REP8/R8BP"
23,69,2021-04-19 14:51:51,2021-04-19 14:53:36,1,"1-1,1-2",1936.67764883966,4106.69529814781,-0.828103401923577,1871.02305506387,4219.46188425077,-1.15313080603239,"1","1","ant_23","ant_69","23_69",2021-04-19 14:51:51,2021-04-19 14:53:36,1618843911.249,1618844016.125,178815,179654,105.000999927521,4705,"ant_69","ant_23",1,"whole_experiment","REP8/R8BP"
41,125,2021-04-19 15:01:39,2021-04-19 15:01:49,1,"1-1,1-2",2039.58692083698,3921.25769995312,-2.74928507124453,2154.10605417802,3898.38956367275,2.21395516908149,"1","1","ant_41","ant_125","41_125",2021-04-19 15:01:39,2021-04-19 15:01:49,1618844499.128,1618844509.628,183518,183602,10.625,4791,"ant_125","ant_41",1,"whole_experiment","REP8/R8BP"
98,124,2021-04-19 15:05:50,2021-04-19 15:06:28,1,"1-1,1-2",1203.22706958912,4293.16534167627,-1.43073496871044,1082.82332299887,4341.89194326798,-0.4217151355646,"1","1","ant_98","ant_124","98_124",2021-04-19 15:05:50,2021-04-19 15:06:28,1618844750.005,1618844788.38,185525,185832,38.5,4867,"ant_124","ant_98",1,"whole_experiment","REP8/R8BP"
