"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
95,157,2021-08-02 08:56:47,2021-08-02 08:57:59,1,"1-1,1-2,2-1,2-2",2598.97425178222,2211.58536707507,1.50211921287878,2611.95117518434,2321.4178661111,2.44638022285808,"1","1","ant_95","ant_157","95_157",2021-08-02 08:56:47,2021-08-02 08:57:59,1627894607.725,1627894679.975,28235,28813,72.375,551,"ant_95","ant_157",1,"whole_experiment","REP14/R14BS"
47,67,2021-08-02 08:58:15,2021-08-02 08:58:33,1,"1-1,1-2,2-1,2-2",1820.83767813324,3627.53880999203,1.1622544691558,1926.79809591852,3682.54163437877,-2.64300420998595,"1","1","ant_47","ant_67","47_67",2021-08-02 08:58:15,2021-08-02 08:58:33,1627894695.6,1627894713.726,28938,29083,18.2510001659393,555,"ant_47","ant_67",1,"whole_experiment","REP14/R14BS"
17,104,2021-08-02 09:23:25,2021-08-02 09:24:14,1,"1-1,1-2,2-1,2-2",830.844325164412,2433.06335091569,1.91638048830084,740.627324875809,2372.86806932666,0.835738041084573,"1","1","ant_17","ant_104","17_104",2021-08-02 09:23:25,2021-08-02 09:24:14,1627896205.742,1627896254.617,41019,41410,49,803,"ant_104","ant_17",1,"whole_experiment","REP14/R14BS"
20,104,2021-08-02 12:21:16,2021-08-02 12:22:13,1,"1-1,2-1",2466.0205114907,3761.2460891539,2.95182473615161,2365.87021995518,3727.28509083423,2.06896257922575,"1","1","ant_20","ant_104","20_104",2021-08-02 12:21:16,2021-08-02 12:22:13,1627906876.983,1627906933.984,126388,126844,57.1259999275208,2490,"ant_20","ant_104",1,"whole_experiment","REP14/R14BS"
104,138,2021-08-02 13:07:51,2021-08-02 13:08:18,1,"1-1,1-2,2-1,2-2",2419.08372375269,2177.98045549287,1.94296220436565,2326.49984225098,2231.3498461188,0.610076305730311,"1","1","ant_104","ant_138","104_138",2021-08-02 13:07:51,2021-08-02 13:08:18,1627909671.515,1627909698.515,148744,148960,27.125,2927,"ant_104","ant_138",1,"whole_experiment","REP14/R14BS"
109,155,2021-08-02 13:42:50,2021-08-02 13:44:09,1,"1-1,2-1",2622.35710471487,3794.16544811926,-1.86624340958583,2570.04522580071,3670.90962183246,-2.06942092041315,"1","1","ant_109","ant_155","109_155",2021-08-02 13:42:50,2021-08-02 13:44:09,1627911770.163,1627911849.914,165533,166171,79.8759999275208,3258,"ant_109","ant_155",1,"whole_experiment","REP14/R14BS"
28,109,2021-08-02 16:34:28,2021-08-02 16:34:57,1,"1-1,1-2",2431.16305653766,2532.91255738054,-2.16297590644299,2554.33971883319,2520.64071748978,3.09018406796322,"1","1","ant_28","ant_109","28_109",2021-08-02 16:34:28,2021-08-02 16:34:57,1627922068.529,1627922097.029,247919,248147,28.625,4948,"ant_109","ant_28",1,"whole_experiment","REP14/R14BS"
38,87,2021-08-02 17:32:51,2021-08-02 17:33:41,1,"1-1,2-1",2095.24266432826,2981.84568506236,2.13567040914314,2005.94797905539,3082.3926337104,2.17689644778475,"1","1","ant_38","ant_87","38_87",2021-08-02 17:32:51,2021-08-02 17:33:41,1627925571.819,1627925621.195,275945,276340,49.5009999275208,5451,"ant_38","ant_87",1,"whole_experiment","REP14/R14BS"
38,87,2021-08-02 17:34:01,2021-08-02 17:34:29,1,"1-1,2-1",2109.45881529489,2971.54268237689,1.41704606065594,2096.67520088864,3087.26205504295,1.69945637123203,"1","1","ant_38","ant_87","38_87",2021-08-02 17:34:01,2021-08-02 17:34:29,1627925641.571,1627925669.946,276503,276730,28.5,5466,"ant_38","ant_87",1,"whole_experiment","REP14/R14BS"
28,66,2021-08-02 18:00:10,2021-08-02 18:00:48,1,"1-1,1-2",2966.03854617405,2775.60292435788,-2.20183355299428,2991.99299445781,2893.35021867936,-1.7130082560216,"1","1","ant_28","ant_66","28_66",2021-08-02 18:00:10,2021-08-02 18:00:48,1627927210.963,1627927248.089,289058,289355,37.2509999275208,5720,"ant_66","ant_28",1,"whole_experiment","REP14/R14BS"
8,146,2021-08-02 19:54:21,2021-08-02 19:54:31,1,"1-1,1-2,2-1,2-2",1399.99930393044,3246.90643362572,-1.45818179619589,1485.22890928018,3190.7636137679,-2.29873067321926,"1","1","ant_8","ant_146","8_146",2021-08-02 19:54:21,2021-08-02 19:54:31,1627934061.542,1627934071.917,343862,343945,10.5,7192,"ant_8","ant_146",1,"whole_experiment","REP14/R14BS"
151,157,2021-08-02 20:17:17,2021-08-02 20:18:06,1,"1-1,1-2,2-1,2-2",1433.8214299114,2671.84612960811,-1.95628545556244,1361.22729476727,2567.38108993704,0.531560294143539,"1","1","ant_151","ant_157","151_157",2021-08-02 20:17:17,2021-08-02 20:18:06,1627935437.432,1627935486.558,354869,355262,49.2510001659393,7441,"ant_157","ant_151",1,"whole_experiment","REP14/R14BS"
104,122,2021-08-02 22:48:43,2021-08-02 22:49:24,1,"1-1,2-1",1582.3596614271,1886.71923228361,-0.489921839337505,1681.62422129009,1805.62448897418,-1.00303825440734,"1","1","ant_104","ant_122","104_122",2021-08-02 22:48:43,2021-08-02 22:49:24,1627944523.911,1627944564.536,427560,427885,40.75,9038,"ant_104","ant_122",1,"whole_experiment","REP14/R14BS"
28,70,2021-08-02 23:01:03,2021-08-02 23:01:37,1,"1-1,1-2,2-1,2-2",2310.04161792677,3469.02902419113,1.61864785243568,2292.42364358357,3593.16849406967,-2.31971137466302,"1","1","ant_28","ant_70","28_70",2021-08-02 23:01:03,2021-08-02 23:01:37,1627945263.794,1627945297.294,433479,433747,33.625,9160,"ant_70","ant_28",1,"whole_experiment","REP14/R14BS"
17,165,2021-08-03 00:32:54,2021-08-03 00:34:09,1,"1-1,1-2,2-1,2-2",3017.98279983279,2775.45498442928,2.58582061436621,2943.05622629358,2871.54981817388,-1.22027312870954,"1","1","ant_17","ant_165","17_165",2021-08-03 00:32:54,2021-08-03 00:34:09,1627950774.357,1627950849.982,477563,478168,75.75,10149,"ant_165","ant_17",1,"whole_experiment","REP14/R14BS"
17,165,2021-08-03 00:37:55,2021-08-03 00:38:34,1,"1-1,1-2",2765.85807748616,2292.40647600158,-2.53688001433992,2806.36588179358,2416.02153589663,-1.83077906826356,"1","1","ant_17","ant_165","17_165",2021-08-03 00:37:55,2021-08-03 00:38:34,1627951075.36,1627951114.611,479971,480285,39.3760001659393,10225,"ant_165","ant_17",1,"whole_experiment","REP14/R14BS"
17,165,2021-08-03 00:39:05,2021-08-03 00:39:20,1,"1-1,1-2",2777.1699807544,2268.99235784408,-3.14151683251748,2867.10184853791,2363.84354985307,-2.35323522300837,"1","1","ant_17","ant_165","17_165",2021-08-03 00:39:05,2021-08-03 00:39:20,1627951145.111,1627951160.486,480529,480652,15.5,10232,"ant_165","ant_17",1,"whole_experiment","REP14/R14BS"
17,165,2021-08-03 00:39:59,2021-08-03 00:41:20,1,"1-1,1-2",2718.0078479824,2309.56689427326,-2.12887859232765,2813.03678370391,2400.66243546265,-2.44290697595377,"1","1","ant_17","ant_165","17_165",2021-08-03 00:39:59,2021-08-03 00:41:20,1627951199.611,1627951280.738,480965,481614,81.2519998550415,10258,"ant_165","ant_17",1,"whole_experiment","REP14/R14BS"
