"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
70,145,2021-07-26 11:17:06,2021-07-26 11:17:17,1,"1-1,1-2,2-1,2-2",2250.04860015933,3184.85870828263,-2.11194442921659,2242.46891901875,3049.80217012627,1.78478786476799,"1","1","ant_70","ant_145","70_145",2021-07-26 11:17:06,2021-07-26 11:17:17,1627298226.54,1627298237.04,87132,87216,10.625,1362,"ant_70","ant_145",1,"whole_experiment","REP13/R13BS"
42,163,2021-07-26 12:07:52,2021-07-26 12:08:03,1,"1-1,2-1",2979.19485735419,3297.15750963152,-2.25659700455763,2876.58619100014,3205.98616788697,1.49326089099704,"1","1","ant_42","ant_163","42_163",2021-07-26 12:07:52,2021-07-26 12:08:03,1627301272.31,1627301283.685,111498,111589,11.5,1827,"ant_42","ant_163",1,"whole_experiment","REP13/R13BS"
42,139,2021-07-26 12:10:20,2021-07-26 12:10:29,1,"1-1,1-2,2-1,2-2",1461.83769938426,2499.20644601289,-2.93260076713505,1332.24192549581,2477.20415585193,1.04188539326131,"1","1","ant_42","ant_139","42_139",2021-07-26 12:10:20,2021-07-26 12:10:29,1627301420.686,1627301429.561,112685,112756,9,1864,"ant_42","ant_139",1,"whole_experiment","REP13/R13BS"
139,174,2021-07-26 12:49:58,2021-07-26 12:50:10,1,"1-1,2-1",1482.7494035673,3250.5143011395,-1.69668774143034,1461.33491876754,3135.37204786788,-0.464354012662781,"1","1","ant_139","ant_174","139_174",2021-07-26 12:49:58,2021-07-26 12:50:10,1627303798.702,1627303810.452,131709,131803,11.875,2138,"ant_139","ant_174",1,"whole_experiment","REP13/R13BS"
130,141,2021-07-26 14:05:04,2021-07-26 14:05:47,1,"1-1,2-1",824.259228692874,3086.96287103498,2.57534089143448,697.967080850001,3152.82334746962,2.3606463126525,"1","1","ant_130","ant_141","130_141",2021-07-26 14:05:04,2021-07-26 14:05:47,1627308304.232,1627308347.483,167753,168099,43.3759999275208,2688,"ant_130","ant_141",1,"whole_experiment","REP13/R13BS"
42,139,2021-07-26 14:05:28,2021-07-26 14:05:53,1,"1-1,1-2,2-1,2-2",2587.8644036758,3703.7076321209,2.85397831708415,2452.95369125895,3751.85283456951,-0.0415162227047961,"1","1","ant_42","ant_139","42_139",2021-07-26 14:05:28,2021-07-26 14:05:53,1627308328.982,1627308353.357,167951,168146,24.5,2691,"ant_42","ant_139",1,"whole_experiment","REP13/R13BS"
42,139,2021-07-26 14:14:38,2021-07-26 14:15:25,1,"1-1,1-2,2-1,2-2",2929.18334025801,3394.4065055944,-2.86378059423954,2787.56811838912,3396.94905521719,-0.451710705014038,"1","1","ant_42","ant_139","42_139",2021-07-26 14:14:38,2021-07-26 14:15:25,1627308878.611,1627308925.862,172348,172726,47.3759999275208,2766,"ant_42","ant_139",1,"whole_experiment","REP13/R13BS"
42,139,2021-07-26 14:16:26,2021-07-26 14:17:16,1,"1-1,2-1",2660.93084454643,3694.91648554665,-0.0499844032715397,2771.60094152968,3707.0867149063,-0.252644014220398,"1","1","ant_42","ant_139","42_139",2021-07-26 14:16:26,2021-07-26 14:17:16,1627308986.112,1627309036.362,173208,173610,50.375,2781,"ant_42","ant_139",1,"whole_experiment","REP13/R13BS"
42,163,2021-07-26 14:52:05,2021-07-26 14:53:05,1,"1-1,1-2,2-1,2-2",2370.18881760421,3961.89801291408,3.0907817740291,2233.26627347728,3991.1949362261,-0.305502774349272,"1","1","ant_42","ant_163","42_163",2021-07-26 14:52:05,2021-07-26 14:53:05,1627311125.252,1627311185.502,190321,190803,60.375,3051,"ant_42","ant_163",1,"whole_experiment","REP13/R13BS"
52,103,2021-07-26 15:22:53,2021-07-26 15:23:02,1,"1-1,1-2,2-1,2-2",1738.75696629826,2224.32289653665,1.49475769342945,1818.2966388141,2314.55110362799,-2.92145507472823,"1","1","ant_52","ant_103","52_103",2021-07-26 15:22:53,2021-07-26 15:23:02,1627312973.013,1627312982.888,205103,205182,10,3273,"ant_103","ant_52",1,"whole_experiment","REP13/R13BS"
42,119,2021-07-26 15:45:09,2021-07-26 15:45:33,1,"1-1,2-1",1958.51272682497,3425.85400215449,-1.84244798052458,1880.66179454887,3319.41860962235,-3.12894747515617,"1","1","ant_42","ant_119","42_119",2021-07-26 15:45:09,2021-07-26 15:45:33,1627314309.147,1627314333.897,215792,215990,24.875,3445,"ant_42","ant_119",1,"whole_experiment","REP13/R13BS"
66,103,2021-07-26 15:46:14,2021-07-26 15:46:32,1,"1-1,2-1",1263.3470902415,2114.0319396041,-1.33158967506477,1292.28458146498,1970.57343389472,-2.19860961003086,"1","1","ant_66","ant_103","66_103",2021-07-26 15:46:14,2021-07-26 15:46:32,1627314374.397,1627314392.897,216314,216462,18.625,3454,"ant_66","ant_103",1,"whole_experiment","REP13/R13BS"
40,111,2021-07-26 16:18:41,2021-07-26 16:19:08,1,"1-1,1-2,2-1,2-2",1397.62557524387,2784.50787642089,-1.79046704391269,1357.14667638469,2653.03770998552,1.46430888978434,"1","1","ant_40","ant_111","40_111",2021-07-26 16:18:41,2021-07-26 16:19:08,1627316321.41,1627316348.16,231890,232104,26.875,3730,"ant_111","ant_40",1,"whole_experiment","REP13/R13BS"
83,88,2021-07-26 17:19:55,2021-07-26 17:20:39,1,"1-1,2-1",3098.69627810497,2015.52592701023,-0.903039572150859,3155.81798083782,1903.67404432792,-0.722183201498484,"1","1","ant_83","ant_88","83_88",2021-07-26 17:19:55,2021-07-26 17:20:39,1627319995.684,1627320039.559,261284,261635,44,4132,"ant_83","ant_88",1,"whole_experiment","REP13/R13BS"
58,69,2021-07-26 17:51:45,2021-07-26 17:52:16,1,"1-1,1-2,2-1,2-2",2773.37778307553,3566.6462929935,2.69818274926194,2775.74387159307,3449.96003889818,1.83351868743579,"1","1","ant_58","ant_69","58_69",2021-07-26 17:51:45,2021-07-26 17:52:16,1627321905.321,1627321936.447,276561,276810,31.2509999275208,4330,"ant_58","ant_69",1,"whole_experiment","REP13/R13BS"
129,130,2021-07-26 18:02:59,2021-07-26 18:03:13,1,"1-1,2-1",783.226178960626,4460.78138741556,-2.96952729991248,674.096543898562,4408.97785885147,1.76120203923312,"1","1","ant_129","ant_130","129_130",2021-07-26 18:02:59,2021-07-26 18:03:13,1627322579.201,1627322593.951,281952,282070,14.875,4430,"ant_129","ant_130",1,"whole_experiment","REP13/R13BS"
69,73,2021-07-26 18:02:56,2021-07-26 18:03:33,1,"1-1,1-2",2382.31627079461,3700.06764078566,-2.73219736433173,2453.48023420466,3818.41516283684,-1.78965908782392,"1","1","ant_69","ant_73","69_73",2021-07-26 18:02:56,2021-07-26 18:03:33,1627322576.826,1627322613.451,281933,282226,36.75,4436,"ant_73","ant_69",1,"whole_experiment","REP13/R13BS"
129,130,2021-07-26 18:26:14,2021-07-26 18:26:47,1,"1-1,2-1",646.886541177902,3078.20577925724,1.61112616890639,655.013002590031,3224.19420271707,1.84831402221719,"1","1","ant_129","ant_130","129_130",2021-07-26 18:26:14,2021-07-26 18:26:47,1627323974.71,1627324007.585,293116,293379,33,4603,"ant_129","ant_130",1,"whole_experiment","REP13/R13BS"
6,40,2021-07-26 18:26:18,2021-07-26 18:26:50,1,"1-1,2-1",2686.34901706868,2294.16666979602,2.38465325826687,2621.45965286143,2417.35386945364,1.29754981351554,"1","1","ant_6","ant_40","6_40",2021-07-26 18:26:18,2021-07-26 18:26:50,1627323978.585,1627324010.085,293147,293399,31.625,4604,"ant_6","ant_40",1,"whole_experiment","REP13/R13BS"
139,148,2021-07-26 18:27:50,2021-07-26 18:28:29,1,"1-1,1-2,2-1,2-2",2711.01489512292,3143.81889180197,-1.46726100868734,2756.20625267997,3032.74345785108,2.26207931708829,"1","1","ant_139","ant_148","139_148",2021-07-26 18:27:50,2021-07-26 18:28:29,1627324070.835,1627324109.211,293885,294192,38.5009999275208,4622,"ant_148","ant_139",1,"whole_experiment","REP13/R13BS"
139,148,2021-07-26 18:34:39,2021-07-26 18:35:25,1,"1-1,1-2,2-1,2-2",3154.23346025175,3140.47211745883,-1.21363799113299,3211.24760591524,3018.0501379188,2.32736655112699,"1","1","ant_139","ant_148","139_148",2021-07-26 18:34:39,2021-07-26 18:35:25,1627324479.963,1627324525.963,297158,297526,46.125,4697,"ant_148","ant_139",1,"whole_experiment","REP13/R13BS"
139,148,2021-07-26 18:36:04,2021-07-26 18:38:02,1,"1-1,1-2,2-1,2-2",3150.14746528042,3217.09061992541,-0.690302711286469,3052.37469800765,3257.77391749304,-0.40258635341066,"1","1","ant_139","ant_148","139_148",2021-07-26 18:36:04,2021-07-26 18:38:02,1627324564.464,1627324682.589,297834,298779,118.25,4728,"ant_148","ant_139",1,"whole_experiment","REP13/R13BS"
139,148,2021-07-26 18:39:40,2021-07-26 18:40:40,1,"1-1,1-2",2985.21790325986,3194.29189095119,-2.60264683288359,3014.67845189298,3323.2173419501,-1.75504131358492,"1","1","ant_139","ant_148","139_148",2021-07-26 18:39:40,2021-07-26 18:40:40,1627324780.59,1627324840.841,299563,300045,60.3760001659393,4753,"ant_148","ant_139",1,"whole_experiment","REP13/R13BS"
32,41,2021-07-26 18:42:34,2021-07-26 18:42:58,1,"1-1,1-2",2652.71430253669,2464.25895799149,0.0543290206146243,2679.38911102936,2581.99026070243,-1.80496987462255,"1","1","ant_32","ant_41","32_41",2021-07-26 18:42:34,2021-07-26 18:42:58,1627324954.591,1627324978.591,300955,301147,24.125,4780,"ant_41","ant_32",1,"whole_experiment","REP13/R13BS"
